k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.8 b=1 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.85 b=1 nugget0
0,0.5729,4.7017,3.5541,2.3950,4.2831
1,1.7187,1.1577,1.4649,1.2188,1.6831
2,2.8645,0.6817,0.9767,0.8982,1.0717
3,4.0103,0.7204,0.9747,0.9414,1.0379
4,5.1561,0.6562,0.8386,0.8274,0.8754
5,6.3019,0.7713,0.9371,0.9411,0.9620
10,12.0309,0.9044,0.9141,0.9333,0.9028
15,17.7599,1.0207,0.9805,0.9998,0.9595
20,23.4890,1.1388,1.0738,1.0874,1.0512
25,29.2180,1.1202,1.0630,1.0692,1.0466
30,34.9470,1.1024,1.0621,1.0615,1.0540
35,40.6760,1.0758,1.0547,1.0500,1.0541
40,46.4050,1.0476,1.0447,1.0359,1.0514
45,52.1340,1.0108,1.0202,1.0101,1.0313
50,57.8630,1.0032,1.0247,1.0126,1.0401
55,63.5921,0.9239,0.9513,0.9386,0.9688
60,69.3211,0.9041,0.9369,0.9237,0.9561
65,75.0501,0.8244,0.8616,0.8494,0.8821
69,79.6333,0.8301,0.8712,0.8581,0.8937
