resolution_label,k_bin,k_mid,data_spectrum,theory_spectrum_scaled,n_hours
x8,0,0.5729014104765542,236.38478663060047,9479.288913313047,8
x8,1,1.7187042314296626,542.096771663757,6427.028422907041,8
x8,2,2.8645070523827707,135.71243766108273,3611.273626146473,8
x8,3,4.0103098733358795,47.71260320467618,2051.3859886955706,8
x8,4,5.156112694288987,36.15249859833379,1265.147646740789,8
x8,5,6.301915515242095,27.980369104585208,849.4595509929304,8
x8,6,7.447718336195205,22.127143032695297,583.1691106532209,8
x8,7,8.593521157148313,15.191990500521175,416.661359765924,8
x8,8,9.739323978101421,12.64325629079723,306.5296220195732,8
x8,9,10.885126799054529,11.1870461426746,236.81365749998213,8
x8,10,12.030929620007637,10.181944329242473,185.85229801474293,8
x8,11,13.176732440960746,8.785566191215468,149.50506424295332,8
x8,12,14.322535261913854,8.696025647185044,122.13428162551091,8
x8,13,15.468338082866964,8.080491326131273,100.46990216478017,8
x8,14,16.614140903820072,8.254876171041333,83.53738921105712,8
x8,15,17.75994372477318,7.004078372334286,70.14349141486272,8
x8,16,18.905746545726288,6.91659854665565,59.82776948498053,8
x8,17,20.051549366679396,7.24564741242666,51.602913762438845,8
x8,18,21.197352187632504,7.105308884592655,44.692361951174924,8
x8,19,22.34315500858561,7.3842142700395765,39.05125993598007,8
x8,20,23.48895782953872,8.102529269955493,34.39275907300837,8
x8,21,24.63476065049183,9.15830791780317,30.520615793697097,8
x8,22,25.78056347144494,11.381554917198109,27.19366702945517,8
x8,23,26.926366292398047,11.398486212427736,24.334741848816368,8
x8,24,28.072169113351155,15.46819454995293,21.837349943220865,8
x8,25,29.217971934304263,28.423649314197345,19.632553575813656,8
x8,26,30.36377475525737,41.783998244794276,17.797180482840577,8
x8,27,31.509577576210482,37.371284671401064,16.170982435384815,8
x8,28,32.65538039716359,25.114663732057217,14.731860912886791,8
x8,29,33.8011832181167,11.910343460663352,13.484580417901258,8
x8,30,34.946986039069806,10.265356143097971,12.347576137577073,8
x8,31,36.092788860022914,8.718271601789658,11.354136788661219,8
x8,32,37.23859168097602,7.708922877565284,10.47829798560102,8
x8,33,38.38439450192913,7.273317551452,9.69478190671514,8
x8,34,39.53019732288224,7.312977102901408,9.006597775660937,8
x8,35,40.676000143835346,7.2448577401930745,8.373654727511665,8
x8,36,41.82180296478845,6.218072141444906,7.784226139996706,8
x8,37,42.96760578574156,6.259512972271073,7.247226904975011,8
x8,38,44.11340860669467,6.612035473556857,6.77090062491235,8
x8,39,45.25921142764778,6.734227546528709,6.336983167318884,8
x8,40,46.40501424860089,6.838545836978484,5.941923700990175,8
x8,41,47.550817069554,7.3848878681272545,5.579741863909294,8
x8,42,48.69661989050711,7.160789370864042,5.241242755908871,8
x8,43,49.842422711460216,7.5523346974870185,4.940281106480077,8
x8,44,50.988225532413324,9.10723120088701,4.655021438946558,8
x8,45,52.13402835336643,10.13277684395714,4.392975487903478,8
x8,46,53.27983117431954,10.962252661027119,4.161022201390469,8
x8,47,54.42563399527265,13.17557944156505,3.936703144006755,8
x8,48,55.571436816225756,15.357258836348795,3.7259983697361747,8
x8,49,56.717239637178864,22.36420870771544,3.5332420104187916,8
x8,50,57.86304245813197,38.04227188248911,3.355005591753441,8
x8,51,59.00884527908508,44.31018479794956,3.1851726321795173,8
x8,52,60.15464810003819,74.95599809632601,3.0272006348580445,8
x8,53,61.300450920991295,42.39548565975909,2.884399076090939,8
x8,54,62.4462537419444,21.962992167523225,2.7473127273747315,8
x8,55,63.59205656289751,14.285247986864377,2.621610071980851,8
x8,56,64.73785938385063,13.582338239764455,2.5037801495885175,8
x8,57,65.88366220480373,12.01090813128563,2.39285499495509,8
x8,58,67.02946502575685,10.76969896509719,2.291213184736704,8
x8,59,68.17526784670994,13.113605448126735,2.192884910698126,8
x8,60,69.32107066766307,19.39341800195094,2.098824023260192,8
x8,61,70.46687348861616,31.715396280380993,2.010674463021713,8
x8,62,71.61267630956928,23.222679660674423,1.928031595112258,8
x8,63,72.75847913052237,7.092469424061159,1.8508519339665606,8
x8,64,73.9042819514755,6.683917595696914,1.7769171768173768,8
x8,65,75.05008477242859,6.240330162842688,1.7070118111502623,8
x8,66,76.19588759338171,5.609192136120415,1.6432044157716048,8
x8,67,77.3416904143348,5.2347987917539385,1.5792310584116949,8
x8,68,78.48749323528793,6.356787993516823,1.5179128159870194,8
x8,69,79.63329605624102,6.765612141150332,1.4643839339923082,8
x4,0,0.5729014104765542,456.81804522755425,5975.344369545946,8
x4,1,1.7187042314296626,1092.3938457640693,4054.92992343702,8
x4,2,2.8645070523827707,270.949796564084,2285.101695036329,8
x4,3,4.0103098733358795,90.88235531951156,1301.3520816837065,8
x4,4,5.156112694288987,66.6901612104426,803.7587494832223,8
x4,5,6.301915515242095,52.5557680509232,540.0697517871774,8
x4,6,7.447718336195205,36.740360939513074,370.9412369932235,8
x4,7,8.593521157148313,24.236992888855603,265.1022289965704,8
x4,8,9.739323978101421,21.411508322527236,195.0648610059591,8
x4,9,10.885126799054529,17.426152645634218,150.71594591639834,8
x4,10,12.030929620007637,15.395971808918754,118.29134697006984,8
x4,11,13.176732440960746,12.822978048157967,95.16202507805824,8
x4,12,14.322535261913854,12.094667879990817,77.74314718672053,8
x4,13,15.468338082866964,10.269455862782316,63.95486631757029,8
x4,14,16.614140903820072,9.689800892422959,53.17758683849951,8
x4,15,17.75994372477318,7.557882723488083,44.65222205778815,8
x4,16,18.905746545726288,7.28051502352997,38.08593601968317,8
x4,17,20.051549366679396,6.907970389823301,32.850420422339376,8
x4,18,21.197352187632504,6.5428875635070565,28.45143242277159,8
x4,19,22.34315500858561,6.00616538611134,24.860466003193046,8
x4,20,23.48895782953872,6.043066269556673,21.89495438570542,8
x4,21,24.63476065049183,5.694752941649718,19.42999451083227,8
x4,22,25.78056347144494,5.867446491919733,17.312078199917103,8
x4,23,26.926366292398047,5.460051848713949,15.492087785575649,8
x4,24,28.072169113351155,5.410494701072038,13.90223757865313,8
x4,25,29.217971934304263,5.308601274490204,12.49864586691543,8
x4,26,30.36377475525737,5.3561311593583545,11.330225551170788,8
x4,27,31.509577576210482,4.933490882796261,10.294963478024053,8
x4,28,32.65538039716359,4.528526903919783,9.378793222735412,8
x4,29,33.8011832181167,4.927573118653862,8.58474930646793,8
x4,30,34.946986039069806,5.268816371796688,7.86090698386111,8
x4,31,36.092788860022914,4.944487718123261,7.228459361411628,8
x4,32,37.23859168097602,4.982943123506519,6.670877571831654,8
x4,33,38.38439450192913,5.233866391575724,6.172069614392428,8
x4,34,39.53019732288224,5.340752233743585,5.733951647587779,8
x4,35,40.676000143835346,5.6917795357309915,5.33100095189441,8
x4,36,41.82180296478845,5.766770941963976,4.955752183400511,8
x4,37,42.96760578574156,5.568777316906238,4.6138809969552375,8
x4,38,44.11340860669467,5.79423321692942,4.310635712432835,8
x4,39,45.25921142764778,6.352589049453891,4.034388909327829,8
x4,40,46.40501424860089,6.236427392724315,3.7828801145456823,8
x4,41,47.550817069554,6.935436974392,3.552302097136598,8
x4,42,48.69661989050711,7.52170754971778,3.3368011168046663,8
x4,43,49.842422711460216,7.555336383735394,3.145197662906692,8
x4,44,50.988225532413324,9.127196280705686,2.96359050219807,8
x4,45,52.13402835336643,10.672084266656062,2.7967619264104924,8
x4,46,53.27983117431954,11.412262144501723,2.649091380739353,8
x4,47,54.42563399527265,13.817744855218015,2.5062809729580207,8
x4,48,55.571436816225756,15.664982227657887,2.372137859034356,8
x4,49,56.717239637178864,19.14709595285288,2.2494213400807244,8
x4,50,57.86304245813197,24.09409052856536,2.1359487310284453,8
x4,51,59.00884527908508,47.9288406271004,2.027826041637815,8
x4,52,60.15464810003819,95.9485772825472,1.927254473595942,8
x4,53,61.300450920991295,50.80967219599176,1.8363409904221906,8
