frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=0.8 nugget0,GC a=0.7 b=0.6 nugget0,GC a=0.7 b=0.5 nugget0,GC a=0.8 b=0.8 nugget0,GC a=0.8 b=0.6 nugget0,GC a=0.8 b=0.5 nugget0
ultra_low,0.5729,5.1561,1.6576,0.9803,0.9173,0.8806,1.3273,1.2040,1.1349
low_mid,6.3019,16.6141,0.8765,0.9485,0.9461,0.9430,0.9474,0.9527,0.9527
mid,17.7599,33.8012,1.0949,1.0797,1.0788,1.0775,1.0535,1.0580,1.0594
high,34.9470,56.7172,1.0667,1.0373,1.0345,1.0328,1.0534,1.0503,1.0484
very_high,57.8630,79.6333,0.9234,0.9060,0.9031,0.9015,0.9447,0.9391,0.9362
