k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0
0,0.5729,3.5255,1.5633
1,1.7187,2.1000,1.7850
2,2.8645,0.8442,1.0187
3,4.0103,0.7886,1.0087
4,5.1561,0.7320,0.9399
5,6.3019,0.6654,0.8440
6,7.4477,0.7705,0.9425
7,8.5935,0.7966,0.9448
8,9.7393,0.7860,0.9163
9,10.8851,0.7792,0.8935
10,12.0309,0.8164,0.9154
11,13.1767,0.8409,0.9228
12,14.3225,0.8558,0.9239
13,15.4683,0.9422,1.0143
14,16.6141,0.9419,0.9998
15,17.7599,0.9577,0.9991
16,18.9057,0.9632,1.0005
17,20.0515,0.9826,1.0097
18,21.1974,1.0264,1.0451
19,22.3432,0.9771,0.9859
20,23.4890,1.0162,1.0236
21,24.6348,1.0487,1.0497
22,25.7806,1.0616,1.0569
23,26.9264,1.0550,1.0471
24,28.0722,1.0582,1.0466
25,29.2180,1.0554,1.0416
26,30.3638,1.0802,1.0651
27,31.5096,1.0714,1.0536
28,32.6554,1.1126,1.0917
29,33.8012,1.1096,1.0879
30,34.9470,1.0850,1.0621
31,36.0928,1.0937,1.0695
32,37.2386,1.1100,1.0844
33,38.3844,1.1348,1.1082
34,39.5302,1.1386,1.1116
35,40.6760,1.0938,1.0687
36,41.8218,1.0947,1.0696
37,42.9676,1.0862,1.0614
38,44.1134,1.0841,1.0595
39,45.2592,1.0899,1.0651
40,46.4050,1.0895,1.0653
41,47.5508,1.1005,1.0763
42,48.6966,1.0677,1.0442
43,49.8424,1.1035,1.0801
44,50.9882,1.0879,1.0656
45,52.1340,1.0574,1.0362
46,53.2798,1.0190,0.9997
47,54.4256,1.0406,1.0216
48,55.5714,1.0229,1.0060
49,56.7172,1.0445,1.0288
50,57.8630,1.0098,0.9949
51,59.0088,1.0267,1.0114
52,60.1546,1.0141,0.9995
53,61.3005,1.0203,1.0064
54,62.4463,1.0102,0.9964
55,63.5921,1.0154,1.0034
56,64.7379,1.0045,0.9932
57,65.8837,1.0173,1.0055
58,67.0295,0.9390,0.9277
59,68.1753,0.9750,0.9651
60,69.3211,0.9951,0.9855
61,70.4669,1.0139,1.0048
62,71.6127,0.9347,0.9247
63,72.7585,0.9275,0.9171
64,73.9043,0.9460,0.9364
65,75.0501,0.9089,0.8989
66,76.1959,0.9369,0.9290
67,77.3417,0.9615,0.9524
68,78.4875,0.9057,0.8955
69,79.6333,0.9268,0.9173
