frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0,GC a=0.75 b=0.5 nugget0,GC a=0.8 b=1 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.85 b=1 nugget0,GC a=0.85 b=0.5 nugget0,GC a=0.9 b=1 nugget0,GC a=0.9 b=0.5 nugget0,GC a=0.95 b=1 nugget0,GC a=0.95 b=0.5 nugget0,GC a=1 b=1 nugget0,GC a=1 b=0.5 nugget0
ultra_low,0.5729,5.1561,1.5835,1.3505,1.1237,1.5618,1.2562,1.7902,1.3900,2.0346,1.5238,2.2930,1.6563,2.5634,1.7864
low_mid,6.3019,16.6141,0.9028,0.9467,0.9529,0.9404,0.9571,0.9356,0.9625,0.9329,0.9694,0.9328,0.9779,0.9353,0.9877
mid,17.7599,33.8012,1.1031,1.0643,1.0680,1.0471,1.0576,1.0285,1.0465,1.0094,1.0353,0.9904,1.0245,0.9722,1.0144
high,34.9470,56.7172,1.0554,1.0405,1.0333,1.0478,1.0402,1.0526,1.0448,1.0553,1.0475,1.0563,1.0488,1.0557,1.0489
very_high,57.8630,79.6333,0.9078,0.9194,0.9099,0.9399,0.9271,0.9591,0.9426,0.9770,0.9566,0.9938,0.9692,1.0094,0.9805
