date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,profile_type,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_scaled,theory_scale_to_data
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,1,0.8585571089246282,0.6312221526199868,4,5.437528356522645,73.31124991347332,13.36055014364567,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,2,1.4309285148743802,1.3301097996432678,10,5.437528356522645,13.727603555800528,10.505513708614938,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,3,2.0032999208241327,1.998298277954558,8,5.437528356522645,13.550280162501553,9.284190267004078,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,4,2.575671326773884,2.6806323221091155,14,5.437528356522645,15.680077541612102,8.719248932617182,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,5,3.1480427327236367,3.2456341177382377,17,5.437528356522645,6.8077063568647755,8.506762254257424,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,6,3.7204141386733887,3.818679770550174,10,5.437528356522645,12.096042423219073,8.389174100133898,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,7,4.292785544623141,4.336704374521381,9,5.437528356522645,8.058117524105207,8.325530789711605,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,8,4.865156950572893,4.9319451499524245,6,5.437528356522645,9.662209180303423,8.278470376037449,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,9,5.437528356522645,5.40768725136614,1,5.437528356522645,0.3364711639708996,8.253792663277423,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,10,6.009899762472397,6.100048681231336,0,5.437528356522645,,8.229732578190632,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,11,6.5822711684221495,6.6079638604977955,0,5.437528356522645,,8.217559546072595,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,12,7.154642574371902,7.184824240435486,0,5.437528356522645,,8.207547419994889,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,13,7.727013980321653,7.717840052166835,0,5.437528356522645,,8.200714616991641,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,14,8.299385386271405,8.32944332229866,0,5.437528356522645,,8.194859229568026,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,15,8.871756792221158,8.931448350708713,0,5.437528356522645,,8.19046818970572,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,16,9.44412819817091,9.450655774373653,0,5.437528356522645,,8.18754274715278,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,17,10.016499604120662,10.040729228620602,0,5.437528356522645,,8.184898599796888,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,18,10.588871010070413,10.615480820368408,0,5.437528356522645,,8.182849328409544,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,19,11.161242416020166,11.255148819808907,0,5.437528356522645,,8.18101626501235,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,20,11.733613821969918,11.763078784198754,0,5.437528356522645,,8.179835471435087,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,21,12.30598522791967,12.376420890396352,0,5.437528356522645,,8.178652118918675,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,22,12.878356633869423,12.873666475513332,0,5.437528356522645,,8.17784499245772,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,23,13.450728039819175,13.41495067244545,0,5.437528356522645,,8.177098624959227,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,24,14.023099445768928,13.981674904088933,0,5.437528356522645,,8.176436431929679,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,25,14.595470851718678,14.587723380904793,0,5.437528356522645,,8.175835762486162,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,26,15.16784225766843,15.190262843542424,0,5.437528356522645,,8.17532830420829,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,27,15.740213663618182,15.768339971547254,0,5.437528356522645,,8.174911930124313,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,28,16.312585069567934,16.34951789433015,0,5.437528356522645,,8.174550388250452,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,29,16.884956475517686,16.92101199562741,0,5.437528356522645,,8.174241245777997,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,30,17.45732788146744,17.512525593019426,0,5.437528356522645,,8.173961581540272,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,31,18.02969928741719,18.022479589150578,0,5.437528356522645,,8.173749681527767,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,32,18.602070693366944,18.654922856536857,0,5.437528356522645,,8.173517387068275,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,33,19.174442099316696,19.183556569154884,0,5.437528356522645,,8.173345592553673,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,34,19.74681350526645,19.758613889242366,0,5.437528356522645,,8.173179390746563,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,35,20.3191849112162,20.319234723878573,0,5.437528356522645,,8.173034856024385,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,36,20.891556317165954,20.92224498032137,0,5.437528356522645,,8.172895861773382,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,37,21.463927723115702,21.466937251094762,0,5.437528356522645,,8.172783486370845,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,38,22.036299129065455,22.034714067748098,0,5.437528356522645,,8.172677954711657,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,39,22.608670535015207,22.625658690214397,0,5.437528356522645,,8.17257886490319,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,40,23.18104194096496,23.184602137619773,0,5.437528356522645,,8.172494256596845,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,41,23.753413346914712,23.796543488925703,0,5.437528356522645,,8.172410503479572,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,42,24.325784752864465,24.32382763137976,0,5.437528356522645,,8.172344830097243,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,43,24.898156158814217,24.924767151225765,0,5.437528356522645,,8.172276734817656,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,44,25.47052756476397,25.464411929303164,0,5.437528356522645,,8.172220753633956,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,45,26.042898970713722,26.03644262632502,0,5.437528356522645,,8.172166552029486,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,46,26.615270376663474,26.582225102687353,0,5.437528356522645,,8.172118960947074,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,47,27.187641782613227,27.148325599793697,0,5.437528356522645,,8.172073568113268,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,48,27.76001318856298,27.723449504685988,0,5.437528356522645,,8.172031206585538,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,49,28.332384594512728,28.311581306930897,0,5.437528356522645,,8.171991356179182,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,50,28.90475600046248,28.905580226733278,0,5.437528356522645,,8.171954289120752,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,51,29.477127406412233,29.460759706370148,0,5.437528356522645,,8.171922321420782,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,52,30.049498812361986,30.08595371274698,0,5.437528356522645,,8.171889093916805,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,53,30.621870218311738,30.627466950281605,0,5.437528356522645,,8.171862422857785,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,54,31.19424162426149,31.235901495931422,0,5.437528356522645,,8.171834648664566,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,55,31.76661303021124,31.770075499416315,0,5.437528356522645,,8.171811979592746,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,56,32.33898443616099,32.39156996805338,0,5.437528356522645,,8.171787465884238,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,57,32.911355842110744,32.929603049792604,0,5.437528356522645,,8.171767671056081,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,58,33.4837272480605,33.4884294289876,0,5.437528356522645,,8.171748448590098,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,59,34.05609865401025,34.027346313499095,0,5.437528356522645,,8.171731112559756,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,60,34.62847005996,34.62341031408977,0,5.437528356522645,,8.171713142662599,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,61,35.200841465909754,35.19111199798741,0,5.437528356522645,,8.171697147343899,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,62,35.773212871859506,35.76670583566252,0,5.437528356522645,,8.171681957773536,1.5602063125089962
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,80,8.961033311920838,0.8063970667633027,5.237369467434721,63,36.34558427780926,36.35143888373513,0,5.437528356522645,,8.171667489014524,1.5602063125089962
