frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.8 b=0.4 nugget0,GC a=0.8 b=0.3 nugget0,GC a=0.8 b=0.2 nugget0,GC a=0.85 b=0.4 nugget0,GC a=0.85 b=0.3 nugget0,GC a=0.85 b=0.2 nugget0
ultra_low,0.5729,5.1561,1.6576,1.0610,0.9827,0.9008,1.1708,1.0731,0.9729
low_mid,6.3019,16.6141,0.8765,0.9501,0.9441,0.9339,0.9575,0.9521,0.9420
mid,17.7599,33.8012,1.0949,1.0599,1.0591,1.0564,1.0509,1.0515,1.0501
high,34.9470,56.7172,1.0667,1.0461,1.0435,1.0404,1.0504,1.0478,1.0447
very_high,57.8630,79.6333,0.9234,0.9331,0.9300,0.9269,0.9470,0.9431,0.9392
