true_smooth,fit_smooth,resolution_stride,resolution_label,fit_type,n_reps,loss_mean,sigmasq_mean,sigmasq_sd,range_mean,range_sd,nugget_mean,nugget_sd,success_rate,fit_s_mean
0.3000,0.3000,1,x1,full_nugget0,5,2.2657,12.2590,3.0278,0.0263,0.0119,0.0000,0.0000,1.0000,1.2778
0.3000,0.3000,1,x1,full_nugget_free,5,2.2521,9.9412,3.1016,0.0584,0.0233,1.8587,0.4454,1.0000,1.8085
0.3000,0.3000,1,x1,nugget_only,5,2.2549,12.0000,0.0000,0.0800,0.0000,1.8669,0.1965,1.0000,0.4301
0.3000,0.3000,1,x1,range_only_nugget0,5,2.2685,12.0000,0.0000,0.0245,0.0030,0.0000,0.0000,1.0000,0.4905
0.3000,0.3000,1,x1,range_only_nugget_free,5,2.2554,12.0000,0.0000,0.0871,0.0043,2.0000,0.0000,1.0000,0.3376
0.3000,0.3000,1,x1,sigma_only_nugget0,5,2.2780,23.3480,1.0601,0.0800,0.0000,0.0000,0.0000,1.0000,0.4436
0.3000,0.3000,1,x1,sigma_only_nugget_free,5,2.2549,11.0438,0.6390,0.0800,0.0000,2.0000,0.0000,1.0000,0.3506
0.3000,0.3000,2,x2,full_nugget0,5,2.3727,11.8121,3.0537,0.0297,0.0096,0.0000,0.0000,1.0000,0.2610
0.3000,0.3000,2,x2,full_nugget_free,5,2.3527,8.9195,1.6101,0.0908,0.0708,2.3670,1.5213,1.0000,0.9703
0.3000,0.3000,2,x2,nugget_only,5,2.3613,12.0000,0.0000,0.0800,0.0000,2.0057,0.6606,1.0000,0.1348
0.3000,0.3000,2,x2,range_only_nugget0,5,2.3773,12.0000,0.0000,0.0314,0.0059,0.0000,0.0000,1.0000,0.0880
0.3000,0.3000,2,x2,range_only_nugget_free,5,2.3642,12.0000,0.0000,0.0896,0.0152,2.0000,0.0000,1.0000,0.0970
0.3000,0.3000,2,x2,sigma_only_nugget0,5,2.3878,19.8369,2.7139,0.0800,0.0000,0.0000,0.0000,1.0000,0.1338
0.3000,0.3000,2,x2,sigma_only_nugget_free,5,2.3625,10.7663,1.4140,0.0800,0.0000,2.0000,0.0000,1.0000,0.0947
0.3000,0.3000,4,x4,full_nugget0,5,2.4047,11.1018,2.3892,0.0484,0.0296,0.0000,0.0000,1.0000,0.1593
0.3000,0.3000,4,x4,full_nugget_free,5,2.3943,7.8637,4.2510,0.2494,0.3129,3.0469,2.9772,1.0000,0.3919
0.3000,0.3000,4,x4,nugget_only,5,2.4107,12.0000,0.0000,0.0800,0.0000,1.2427,0.9839,1.0000,0.0479
0.3000,0.3000,4,x4,range_only_nugget0,5,2.4102,12.0000,0.0000,0.0511,0.0182,0.0000,0.0000,1.0000,0.0277
0.3000,0.3000,4,x4,range_only_nugget_free,5,2.4105,12.0000,0.0000,0.1272,0.0464,2.0000,0.0000,1.0000,0.0338
0.3000,0.3000,4,x4,sigma_only_nugget0,5,2.4212,14.7926,2.2766,0.0800,0.0000,0.0000,0.0000,1.0000,0.0289
0.3000,0.3000,4,x4,sigma_only_nugget_free,5,2.4096,9.2235,1.7571,0.0800,0.0000,2.0000,0.0000,1.0000,0.0410
0.3000,0.3000,8,x8,full_nugget0,5,2.5057,11.8856,2.3533,0.0744,0.0754,0.0000,0.0000,1.0000,0.0152
0.3000,0.3000,8,x8,full_nugget_free,5,2.4972,9.0067,3.5008,0.1554,0.1621,2.6731,2.0571,1.0000,0.0518
0.3000,0.3000,8,x8,nugget_only,5,2.5222,12.0000,0.0000,0.0800,0.0000,1.6691,2.0725,1.0000,0.0135
0.3000,0.3000,8,x8,range_only_nugget0,5,2.5101,12.0000,0.0000,0.0672,0.0496,0.0000,0.0000,1.0000,0.0066
0.3000,0.3000,8,x8,range_only_nugget_free,5,2.5079,12.0000,0.0000,0.1560,0.1371,2.0000,0.0000,1.0000,0.0064
0.3000,0.3000,8,x8,sigma_only_nugget0,5,2.5343,13.8714,3.8659,0.0800,0.0000,0.0000,0.0000,1.0000,0.0069
0.3000,0.3000,8,x8,sigma_only_nugget_free,5,2.5257,9.9329,3.0211,0.0800,0.0000,2.0000,0.0000,1.0000,0.0066
0.3000,0.5000,1,x1,full_nugget0,5,2.2965,11.6586,2.7464,0.0114,0.0036,0.0000,0.0000,1.0000,0.0752
0.3000,0.5000,1,x1,full_nugget_free,5,2.2552,8.8812,2.8264,0.0425,0.0114,2.7410,0.3437,1.0000,0.0833
0.3000,0.5000,1,x1,nugget_only,5,2.2603,12.0000,0.0000,0.0800,0.0000,3.0333,0.1731,1.0000,0.0126
0.3000,0.5000,1,x1,range_only_nugget0,5,2.3008,12.0000,0.0000,0.0116,0.0013,0.0000,0.0000,1.0000,0.0176
0.3000,0.5000,1,x1,range_only_nugget_free,5,2.2644,12.0000,0.0000,0.0379,0.0025,2.0000,0.0000,1.0000,0.0140
0.3000,0.5000,1,x1,sigma_only_nugget0,5,2.3606,69.8775,4.5876,0.0800,0.0000,0.0000,0.0000,1.0000,0.0186
0.3000,0.5000,1,x1,sigma_only_nugget_free,5,2.2729,19.9019,1.6011,0.0800,0.0000,2.0000,0.0000,1.0000,0.0173
0.3000,0.5000,2,x2,full_nugget0,5,2.3978,11.3541,2.6659,0.0156,0.0029,0.0000,0.0000,1.0000,0.0208
0.3000,0.5000,2,x2,full_nugget_free,5,2.3539,7.9113,1.6167,0.0673,0.0446,3.3325,1.2469,1.0000,0.0241
0.3000,0.5000,2,x2,nugget_only,5,2.3643,12.0000,0.0000,0.0800,0.0000,3.3324,0.6170,1.0000,0.0050
0.3000,0.5000,2,x2,range_only_nugget0,5,2.4033,12.0000,0.0000,0.0170,0.0028,0.0000,0.0000,1.0000,0.0083
0.3000,0.5000,2,x2,range_only_nugget_free,5,2.3786,12.0000,0.0000,0.0425,0.0064,2.0000,0.0000,1.0000,0.0071
0.3000,0.5000,2,x2,sigma_only_nugget0,5,2.4697,45.8665,7.9654,0.0800,0.0000,0.0000,0.0000,1.0000,0.0088
0.3000,0.5000,2,x2,sigma_only_nugget_free,5,2.3899,16.8435,2.4112,0.0800,0.0000,2.0000,0.0000,1.0000,0.0057
0.3000,0.5000,4,x4,full_nugget0,5,2.4138,10.9710,2.3334,0.0287,0.0135,0.0000,0.0000,1.0000,0.0109
0.3000,0.5000,4,x4,full_nugget_free,5,2.3982,8.2268,3.5225,0.1821,0.2929,2.6966,2.2133,1.0000,0.0172
0.3000,0.5000,4,x4,nugget_only,5,2.4190,12.0000,0.0000,0.0800,0.0000,2.7901,0.9825,1.0000,0.0033
0.3000,0.5000,4,x4,range_only_nugget0,5,2.4205,12.0000,0.0000,0.0305,0.0090,0.0000,0.0000,1.0000,0.0047
0.3000,0.5000,4,x4,range_only_nugget_free,5,2.4184,12.0000,0.0000,0.0618,0.0210,2.0000,0.0000,1.0000,0.0025
0.3000,0.5000,4,x4,sigma_only_nugget0,5,2.4723,25.2179,4.5826,0.0800,0.0000,0.0000,0.0000,1.0000,0.0031
0.3000,0.5000,4,x4,sigma_only_nugget_free,5,2.4279,12.5132,3.1842,0.0800,0.0000,2.0000,0.0000,1.0000,0.0016
0.3000,0.5000,8,x8,full_nugget0,5,2.5193,11.6913,2.1247,0.0421,0.0302,0.0000,0.0000,1.0000,0.0029
0.3000,0.5000,8,x8,full_nugget_free,5,2.4972,8.1134,3.7031,0.1256,0.0943,3.5307,2.4125,1.0000,0.0075
0.3000,0.5000,8,x8,nugget_only,5,2.5302,12.0000,0.0000,0.0800,0.0000,3.0467,2.2751,1.0000,0.0008
0.3000,0.5000,8,x8,range_only_nugget0,5,2.5242,12.0000,0.0000,0.0416,0.0238,0.0000,0.0000,1.0000,0.0021
0.3000,0.5000,8,x8,range_only_nugget_free,5,2.5160,12.0000,0.0000,0.0848,0.0636,2.0000,0.0000,1.0000,0.0010
0.3000,0.5000,8,x8,sigma_only_nugget0,5,2.5766,18.9461,5.8690,0.0800,0.0000,0.0000,0.0000,1.0000,0.0011
0.3000,0.5000,8,x8,sigma_only_nugget_free,5,2.5421,11.8433,4.6423,0.0800,0.0000,2.0000,0.0000,1.0000,0.0011
0.3000,1.5000,1,x1,full_nugget0,5,2.3714,11.5264,1.2934,0.0052,0.0002,0.0000,0.0000,1.0000,0.4229
0.3000,1.5000,1,x1,full_nugget_free,5,2.2661,7.5435,2.3250,0.0264,0.0042,3.5116,0.2915,1.0000,0.3256
0.3000,1.5000,1,x1,nugget_only,5,2.2974,12.0000,0.0000,0.0800,0.0000,4.3415,0.1557,1.0000,0.1104
0.3000,1.5000,1,x1,range_only_nugget0,5,2.3736,12.0000,0.0000,0.0052,0.0002,0.0000,0.0000,1.0000,0.1015
0.3000,1.5000,1,x1,range_only_nugget_free,5,2.3086,12.0000,0.0000,0.0144,0.0018,2.0000,0.0000,1.0000,0.0856
