frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1 nugget0,GC a=0.7 b=0.5 nugget0
ultra_low,0.5729,5.1561,3.9057,2.6225,2.0270,1.5574
low_mid,6.3019,16.6141,0.5828,0.8017,0.8757,0.9255
mid,17.7599,33.8012,0.8999,0.9700,1.0108,1.0476
high,34.9470,56.7172,1.1037,1.0622,1.0543,1.0470
very_high,57.8630,79.6333,1.0639,0.9989,0.9730,0.9468
