frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=0.8 nugget0,GC a=0.7 b=0.6 nugget0,GC a=0.7 b=0.5 nugget0,GC a=0.8 b=0.8 nugget0,GC a=0.8 b=0.6 nugget0,GC a=0.8 b=0.5 nugget0
ultra_low,0.5729,5.1561,0.6754,0.7973,0.7863,0.7728,0.8757,0.8661,0.8562
low_mid,6.3019,16.6141,0.8690,0.9376,0.9362,0.9337,0.9336,0.9414,0.9431
mid,17.7599,33.8012,1.0937,1.0699,1.0686,1.0672,1.0489,1.0516,1.0523
high,34.9470,56.7172,1.0707,1.0404,1.0374,1.0355,1.0565,1.0529,1.0508
very_high,57.8630,79.6333,0.9242,0.9059,0.9029,0.9012,0.9432,0.9377,0.9347
