k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=0.35 nugget0,GC a=0.7 b=0.25 nugget0,GC a=0.7 b=0.15 nugget0,GC a=0.8 b=0.35 nugget0,GC a=0.8 b=0.25 nugget0,GC a=0.8 b=0.15 nugget0
0,0.5729,15.0540,2.5761,2.1831,1.8055,3.0214,2.4909,2.0040
1,1.7187,2.3938,1.4366,1.3020,1.1560,1.6229,1.4423,1.2546
2,2.8645,0.9014,1.0249,0.9651,0.8931,1.1231,1.0433,0.9512
3,4.0103,0.6189,0.9248,0.8897,0.8433,0.9914,0.9447,0.8857
4,5.1561,0.5605,0.9307,0.9058,0.8697,0.9827,0.9499,0.9045
5,6.3019,0.4503,0.7824,0.7689,0.7468,0.8160,0.7980,0.7703
6,7.4477,0.5359,0.9304,0.9187,0.8973,0.9618,0.9466,0.9202
7,8.5935,0.5405,0.9319,0.9251,0.9095,0.9548,0.9460,0.9270
8,9.7393,0.5902,0.9942,0.9904,0.9778,1.0117,1.0069,0.9920
9,10.8851,0.5661,0.9319,0.9308,0.9223,0.9431,0.9419,0.9321
10,12.0309,0.5956,0.9557,0.9571,0.9516,0.9620,0.9641,0.9582
11,13.1767,0.5577,0.8734,0.8772,0.8756,0.8750,0.8799,0.8785
12,14.3225,0.6240,0.9452,0.9488,0.9466,0.9452,0.9504,0.9488
13,15.4683,0.6612,0.9712,0.9760,0.9754,0.9685,0.9753,0.9757
14,16.6141,0.7060,1.0078,1.0136,1.0142,1.0027,1.0108,1.0130
15,17.7599,0.7411,1.0285,1.0349,1.0366,1.0214,1.0305,1.0340
16,18.9057,0.7853,1.0617,1.0687,1.0711,1.0530,1.0629,1.0675
17,20.0515,0.7836,1.0311,1.0383,1.0416,1.0218,1.0318,1.0373
18,21.1974,0.8109,1.0387,1.0456,1.0488,1.0291,1.0388,1.0444
19,22.3432,0.8544,1.0664,1.0732,1.0766,1.0563,1.0662,1.0721
20,23.4890,0.8416,1.0282,1.0346,1.0380,1.0184,1.0277,1.0336
21,24.6348,0.8894,1.0638,1.0701,1.0735,1.0538,1.0631,1.0692
22,25.7806,0.9431,1.1037,1.1100,1.1138,1.0936,1.1030,1.1095
23,26.9264,0.8964,1.0286,1.0346,1.0386,1.0195,1.0283,1.0348
24,28.0722,0.9602,1.0824,1.0875,1.0905,1.0741,1.0821,1.0876
25,29.2180,0.9585,1.0600,1.0644,1.0669,1.0528,1.0599,1.0649
26,30.3638,0.9745,1.0583,1.0621,1.0642,1.0523,1.0586,1.0630
27,31.5096,1.0281,1.1005,1.1041,1.1061,1.0950,1.1012,1.1055
28,32.6554,1.0234,1.0790,1.0822,1.0839,1.0748,1.0802,1.0842
29,33.8012,1.0085,1.0470,1.0492,1.0503,1.0441,1.0485,1.0515
30,34.9470,1.0332,1.0580,1.0597,1.0604,1.0563,1.0601,1.0626
31,36.0928,1.0428,1.0545,1.0556,1.0558,1.0540,1.0570,1.0589
32,37.2386,1.0830,1.0815,1.0822,1.0820,1.0823,1.0847,1.0861
33,38.3844,1.1230,1.1100,1.1102,1.1096,1.1120,1.1138,1.1148
34,39.5302,1.0946,1.0711,1.0711,1.0704,1.0740,1.0754,1.0761
35,40.6760,1.0479,1.0172,1.0166,1.0156,1.0210,1.0217,1.0218
36,41.8218,1.1356,1.0918,1.0906,1.0888,1.0974,1.0973,1.0965
