date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,1,0.8585571089246282,0.6312221526199868,4,5.437528356522645,26.59333414786301,37.66954510598913,127.50043834736334,7.649911922985069
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,2,1.4309285148743802,1.3301097996432678,10,5.437528356522645,36.49785000489492,22.89348150898466,36.49785000489492,7.649911922985069
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,3,2.0032999208241327,1.998298277954558,8,5.437528356522645,13.914926763943239,12.045603752446656,15.311136024916621,7.649911922985069
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,4,2.575671326773884,2.6806323221091155,14,5.437528356522645,9.95074105879705,10.136834903036283,7.306153570605178,7.649911922985069
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,5,3.1480427327236367,3.2456341177382377,17,5.437528356522645,9.74813475346425,7.765733186727451,4.532407091323607,7.649911922985069
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,6,3.7204141386733887,3.818679770550174,10,5.437528356522645,6.287280620284748,6.656999151986362,3.018184962422243,7.649911922985069
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,7,4.292785544623141,4.336704374521381,9,5.437528356522645,0.9847292426207984,6.230350658867333,2.1932181591101054,7.649911922985069
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,8,4.865156950572893,4.9319451499524245,6,5.437528356522645,12.677815784973218,5.951794940045279,1.5741645299734386,7.649911922985069
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,9,5.437528356522645,5.40768725136614,1,5.437528356522645,0.9851501265863186,5.670126872399537,1.242951804263648,7.649911922985069
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,80,13.260990798349969,1.16734143597907,1.504599229832989e-05,10,6.009899762472397,6.100048681231336,0,5.437528356522645,,,0.9124528421124384,7.649911922985069
