frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=3 nugget0,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=4 nugget0
ultra_low,0.5729,5.1561,0.6754,0.7898,0.7856,0.7820
low_mid,6.3019,16.6141,0.8690,0.9088,0.9049,0.9016
mid,17.7599,33.8012,1.0937,1.0646,1.0645,1.0644
high,34.9470,56.7172,1.0707,1.0522,1.0530,1.0537
very_high,57.8630,79.6333,0.9242,0.9204,0.9217,0.9226
