date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,gc_alpha,parameter,estimate,loss,n_grid,n_valid
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_aniso_nugget0,0.6000,sigmasq,14.3000,1.7156,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_aniso_nugget0,0.6000,range_lat,3590302.3329,1.7156,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_aniso_nugget0,0.6000,range_lon,6069759.7774,1.7156,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.7156,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_aniso_nugget0,0.6000,gc_beta,10811.0914,1.7156,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_aniso_nugget0,0.6000,phi1,0.0000,1.7156,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_aniso_nugget0,0.6000,phi2,0.0000,1.7156,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_aniso_nugget0,0.6000,phi3,2.8581,1.7156,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.7156,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_aniso_nugget0,0.6000,sigmasq,15.1821,1.5906,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_aniso_nugget0,0.6000,range_lat,2.6133,1.5906,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_aniso_nugget0,0.6000,range_lon,3.3408,1.5906,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.5906,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_aniso_nugget0,0.6000,gc_beta,2.0491,1.5906,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_aniso_nugget0,0.6000,phi1,4.5444,1.5906,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_aniso_nugget0,0.6000,phi2,0.2993,1.5906,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_aniso_nugget0,0.6000,phi3,1.6343,1.5906,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.5906,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_aniso_nugget0,0.6000,sigmasq,21.0091,1.7014,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_aniso_nugget0,0.6000,range_lat,0.0938,1.7014,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_aniso_nugget0,0.6000,range_lon,0.1408,1.7014,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.7014,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_aniso_nugget0,0.6000,gc_beta,0.5140,1.7014,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_aniso_nugget0,0.6000,phi1,149.2610,1.7014,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_aniso_nugget0,0.6000,phi2,7.1046,1.7014,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_aniso_nugget0,0.6000,phi3,2.2524,1.7014,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.7014,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_aniso_nugget0,0.6000,sigmasq,16.5743,1.4115,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_aniso_nugget0,0.6000,range_lat,0.3462,1.4115,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_aniso_nugget0,0.6000,range_lon,0.4961,1.4115,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.4115,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_aniso_nugget0,0.6000,gc_beta,0.8447,1.4115,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_aniso_nugget0,0.6000,phi1,33.4074,1.4115,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_aniso_nugget0,0.6000,phi2,2.0156,1.4115,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_aniso_nugget0,0.6000,phi3,2.0536,1.4115,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.4115,18126,18067
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_aniso_nugget0,0.6000,sigmasq,16.2108,1.7522,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_aniso_nugget0,0.6000,range_lat,3284824.9738,1.7522,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_aniso_nugget0,0.6000,range_lon,5597960.5522,1.7522,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.7522,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_aniso_nugget0,0.6000,gc_beta,9150.2320,1.7522,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_aniso_nugget0,0.6000,phi1,0.0000,1.7522,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_aniso_nugget0,0.6000,phi2,0.0000,1.7522,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_aniso_nugget0,0.6000,phi3,2.9043,1.7522,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.7522,300,293
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_aniso_nugget0,0.6000,sigmasq,15.6718,1.6389,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_aniso_nugget0,0.6000,range_lat,4943298.4684,1.6389,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_aniso_nugget0,0.6000,range_lon,6799289.6683,1.6389,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.6389,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_aniso_nugget0,0.6000,gc_beta,12047.9123,1.6389,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_aniso_nugget0,0.6000,phi1,0.0000,1.6389,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_aniso_nugget0,0.6000,phi2,0.0000,1.6389,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_aniso_nugget0,0.6000,phi3,1.8919,1.6389,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.6389,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_aniso_nugget0,0.6000,sigmasq,17.0741,1.5204,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_aniso_nugget0,0.6000,range_lat,1.6379,1.5204,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_aniso_nugget0,0.6000,range_lon,2.3450,1.5204,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.5204,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_aniso_nugget0,0.6000,gc_beta,1.6729,1.5204,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_aniso_nugget0,0.6000,phi1,7.2811,1.5204,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_aniso_nugget0,0.6000,phi2,0.4264,1.5204,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_aniso_nugget0,0.6000,phi3,2.0497,1.5204,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.5204,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_aniso_nugget0,0.6000,sigmasq,17.6625,1.3619,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_aniso_nugget0,0.6000,range_lat,8.2708,1.3619,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_aniso_nugget0,0.6000,range_lon,11.5094,1.3619,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.3619,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_aniso_nugget0,0.6000,gc_beta,4.0884,1.3619,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_aniso_nugget0,0.6000,phi1,1.5346,1.3619,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_aniso_nugget0,0.6000,phi2,0.0869,1.3619,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_aniso_nugget0,0.6000,phi3,1.9365,1.3619,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.3619,18126,17670
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_aniso_nugget0,0.6000,sigmasq,18.2691,1.8561,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_aniso_nugget0,0.6000,range_lat,1356026912.3889,1.8561,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_aniso_nugget0,0.6000,range_lon,1712466458.7894,1.8561,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.8561,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_aniso_nugget0,0.6000,gc_beta,376028.6444,1.8561,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_aniso_nugget0,0.6000,phi1,0.0000,1.8561,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_aniso_nugget0,0.6000,phi2,0.0000,1.8561,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_aniso_nugget0,0.6000,phi3,1.5948,1.8561,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.8561,300,272
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_aniso_nugget0,0.6000,sigmasq,18.6575,1.7328,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_aniso_nugget0,0.6000,range_lat,2.6427,1.7328,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_aniso_nugget0,0.6000,range_lon,3.5357,1.7328,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.7328,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_aniso_nugget0,0.6000,gc_beta,2.3242,1.7328,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_aniso_nugget0,0.6000,phi1,5.2769,1.7328,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_aniso_nugget0,0.6000,phi2,0.2828,1.7328,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_aniso_nugget0,0.6000,phi3,1.7901,1.7328,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_aniso_nugget0,0.6000,nugget,0.0000,1.7328,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,cauchy_aniso_nugget0,0.6000,sigmasq,18.2815,1.5829,4560,4183
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,cauchy_aniso_nugget0,0.6000,range_lat,7.4154,1.5829,4560,4183
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,cauchy_aniso_nugget0,0.6000,range_lon,9.9399,1.5829,4560,4183
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,cauchy_aniso_nugget0,0.6000,gc_alpha,0.6000,1.5829,4560,4183
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,cauchy_aniso_nugget0,0.6000,gc_beta,4.1379,1.5829,4560,4183
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,cauchy_aniso_nugget0,0.6000,phi1,1.8392,1.5829,4560,4183
