frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.6 b=2.5 nugget0,GC a=0.6 b=2.5 nugget free,GC a=0.6 b=3.3 nugget0,GC a=0.6 b=3.3 nugget free,GC a=0.6 b=5 nugget0,GC a=0.6 b=5 nugget free,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2.5 nugget free,GC a=0.7 b=3.3 nugget0,GC a=0.7 b=3.3 nugget free,GC a=0.7 b=5 nugget0,GC a=0.7 b=5 nugget free
ultra_low,0.5729,5.1561,3.9057,1.3980,1.8896,1.5237,1.9789,1.5335,2.0944,1.5398,2.8256,1.7329,3.0719,1.7287,3.4023,1.7218
low_mid,6.3019,16.6141,0.5828,0.7860,0.8279,0.8775,0.8131,0.8709,0.7956,0.8633,0.7801,0.8514,0.7569,0.8426,0.7297,0.8329
mid,17.7599,33.8012,0.8999,1.1065,1.0081,1.0703,1.0014,1.0708,0.9937,1.0715,0.9592,1.0682,0.9480,1.0713,0.9353,1.0753
high,34.9470,56.7172,1.1037,1.0863,1.0474,1.0521,1.0494,1.0535,1.0516,1.0551,1.0644,1.0704,1.0667,1.0721,1.0695,1.0739
very_high,57.8630,79.6333,1.0639,0.9240,0.9535,0.9215,0.9581,0.9216,0.9633,0.9216,1.0055,0.9389,1.0125,0.9368,1.0204,0.9343
