frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0,GC a=0.8 b=1 nugget0,GC a=0.7 b=1 nugget0
ultra_low,0.5729,5.1561,1.0888,1.1302,1.2312,1.0563
low_mid,6.3019,16.6141,0.7838,0.9560,0.9595,0.9477
mid,17.7599,33.8012,0.9910,1.0322,1.0153,1.0418
high,34.9470,56.7172,1.0875,1.0679,1.0733,1.0570
very_high,57.8630,79.6333,1.0044,0.9810,0.9986,0.9616
