k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=0.8 nugget0,GC a=0.7 b=0.6 nugget0,GC a=0.7 b=0.5 nugget0,GC a=0.8 b=0.8 nugget0,GC a=0.8 b=0.6 nugget0,GC a=0.8 b=0.5 nugget0
0,0.5729,5.1977,1.7872,1.5761,1.4608,2.8562,2.4037,2.1676
1,1.7187,1.1182,0.8596,0.8056,0.7728,1.1799,1.0801,1.0206
2,2.8645,0.6466,0.6949,0.6715,0.6557,0.8527,0.8166,0.7917
3,4.0103,0.6499,0.7623,0.7471,0.7360,0.8719,0.8535,0.8384
4,5.1561,0.6754,0.7973,0.7863,0.7776,0.8757,0.8661,0.8562
5,6.3019,0.7743,0.9075,0.9001,0.8934,0.9625,0.9598,0.9538
10,12.0309,0.8667,0.9281,0.9272,0.9250,0.9146,0.9219,0.9234
15,17.7599,1.0230,1.0391,1.0388,1.0374,1.0073,1.0150,1.0175
20,23.4890,1.1119,1.0982,1.0975,1.0963,1.0656,1.0713,1.0732
25,29.2180,1.0966,1.0699,1.0686,1.0672,1.0489,1.0516,1.0523
30,34.9470,1.1051,1.0727,1.0705,1.0689,1.0662,1.0662,1.0657
35,40.6760,1.0859,1.0551,1.0527,1.0512,1.0616,1.0597,1.0585
40,46.4050,1.0625,1.0332,1.0302,1.0284,1.0527,1.0490,1.0468
45,52.1340,1.0077,0.9826,0.9799,0.9783,1.0084,1.0042,1.0018
50,57.8630,1.0078,0.9855,0.9825,0.9808,1.0183,1.0133,1.0105
55,63.5921,0.9256,0.9065,0.9035,0.9018,0.9423,0.9370,0.9340
60,69.3211,0.9228,0.9053,0.9022,0.9005,0.9441,0.9384,0.9353
65,75.0501,0.8350,0.8213,0.8187,0.8174,0.8611,0.8557,0.8529
69,79.6333,0.8617,0.8484,0.8456,0.8442,0.8930,0.8871,0.8839
