year,variant,model_label,nugget_mode,k_bin,k_mid,data_spectrum,data_spectrum_p10,data_spectrum_p90,theory_spectrum_expected,theory_spectrum_expected_p10,theory_spectrum_expected_p90,ratio_I_over_EI,ratio_I_over_EI_p10,ratio_I_over_EI_p90,n_slices,data_k_max
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,0,0.5729014104765542,21211.195491178176,5657.76811489552,33484.09383650888,26791.314117128342,12916.221003769604,44198.539469558214,1.1714100654609803,0.21628303569402418,2.4048426092381385,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,1,1.7187042314296626,3037.2126485541567,1730.5429838181321,4591.2041317651665,4815.460874813018,2610.3199647310753,7809.545427282848,0.7356072114527531,0.39701078717752936,1.1706042264711647,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,2,2.8645070523827707,880.5017148885609,497.0967053455724,1384.2027521633083,1513.4147976318998,873.1014766383331,2382.610376345977,0.6435003364933509,0.37831236137064894,0.9466777534999167,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,3,4.0103098733358795,473.1926569477112,198.0764894135972,672.2886214320632,662.2706712097927,385.25036963283225,1033.661863974888,0.7447266969077107,0.5161726278886644,1.0459991339605292,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,4,5.156112694288987,260.84686428776996,126.95403605076359,369.01644920539013,382.76782354729465,217.37786577757026,591.7267329817522,0.6951116420840029,0.46926776976510864,0.9429914159849289,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,5,6.301915515242095,189.82891611873976,98.89341985634837,279.3880236513382,232.85401241222877,136.39915342750479,347.280313467044,0.8371197226133701,0.5829387889159529,1.0147031208473494,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,6,7.447718336195206,136.16033839197013,69.71453495483617,229.23280654894762,159.4275731505054,93.88492325799743,234.33152958284512,0.8372760458624505,0.672050090823502,1.036117242983686,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,7,8.593521157148313,91.74805424802356,49.95617991377683,136.5096764050849,110.73616138062468,65.58893895340898,159.7917540675424,0.8311488520024259,0.685451490670533,1.034531473329519,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,8,9.739323978101421,71.82551435275806,40.23051782146484,104.00878722314219,81.90742856346016,48.48225934856449,117.92607882148164,0.8876311256101845,0.7186823219319757,1.036634062878978,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,9,10.885126799054529,59.21387696221943,32.896843127246036,88.33596847160177,64.3230117980282,37.76551883973018,92.1739313188078,0.9257663560307019,0.7447300629202461,1.1227864614898113,40,79.63329605624102
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,10,12.030929620007637,46.70008563997236,28.501199901770192,66.71940043763492,49.96893210076533,29.58409284505465,71.63496845088206,0.9257214787800938,0.7759360946283591,1.1255286895029097,40,79.63329605624102
