frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.7 b=3 nugget0,GC a=0.7 b=3 nugget free,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=3.5 nugget free,GC a=0.7 b=4 nugget0,GC a=0.7 b=4 nugget free
ultra_low,0.5729,5.1561,0.8410,0.8032,0.9887,0.9324,0.9859,0.9281,0.9830,0.9244
low_mid,6.3019,16.6141,0.7694,0.8403,0.8940,0.9210,0.8873,0.9173,0.8820,0.9143
mid,17.7599,33.8012,1.0072,1.1025,1.0282,1.0737,1.0237,1.0748,1.0200,1.0755
high,34.9470,56.7172,1.0778,1.0760,1.0475,1.0548,1.0482,1.0558,1.0488,1.0565
very_high,57.8630,79.6333,0.9737,0.9178,0.9433,0.9185,0.9455,0.9185,0.9473,0.9186
