frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1.5 nugget0
ultra_low,0.5729,5.1561,0.8410,0.9912,0.9922,0.9885
low_mid,6.3019,16.6141,0.7694,0.9023,0.9132,0.9271
mid,17.7599,33.8012,1.0072,1.0341,1.0390,1.0507
high,34.9470,56.7172,1.0778,1.0466,1.0454,1.0440
very_high,57.8630,79.6333,0.9737,0.9404,0.9364,0.9306
