year,calendar_day,slice_in_day,time_position,time_key
2022,2,0,8,2022_07_y22m07day02_hm00:53
2022,2,1,9,2022_07_y22m07day02_hm01:53
2022,2,2,10,2022_07_y22m07day02_hm02:48
2022,2,3,11,2022_07_y22m07day02_hm03:48
2022,2,4,12,2022_07_y22m07day02_hm04:48
2022,2,5,13,2022_07_y22m07day02_hm05:48
2022,2,6,14,2022_07_y22m07day02_hm06:48
2022,2,7,15,2022_07_y22m07day02_hm07:48
2022,4,0,24,2022_07_y22m07day04_hm00:53
2022,4,1,25,2022_07_y22m07day04_hm01:53
2022,4,2,26,2022_07_y22m07day04_hm02:48
2022,4,3,27,2022_07_y22m07day04_hm03:48
2022,4,4,28,2022_07_y22m07day04_hm04:48
2022,4,5,29,2022_07_y22m07day04_hm05:48
2022,4,6,30,2022_07_y22m07day04_hm06:48
2022,4,7,31,2022_07_y22m07day04_hm07:48
2022,24,0,184,2022_07_y22m07day24_hm00:53
2022,24,1,185,2022_07_y22m07day24_hm01:53
2022,24,2,186,2022_07_y22m07day24_hm02:48
2022,24,3,187,2022_07_y22m07day24_hm03:48
2022,24,4,188,2022_07_y22m07day24_hm04:48
2022,24,5,189,2022_07_y22m07day24_hm05:48
2022,24,6,190,2022_07_y22m07day24_hm06:48
2022,24,7,191,2022_07_y22m07day24_hm07:48
