date_str,true_smooth,fit_smooth,hour_idx,time_key,resolution_stride,resolution_label,variant,profile_type,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,0,0.5729014104765542,0.627252201974578,2,10.885126799054529,4.260149513989379,15.547553814660779,6.233900321656216,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,1,1.7187042314296626,1.695268273838533,18,10.885126799054529,11.91169952827625,14.443339027587001,6.1468304424221305,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,2,2.8645070523827707,2.888368177098319,26,10.885126799054529,6.505976127249171,11.35658841922062,6.09433918093259,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,3,4.0103098733358795,4.101153866844383,42,10.885126799054529,7.4620741880519725,9.605684208785554,6.075567672174561,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,4,5.156112694288987,5.243474246005946,50,10.885126799054529,11.996169821161082,8.898806495528705,6.068391938080153,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,5,6.301915515242095,6.334396296799058,51,10.885126799054529,8.230844884424332,8.633492001128317,6.065258207794723,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,6,7.447718336195205,7.484202811445298,46,10.885126799054529,5.378838252437652,8.443476521314627,6.063488192379849,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,7,8.593521157148313,8.64988424118374,48,10.885126799054529,8.151758441144013,8.353769345428377,6.062492308030014,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,8,9.739323978101421,9.828990003837582,14,10.885126799054529,2.4049187468980557,8.313561129453918,6.061885284548375,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,9,10.885126799054529,10.932120873774602,2,10.885126799054529,2.7498761609879607,8.304093035711503,6.061526576129006,0.7799215107218179
