date_str,true_smooth,fit_smooth,hour_idx,time_key,resolution_stride,resolution_label,variant,profile_type,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,0,0.5729014104765542,0.627252201974578,2,10.885126799054529,4.566580611673774,14.313450950898126,6.018940845876931,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,1,1.7187042314296626,1.695268273838533,18,10.885126799054529,13.08888050369028,14.025492735046681,5.888883633662582,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,2,2.8645070523827707,2.888368177098319,26,10.885126799054529,6.280347270576139,11.51322628756746,5.789460980643926,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,3,4.0103098733358795,4.101153866844383,42,10.885126799054529,6.912787254188518,9.754003833707944,5.744180863457628,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,4,5.156112694288987,5.243474246005946,50,10.885126799054529,11.761228899588865,8.915854817128274,5.723952563328068,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,5,6.301915515242095,6.334396296799058,51,10.885126799054529,8.55679539324583,8.563547006053497,5.714047864718975,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,6,7.447718336195205,7.484202811445298,46,10.885126799054529,5.2411883844369065,8.281862775010177,5.707983064680436,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,7,8.593521157148313,8.64988424118374,48,10.885126799054529,8.045123164732411,8.143238032014965,5.704315382656424,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,8,9.739323978101421,9.828990003837582,14,10.885126799054529,1.8315832326239636,8.079601712575924,5.7019434951346435,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,9,10.885126799054529,10.932120873774602,2,10.885126799054529,2.02299704786987,8.064410630134244,5.700466626165371,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,10,12.030929620007637,12.063865932841784,0,10.885126799054529,,,5.699399398895979,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,11,13.176732440960746,13.166390002837563,0,10.885126799054529,,,5.698644924814831,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,12,14.322535261913854,14.273893849907077,0,10.885126799054529,,,5.698080683454221,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,13,15.468338082866964,15.425211497575258,0,10.885126799054529,,,5.697636552726244,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,14,16.614140903820072,16.59460817503016,0,10.885126799054529,,,5.697291018808148,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,15,17.75994372477318,17.777808040803787,0,10.885126799054529,,,5.697018715838265,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,16,18.905746545726288,18.924882639210317,0,10.885126799054529,,,5.696809634899305,0.8777330307713971
20240703,0.5,0.3,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.3,300,2.9016,0.3652,6.489,17,20.051549366679396,20.055622399506323,0,10.885126799054529,,,5.696643346776079,0.8777330307713971
