frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.8 b=0.4 nugget0,GC a=0.8 b=0.3 nugget0,GC a=0.8 b=0.2 nugget0,GC a=0.85 b=0.4 nugget0,GC a=0.85 b=0.3 nugget0,GC a=0.85 b=0.2 nugget0
ultra_low,0.5729,5.1561,0.6754,0.8418,0.8221,0.7966,0.8802,0.8577,0.8284
low_mid,6.3019,16.6141,0.8690,0.9403,0.9319,0.9212,0.9449,0.9424,0.9325
mid,17.7599,33.8012,1.0937,1.0521,1.0506,1.0479,1.0439,1.0441,1.0429
high,34.9470,56.7172,1.0707,1.0483,1.0455,1.0421,1.0530,1.0501,1.0467
very_high,57.8630,79.6333,0.9242,0.9315,0.9283,0.9249,0.9447,0.9407,0.9366
