n,true_smooth,rep,y_mean,y_var
200,0.5000,0,-0.8581,13.0094
200,1.5000,0,-0.1780,3.5933
400,0.5000,0,-3.6870,8.3042
400,1.5000,0,0.1777,5.5945
800,0.5000,0,1.0144,5.9334
800,1.5000,0,0.0209,10.2211
1600,0.5000,0,-4.2541,10.1059
1600,1.5000,0,4.6761,8.6956
3200,0.5000,0,0.8184,7.7950
3200,1.5000,0,2.8349,9.3140
