k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1.5 nugget0
0,0.5729,3.6366,1.3980,1.2484,1.0637
1,1.7187,1.9167,1.4371,1.3766,1.2896
2,2.8645,0.8410,0.8758,0.8654,0.8462
3,4.0103,0.8403,0.9912,0.9922,0.9885
4,5.1561,0.7833,0.9606,0.9670,0.9714
5,6.3019,0.6201,0.7703,0.7783,0.7864
10,12.0309,0.7811,0.9053,0.9166,0.9311
15,17.7599,0.9002,0.9715,0.9808,0.9933
20,23.4890,1.0072,1.0365,1.0430,1.0519
25,29.2180,1.0360,1.0356,1.0390,1.0438
30,34.9470,1.0758,1.0561,1.0570,1.0582
35,40.6760,1.0763,1.0468,1.0459,1.0447
40,46.4050,1.0859,1.0503,1.0480,1.0447
45,52.1340,1.0635,1.0267,1.0237,1.0194
50,57.8630,0.9919,0.9577,0.9543,0.9494
55,63.5921,1.0056,0.9709,0.9670,0.9614
60,69.3211,0.9705,0.9374,0.9334,0.9276
65,75.0501,0.9345,0.9013,0.8970,0.8909
69,79.6333,0.9552,0.9211,0.9164,0.9098
