date_str,hour_idx,time_key,resolution_stride,resolution_label,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,n_freq,data_spectrum,theory_spectrum_raw,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,0,0.5729014104765542,2,0.568660474720096,0.8514723199632939,5467.546056845139,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,1,1.7187042314296626,18,525.2060778645559,0.6079874262596886,3904.060269629068,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,2,2.8645070523827707,26,122.26964478604357,0.35835734503806715,2301.114484718472,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,3,4.0103098733358795,42,48.230148456902945,0.20809284322068547,1336.2233600946654,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,4,5.156112694288987,42,19.259577668469777,0.1295556107359699,831.9134421799553,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,5,6.301915515242095,60,14.927089910023746,0.08733711171411943,560.816446492779,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,6,7.447718336195205,66,12.083945095259983,0.060094854842289006,385.88616320939553,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,7,8.593521157148313,86,10.730539421655509,0.04298892186808873,276.0441000102326,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,8,9.739323978101421,86,10.037780650834897,0.03164917957094142,203.2283879444774,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,9,10.885126799054529,98,7.521959416462119,0.024461089803526175,157.07161814393433,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,10,12.030929620007637,110,6.859902678003106,0.019202518825620803,123.3048375442711,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,11,13.176732440960746,114,5.582276600044786,0.015449952252039665,99.20853976524651,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,12,14.322535261913854,130,5.417491814005392,0.012623107129273323,81.0565628401959,6421.28455459461
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3,2259,13.286976299874604,0.27587108966701346,0.0,13,15.468338082866964,142,4.45884834672625,0.010385034060087901,66.6852588089814,6421.28455459461
