k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.6 b=0.3 nugget0,GC a=0.6 b=0.5 nugget0,GC a=0.6 b=1 nugget0,GC a=0.65 b=0.3 nugget0,GC a=0.65 b=0.5 nugget0,GC a=0.65 b=1 nugget0,GC a=0.7 b=0.3 nugget0,GC a=0.7 b=0.5 nugget0,GC a=0.7 b=1 nugget0,GC a=0.75 b=0.3 nugget0,GC a=0.75 b=0.5 nugget0,GC a=0.75 b=1 nugget0,GC a=0.8 b=0.3 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.8 b=1 nugget0,GC a=0.85 b=0.3 nugget0,GC a=0.85 b=0.5 nugget0,GC a=0.85 b=1 nugget0,GC a=0.9 b=0.3 nugget0,GC a=0.9 b=0.5 nugget0,GC a=0.9 b=1 nugget0,GC a=1 b=0.3 nugget0,GC a=1 b=0.5 nugget0,GC a=1 b=1 nugget0
10,12.0309,0.9044,0.9232,0.9356,0.9502,0.9257,0.9376,0.9476,0.9272,0.9368,0.9387,0.9282,0.9348,0.9265,0.9299,0.9333,0.9141,0.9327,0.9332,0.9028,0.9368,0.9347,0.8938,0.9484,0.9428,0.8835
11,13.1767,0.9397,0.9776,0.9876,0.9987,0.9719,0.9808,0.9868,0.9664,0.9726,0.9701,0.9615,0.9644,0.9517,0.9580,0.9574,0.9336,0.9563,0.9523,0.9173,0.9564,0.9493,0.9035,0.9609,0.9494,0.8843
12,14.3225,0.9906,1.0007,1.0131,1.0276,1.0027,1.0142,1.0237,1.0020,1.0109,1.0119,0.9999,1.0053,0.9959,0.9979,0.9997,0.9788,0.9967,0.9949,0.9624,0.9968,0.9916,0.9477,1.0003,0.9900,0.9254
13,15.4683,1.0614,1.0674,1.0795,1.0939,1.0674,1.0786,1.0879,1.0647,1.0732,1.0740,1.0603,1.0652,1.0554,1.0559,1.0568,1.0354,1.0523,1.0493,1.0159,1.0499,1.0432,0.9979,1.0489,1.0361,0.9691
14,16.6141,1.0264,1.0260,1.0369,1.0497,1.0247,1.0347,1.0431,1.0206,1.0280,1.0288,1.0147,1.0187,1.0099,1.0086,1.0088,0.9895,1.0032,0.9997,0.9693,0.9990,0.9918,0.9503,0.9941,0.9807,0.9187
15,17.7599,1.0207,1.0212,1.0313,1.0432,1.0195,1.0286,1.0359,1.0145,1.0210,1.0210,1.0076,1.0108,1.0016,1.0004,0.9998,0.9805,0.9938,0.9894,0.9595,0.9882,0.9802,0.9397,0.9804,0.9661,0.9054
16,18.9057,1.0711,1.0641,1.0742,1.0862,1.0620,1.0710,1.0787,1.0560,1.0625,1.0631,1.0479,1.0510,1.0427,1.0393,1.0387,1.0203,1.0312,1.0267,0.9978,1.0241,1.0158,0.9762,1.0133,0.9983,0.9381
17,20.0515,1.0288,1.0207,1.0291,1.0393,1.0170,1.0246,1.0311,1.0102,1.0156,1.0159,1.0015,1.0039,0.9964,0.9923,0.9913,0.9749,0.9835,0.9790,0.9531,0.9756,0.9675,0.9320,0.9631,0.9484,0.8940
18,21.1974,1.0791,1.0618,1.0710,1.0819,1.0609,1.0691,1.0763,1.0555,1.0614,1.0624,1.0474,1.0502,1.0432,1.0382,1.0375,1.0217,1.0291,1.0247,0.9993,1.0207,1.0126,0.9774,1.0066,0.9917,0.9371
19,22.3432,1.1530,1.1270,1.1364,1.1477,1.1270,1.1355,1.1433,1.1219,1.1281,1.1298,1.1135,1.1166,1.1106,1.1038,1.1034,1.0885,1.0939,1.0897,1.0653,1.0845,1.0765,1.0422,1.0684,1.0532,0.9989
20,23.4890,1.1388,1.1111,1.1198,1.1304,1.1111,1.1189,1.1263,1.1060,1.1117,1.1134,1.0976,1.1005,1.0950,1.0879,1.0874,1.0738,1.0778,1.0737,1.0512,1.0681,1.0604,1.0286,1.0512,1.0364,0.9856
21,24.6348,1.1429,1.1098,1.1181,1.1284,1.1108,1.1184,1.1258,1.1066,1.1122,1.1144,1.0988,1.1017,1.0973,1.0894,1.0892,1.0771,1.0794,1.0758,1.0553,1.0697,1.0626,1.0332,1.0523,1.0382,0.9906
22,25.7806,1.0910,1.0594,1.0665,1.0753,1.0600,1.0665,1.0727,1.0558,1.0605,1.0622,1.0483,1.0506,1.0466,1.0392,1.0387,1.0280,1.0296,1.0260,1.0079,1.0202,1.0133,0.9873,1.0028,0.9896,0.9471
23,26.9264,1.0696,1.0480,1.0532,1.0596,1.0455,1.0501,1.0542,1.0393,1.0424,1.0426,1.0307,1.0315,1.0268,1.0208,1.0192,1.0086,1.0107,1.0063,0.9892,1.0007,0.9934,0.9693,0.9826,0.9695,0.9304
24,28.0722,1.1498,1.1077,1.1149,1.1239,1.1112,1.1180,1.1249,1.1094,1.1146,1.1177,1.1037,1.1068,1.1048,1.0960,1.0965,1.0885,1.0872,1.0849,1.0701,1.0782,1.0728,1.0507,1.0608,1.0493,1.0115
25,29.2180,1.1202,1.0748,1.0815,1.0902,1.0796,1.0861,1.0930,1.0792,1.0843,1.0878,1.0748,1.0781,1.0772,1.0682,1.0692,1.0630,1.0603,1.0588,1.0466,1.0521,1.0477,1.0290,1.0358,1.0257,0.9926
26,30.3638,1.1913,1.1378,1.1448,1.1540,1.1448,1.1517,1.1593,1.1460,1.1517,1.1562,1.1429,1.1468,1.1471,1.1371,1.1389,1.1341,1.1299,1.1291,1.1186,1.1219,1.1185,1.1015,1.1057,1.0965,1.0653
27,31.5096,1.0696,1.0200,1.0258,1.0334,1.0268,1.0325,1.0390,1.0284,1.0332,1.0373,1.0262,1.0295,1.0302,1.0214,1.0230,1.0197,1.0153,1.0149,1.0068,1.0085,1.0057,0.9924,0.9943,0.9866,0.9614
28,32.6554,1.1317,1.0800,1.0855,1.0927,1.0875,1.0929,1.0992,1.0899,1.0945,1.0986,1.0882,1.0915,1.0927,1.0840,1.0857,1.0831,1.0783,1.0780,1.0710,1.0717,1.0693,1.0572,1.0576,1.0504,1.0268
29,33.8012,1.0891,1.0311,1.0366,1.0441,1.0409,1.0466,1.0535,1.0455,1.0505,1.0557,1.0457,1.0497,1.0524,1.0433,1.0459,1.0454,1.0390,1.0399,1.0357,1.0337,1.0327,1.0241,1.0217,1.0164,0.9976
30,34.9470,1.1024,1.0418,1.0472,1.0546,1.0530,1.0586,1.0656,1.0587,1.0638,1.0693,1.0601,1.0643,1.0676,1.0586,1.0615,1.0621,1.0552,1.0567,1.0540,1.0507,1.0504,1.0438,1.0398,1.0355,1.0196
31,36.0928,1.1145,1.0505,1.0558,1.0631,1.0632,1.0687,1.0758,1.0703,1.0754,1.0813,1.0729,1.0773,1.0814,1.0726,1.0759,1.0777,1.0702,1.0722,1.0711,1.0665,1.0670,1.0624,1.0569,1.0537,1.0407
32,37.2386,1.1141,1.0473,1.0524,1.0595,1.0613,1.0667,1.0738,1.0697,1.0749,1.0812,1.0736,1.0782,1.0831,1.0744,1.0782,1.0813,1.0731,1.0757,1.0765,1.0703,1.0716,1.0695,1.0622,1.0603,1.0508
33,38.3844,1.0771,1.0114,1.0161,1.0227,1.0258,1.0308,1.0375,1.0347,1.0396,1.0458,1.0393,1.0438,1.0490,1.0410,1.0448,1.0485,1.0405,1.0434,1.0452,1.0385,1.0403,1.0398,1.0318,1.0308,1.0241
34,39.5302,1.1512,1.0843,1.0884,1.0942,1.0991,1.1036,1.1098,1.1086,1.1130,1.1189,1.1138,1.1179,1.1232,1.1159,1.1196,1.1237,1.1159,1.1188,1.1215,1.1143,1.1162,1.1169,1.1082,1.1075,1.1027
35,40.6760,1.0758,1.0119,1.0158,1.0214,1.0272,1.0314,1.0374,1.0372,1.0415,1.0473,1.0432,1.0473,1.0527,1.0462,1.0500,1.0547,1.0472,1.0504,1.0541,1.0466,1.0490,1.0513,1.0423,1.0427,1.0406
36,41.8218,1.0517,0.9826,0.9868,0.9929,0.9997,1.0044,1.0111,1.0116,1.0165,1.0233,1.0193,1.0242,1.0309,1.0239,1.0286,1.0350,1.0263,1.0307,1.0364,1.0271,1.0308,1.0356,1.0252,1.0273,1.0286
37,42.9676,1.0626,0.9909,0.9950,1.0010,1.0093,1.0140,1.0208,1.0225,1.0275,1.0347,1.0315,1.0366,1.0440,1.0373,1.0424,1.0498,1.0408,1.0457,1.0529,1.0425,1.0470,1.0536,1.0422,1.0454,1.0495
38,44.1134,1.0577,0.9843,0.9884,0.9944,1.0037,1.0084,1.0154,1.0179,1.0230,1.0305,1.0278,1.0332,1.0411,1.0346,1.0400,1.0482,1.0390,1.0443,1.0526,1.0415,1.0467,1.0547,1.0427,1.0469,1.0533
39,45.2592,1.0712,0.9964,1.0004,1.0062,1.0168,1.0214,1.0282,1.0319,1.0369,1.0445,1.0427,1.0481,1.0564,1.0504,1.0560,1.0649,1.0556,1.0613,1.0707,1.0590,1.0646,1.0742,1.0616,1.0667,1.0755
40,46.4050,1.0476,0.9772,0.9805,0.9855,0.9967,1.0007,1.0068,1.0116,1.0161,1.0231,1.0226,1.0276,1.0355,1.0306,1.0359,1.0447,1.0363,1.0419,1.0514,1.0402,1.0458,1.0559,1.0439,1.0492,1.0594
41,47.5508,1.0675,0.9905,0.9942,0.9999,1.0123,1.0168,1.0236,1.0290,1.0341,1.0420,1.0415,1.0471,1.0562,1.0509,1.0569,1.0672,1.0577,1.0642,1.0755,1.0627,1.0694,1.0816,1.0682,1.0749,1.0881
42,48.6966,1.0718,0.9927,0.9964,1.0021,1.0155,1.0200,1.0270,1.0332,1.0384,1.0466,1.0467,1.0525,1.0620,1.0569,1.0633,1.0742,1.0647,1.0715,1.0838,1.0704,1.0777,1.0911,1.0774,1.0849,1.1000
43,49.8424,1.0333,0.9607,0.9636,0.9682,0.9821,0.9858,0.9918,0.9990,1.0035,1.0108,1.0122,1.0173,1.0261,1.0223,1.0281,1.0385,1.0301,1.0365,1.0485,1.0361,1.0429,1.0564,1.0436,1.0511,1.0667
44,50.9882,1.0369,0.9700,0.9720,0.9754,0.9900,0.9928,0.9977,1.0062,1.0097,1.0161,1.0189,1.0232,1.0313,1.0290,1.0340,1.0438,1.0368,1.0425,1.0541,1.0428,1.0491,1.0624,1.0507,1.0577,1.0737
45,52.1340,1.0108,0.9441,0.9461,0.9495,0.9645,0.9673,0.9722,0.9811,0.9847,0.9911,0.9943,0.9987,1.0070,1.0049,1.0101,1.0202,1.0132,1.0192,1.0313,1.0198,1.0265,1.0405,1.0288,1.0364,1.0536
46,53.2798,0.9688,0.9102,0.9112,0.9133,0.9286,0.9303,0.9338,0.9436,0.9460,0.9511,0.9557,0.9589,0.9659,0.9655,0.9695,0.9785,0.9734,0.9782,0.9893,0.9797,0.9853,0.9984,0.9885,0.9953,1.0121
47,54.4256,0.9964,0.9297,0.9316,0.9348,0.9510,0.9536,0.9584,0.9685,0.9720,0.9785,0.9827,0.9871,0.9957,0.9943,0.9997,1.0105,1.0038,1.0101,1.0232,1.0115,1.0187,1.0340,1.0226,1.0312,1.0507
48,55.5714,1.0076,0.9397,0.9417,0.9450,0.9617,0.9645,0.9694,0.9800,0.9836,0.9904,0.9950,0.9996,1.0085,1.0074,1.0130,1.0242,1.0176,1.0242,1.0379,1.0259,1.0335,1.0496,1.0382,1.0474,1.0681
49,56.7172,0.9892,0.9213,0.9232,0.9264,0.9437,0.9464,0.9513,0.9624,0.9660,0.9728,0.9779,0.9825,0.9916,0.9908,0.9965,1.0081,1.0015,1.0084,1.0225,1.0104,1.0184,1.0352,1.0239,1.0337,1.0557
50,57.8630,1.0032,0.9339,0.9358,0.9391,0.9572,0.9599,0.9650,0.9767,0.9805,0.9875,0.9930,0.9978,1.0072,1.0066,1.0126,1.0247,1.0181,1.0253,1.0401,1.0277,1.0360,1.0538,1.0424,1.0528,1.0762
51,59.0088,1.0130,0.9431,0.9448,0.9480,0.9666,0.9693,0.9742,0.9865,0.9902,0.9973,1.0032,1.0081,1.0178,1.0174,1.0235,1.0360,1.0294,1.0368,1.0524,1.0395,1.0482,1.0670,1.0554,1.0664,1.0915
52,60.1546,0.9363,0.8712,0.8729,0.8758,0.8936,0.8961,0.9007,0.9126,0.9161,0.9227,0.9287,0.9333,0.9424,0.9424,0.9482,0.9600,0.9541,0.9611,0.9758,0.9640,0.9723,0.9901,0.9796,0.9902,1.0142
53,61.3005,0.9540,0.8869,0.8886,0.8916,0.9103,0.9129,0.9177,0.9303,0.9339,0.9409,0.9473,0.9521,0.9616,0.9619,0.9679,0.9803,0.9743,0.9817,0.9973,0.9850,0.9938,1.0127,1.0021,1.0134,1.0390
54,62.4463,0.9684,0.8989,0.9006,0.9038,0.9229,0.9256,0.9306,0.9436,0.9474,0.9547,0.9613,0.9663,0.9763,0.9765,0.9828,0.9959,0.9895,0.9973,1.0137,1.0008,1.0101,1.0299,1.0190,1.0310,1.0581
55,63.5921,0.9239,0.8572,0.8589,0.8618,0.8805,0.8830,0.8878,0.9005,0.9041,0.9111,0.9176,0.9225,0.9321,0.9324,0.9386,0.9513,0.9452,0.9528,0.9688,0.9563,0.9653,0.9848,0.9742,0.9860,1.0127
56,64.7379,0.9506,0.8814,0.8831,0.8861,0.9059,0.9085,0.9135,0.9271,0.9308,0.9381,0.9453,0.9503,0.9604,0.9611,0.9675,0.9808,0.9748,0.9828,0.9996,0.9868,0.9963,1.0169,1.0063,1.0189,1.0473
57,65.8837,0.9320,0.8638,0.8654,0.8684,0.8880,0.8906,0.8954,0.9090,0.9126,0.9198,0.9271,0.9320,0.9420,0.9428,0.9491,0.9624,0.9565,0.9644,0.9812,0.9684,0.9779,0.9985,0.9881,1.0007,1.0292
58,67.0295,0.8703,0.8133,0.8139,0.8155,0.8347,0.8361,0.8393,0.8533,0.8556,0.8610,0.8694,0.8730,0.8810,0.8836,0.8885,0.8996,0.8961,0.9024,0.9169,0.9071,0.9149,0.9330,0.9254,0.9362,0.9620
59,68.1753,0.9221,0.8552,0.8567,0.8596,0.8793,0.8818,0.8865,0.9003,0.9039,0.9110,0.9185,0.9234,0.9333,0.9344,0.9408,0.9540,0.9483,0.9563,0.9731,0.9606,0.9702,0.9909,0.9809,0.9937,1.0227
60,69.3211,0.9041,0.8379,0.8395,0.8423,0.8620,0.8645,0.8693,0.8831,0.8867,0.8937,0.9013,0.9063,0.9161,0.9174,0.9237,0.9369,0.9314,0.9394,0.9561,0.9438,0.9534,0.9740,0.9645,0.9773,1.0062
61,70.4669,0.9110,0.8445,0.8460,0.8488,0.8686,0.8710,0.8757,0.8897,0.8932,0.9004,0.9080,0.9130,0.9230,0.9242,0.9306,0.9439,0.9384,0.9464,0.9635,0.9509,0.9607,0.9817,0.9719,0.9850,1.0145
62,71.6127,0.8922,0.8286,0.8297,0.8320,0.8523,0.8543,0.8585,0.8731,0.8762,0.8827,0.8912,0.8957,0.9051,0.9073,0.9132,0.9260,0.9214,0.9290,0.9456,0.9341,0.9433,0.9639,0.9553,0.9680,0.9973
63,72.7585,0.8706,0.8108,0.8113,0.8128,0.8336,0.8349,0.8383,0.8538,0.8561,0.8619,0.8716,0.8753,0.8841,0.8874,0.8927,0.9051,0.9017,0.9086,0.9249,0.9144,0.9232,0.9438,0.9363,0.9487,0.9787
64,73.9043,0.8350,0.7771,0.7776,0.7790,0.7998,0.8011,0.8043,0.8200,0.8223,0.8279,0.8379,0.8415,0.8502,0.8540,0.8592,0.8714,0.8685,0.8754,0.8916,0.8816,0.8904,0.9109,0.9043,0.9169,0.9472
65,75.0501,0.8244,0.7668,0.7673,0.7688,0.7896,0.7909,0.7941,0.8098,0.8122,0.8178,0.8279,0.8315,0.8402,0.8441,0.8494,0.8616,0.8588,0.8658,0.8821,0.8722,0.8810,0.9018,0.8954,0.9082,0.9388
66,76.1959,0.8810,0.8187,0.8191,0.8206,0.8433,0.8446,0.8481,0.8652,0.8677,0.8738,0.8849,0.8889,0.8983,0.9027,0.9084,0.9217,0.9188,0.9264,0.9443,0.9335,0.9432,0.9660,0.9593,0.9733,1.0071
67,77.3417,0.8847,0.8213,0.8218,0.8234,0.8462,0.8476,0.8512,0.8685,0.8711,0.8774,0.8885,0.8926,0.9024,0.9066,0.9125,0.9263,0.9231,0.9310,0.9494,0.9382,0.9482,0.9717,0.9647,0.9792,1.0141
68,78.4875,0.8481,0.7868,0.7873,0.7888,0.8109,0.8123,0.8158,0.8325,0.8351,0.8412,0.8520,0.8560,0.8655,0.8696,0.8754,0.8889,0.8858,0.8935,0.9114,0.9006,0.9104,0.9333,0.9267,0.9409,0.9750
69,79.6333,0.8301,0.7700,0.7705,0.7719,0.7940,0.7953,0.7987,0.8154,0.8179,0.8239,0.8348,0.8387,0.8480,0.8524,0.8581,0.8712,0.8685,0.8761,0.8937,0.8834,0.8930,0.9155,0.9096,0.9237,0.9573
