date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,0,0.5725217049535188,0.627252201974578,2,10.877912394116859,7.146724286205935,7.205705858780465,6.859435196041676,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,1,1.7175651148605566,1.7018181620898525,18,10.877912394116859,3.073221783762175,7.876725575932383,6.85943457045016,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,2,2.8626085247675945,2.900566628692178,26,10.877912394116859,4.271353606936386,8.124880746580947,6.859433284303265,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,3,4.007651934674632,4.118955191645456,42,10.877912394116859,8.142055865107945,8.131640114448624,6.859431292037492,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,4,5.1526953445816694,5.268540506256326,50,10.877912394116859,6.572140013351146,8.131819191316712,6.859428837191999,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,5,6.297738754488707,6.363088588139647,51,10.877912394116859,9.562707110833758,8.131831954977693,6.859425977618319,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,6,7.442782164395745,7.517407333586189,46,10.877912394116859,10.620215725553642,8.131824973719379,6.859422479822609,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,7,8.587825574302784,8.66351590838995,48,10.877912394116859,7.957277634672001,8.131819598241888,6.859418543125988,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,8,9.73286898420982,9.82006528647106,14,10.877912394116859,3.4545885083643753,8.13181799814669,6.859414160433823,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,9,10.877912394116859,10.93093271394091,2,10.877912394116859,4.466145427776235,8.131817554578454,6.859409602016175,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,10,12.022955804023894,12.019080845021094,0,10.877912394116859,,,6.859404856756096,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,11,13.167999213930933,13.114908634791416,0,10.877912394116859,,,6.859399836500825,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,12,14.313042623837973,14.28770050824847,0,10.877912394116859,,,6.859394248560111,2.3052782744202247
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,300,5.15639764147275,0.026606345248892816,2.975437490750683,13,15.458086033745008,15.46146889975809,0,10.877912394116859,,,6.859388483090079,2.3052782744202247
