date_str,hour_idx,time_key,resolution_stride,resolution_label,smooth,parameter,estimate,loss,n_grid,n_valid
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3000,sigmasq,13.2830,1.7219,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3000,range,0.3931,1.7219,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,0.3000,microergodic,23.2597,1.7219,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,0.3000,sigmasq,12.8872,1.5954,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,0.3000,range,0.3391,1.5954,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,0.3000,microergodic,24.6598,1.5954,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,0.3000,sigmasq,16.1444,1.7743,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,0.3000,range,0.1580,1.7743,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,0.3000,microergodic,48.8432,1.7743,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,0.3000,sigmasq,13.2116,1.4234,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,0.3000,range,0.1757,1.4234,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,0.3000,microergodic,37.5107,1.4234,18126,18067
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,0.3000,sigmasq,14.3077,1.7528,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,0.3000,range,0.4145,1.7528,300,293
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,0.3000,microergodic,24.2703,1.7528,300,293
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,0.3000,sigmasq,14.8461,1.6434,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,0.3000,range,0.3741,1.6434,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,0.3000,microergodic,26.7792,1.6434,1160,1134
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,0.3000,sigmasq,14.8254,1.5151,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,0.3000,range,0.3009,1.5151,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,0.3000,microergodic,30.4763,1.5151,4560,4437
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,0.3000,sigmasq,15.5879,1.3538,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,0.3000,range,0.2914,1.3538,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,0.3000,microergodic,32.6664,1.3538,18126,17670
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,0.3000,sigmasq,17.0913,1.8669,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,0.3000,range,0.3675,1.8669,300,272
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,0.3000,microergodic,31.1598,1.8669,300,272
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,0.3000,sigmasq,17.0543,1.7379,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,0.3000,range,0.3453,1.7379,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,0.3000,microergodic,32.2812,1.7379,1160,1064
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,0.3000,sigmasq,17.0114,1.5790,4560,4183
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,0.3000,range,0.3168,1.5790,4560,4183
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,0.3000,microergodic,33.9063,1.5790,4560,4183
20240703,2,2024_07_y24m07day03_hm02:53,1,x1,0.3000,sigmasq,18.4990,1.3526,18126,16698
20240703,2,2024_07_y24m07day03_hm02:53,1,x1,0.3000,range,0.3925,1.3526,18126,16698
20240703,2,2024_07_y24m07day03_hm02:53,1,x1,0.3000,microergodic,32.4203,1.3526,18126,16698
20240703,3,2024_07_y24m07day03_hm03:53,8,x8,0.3000,sigmasq,18.5636,1.8983,300,279
20240703,3,2024_07_y24m07day03_hm03:53,8,x8,0.3000,range,0.4323,1.8983,300,279
20240703,3,2024_07_y24m07day03_hm03:53,8,x8,0.3000,microergodic,30.7022,1.8983,300,279
20240703,3,2024_07_y24m07day03_hm03:53,4,x4,0.3000,sigmasq,18.1496,1.7544,1160,1080
