bin_scheme,variant,resolution_label,band,ratio_gmean,ratio_median,mean_log_ratio,n_points,n_hours
bins100_q0985,nugget0,x1,k<=2,0.874798749734522,0.838174328157267,-0.4350347051275835,24,8
bins100_q0985,nugget0,x1,2<k<=5,0.8452186714473247,0.9409380406436842,-0.16864600792124446,56,8
bins100_q0985,nugget0,x1,k<=5,0.850521462167761,0.9065822459565651,-0.24856261708314617,80,8
bins100_q0985,nugget0,x1,k<=10,1.1232806036376068,1.1096990812243075,-0.0010605722856087455,184,8
bins100_q0985,nugget0,x2,k<=2,0.9640247307451917,1.056013596167599,-0.3783180143253496,32,8
bins100_q0985,nugget0,x2,2<k<=5,0.82703784670223,0.8804142414120915,-0.21016093583923923,96,8
bins100_q0985,nugget0,x2,k<=5,0.8479939983557895,0.8936345130131851,-0.2522002054607669,128,8
bins100_q0985,nugget0,x2,k<=10,0.9274709927019535,0.9549830252356271,-0.1697954584214521,328,8
bins100_q0985,nugget0,x4,k<=2,0.9096407505908273,1.223418847951823,-0.15942244113906853,48,8
bins100_q0985,nugget0,x4,2<k<=5,0.7022612448878703,0.7791451574343395,-0.3712983354377736,160,8
bins100_q0985,nugget0,x4,k<=5,0.7297032626562842,0.8786067063261619,-0.3224038982919186,208,8
bins100_q0985,nugget0,x4,k<=10,0.8070550301836392,0.8865320955503189,-0.2573428067282106,472,8
bins100_q0985,nugget0,x8,k<=2,0.9931200289954426,1.2563567620998284,-0.02128873737755627,48,8
bins100_q0985,nugget0,x8,2<k<=5,0.6648851616348608,0.7388938757537462,-0.518321528718847,160,8
bins100_q0985,nugget0,x8,k<=5,0.7234889876207888,0.828478468161874,-0.4036216537939336,208,8
bins100_q0985,nugget0,x8,k<=10,0.7249068664179766,0.828478468161874,-0.3978324575402954,216,8
bins100_q0985,nugget_free,x1,k<=2,0.790783859367472,0.7026641401006695,-0.5610486326257802,24,8
bins100_q0985,nugget_free,x1,2<k<=5,0.8209676019357733,0.905147379669976,-0.1979331004427946,56,8
bins100_q0985,nugget_free,x1,k<=5,0.8153952180330616,0.8610985141424917,-0.3068677600976903,80,8
bins100_q0985,nugget_free,x1,k<=10,1.0992713439761894,1.083147685581376,-0.034960881116258,184,8
bins100_q0985,nugget_free,x2,k<=2,0.9590160034460065,1.0560787037176729,-0.38380241238061585,32,8
bins100_q0985,nugget_free,x2,2<k<=5,0.8316802051507923,0.8804472778916628,-0.20468502719725226,96,8
bins100_q0985,nugget_free,x2,k<=5,0.8512507471269214,0.8936190469382255,-0.24946437349309317,128,8
