k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=0.8 nugget0,GC a=0.7 b=0.6 nugget0,GC a=0.7 b=0.5 nugget0,GC a=0.8 b=0.8 nugget0,GC a=0.8 b=0.6 nugget0,GC a=0.8 b=0.5 nugget0
35,40.6760,1.0859,1.0551,1.0527,1.0512,1.0616,1.0597,1.0585
36,41.8218,1.0710,1.0392,1.0363,1.0345,1.0500,1.0473,1.0456
37,42.9676,1.0625,1.0313,1.0284,1.0265,1.0444,1.0415,1.0396
38,44.1134,1.0758,1.0445,1.0413,1.0394,1.0603,1.0569,1.0548
39,45.2592,1.0809,1.0497,1.0465,1.0445,1.0680,1.0643,1.0620
40,46.4050,1.0625,1.0332,1.0302,1.0284,1.0527,1.0490,1.0468
41,47.5508,1.0852,1.0543,1.0509,1.0488,1.0774,1.0730,1.0704
42,48.6966,1.1233,1.0918,1.0881,1.0860,1.1177,1.1129,1.1101
43,49.8424,1.0704,1.0416,1.0384,1.0365,1.0671,1.0626,1.0600
44,50.9882,1.0508,1.0244,1.0217,1.0201,1.0495,1.0453,1.0430
45,52.1340,1.0077,0.9826,0.9799,0.9783,1.0084,1.0042,1.0018
46,53.2798,0.9883,0.9654,0.9631,0.9619,0.9905,0.9867,0.9846
47,54.4256,0.9934,0.9699,0.9671,0.9655,0.9982,0.9937,0.9912
48,55.5714,1.0185,0.9949,0.9919,0.9903,1.0251,1.0203,1.0177
49,56.7172,1.0155,0.9924,0.9894,0.9877,1.0244,1.0194,1.0167
50,57.8630,1.0078,0.9855,0.9825,0.9808,1.0183,1.0133,1.0105
51,59.0088,1.0765,1.0532,1.0500,1.0482,1.0899,1.0843,1.0813
52,60.1546,0.9489,0.9286,0.9256,0.9240,0.9620,0.9569,0.9541
53,61.3005,0.9453,0.9253,0.9223,0.9207,0.9599,0.9546,0.9518
54,62.4463,1.0002,0.9794,0.9763,0.9745,1.0171,1.0115,1.0084
55,63.5921,0.9256,0.9065,0.9035,0.9018,0.9423,0.9370,0.9340
56,64.7379,0.9668,0.9472,0.9440,0.9422,0.9856,0.9799,0.9768
57,65.8837,0.9417,0.9226,0.9195,0.9178,0.9607,0.9551,0.9520
58,67.0295,0.8774,0.8616,0.8592,0.8579,0.8960,0.8912,0.8887
59,68.1753,0.9625,0.9439,0.9408,0.9390,0.9839,0.9780,0.9748
60,69.3211,0.9228,0.9053,0.9022,0.9005,0.9441,0.9384,0.9353
61,70.4669,0.9551,0.9371,0.9339,0.9321,0.9777,0.9718,0.9685
62,71.6127,0.8952,0.8787,0.8759,0.8744,0.9172,0.9117,0.9088
63,72.7585,0.8774,0.8621,0.8595,0.8582,0.9011,0.8958,0.8930
64,73.9043,0.8352,0.8211,0.8186,0.8173,0.8601,0.8548,0.8520
65,75.0501,0.8350,0.8213,0.8187,0.8174,0.8611,0.8557,0.8529
66,76.1959,0.8842,0.8698,0.8671,0.8657,0.9133,0.9074,0.9044
67,77.3417,0.8867,0.8726,0.8698,0.8683,0.9171,0.9111,0.9080
68,78.4875,0.8626,0.8491,0.8463,0.8449,0.8931,0.8872,0.8841
69,79.6333,0.8617,0.8484,0.8456,0.8442,0.8930,0.8871,0.8839
