true_smooth,fit_smooth,n,loss_mean,sigmasq_mean,sigmasq_sd,range_mean,range_sd,success_rate,fit_s_mean
0.5000,0.5000,200,1.1650,14.6996,,0.2444,,1.0000,0.0912
0.5000,0.5000,400,0.8095,17.6981,,0.3007,,1.0000,0.1576
0.5000,0.5000,800,0.3981,5.2598,,0.1006,,1.0000,0.5737
0.5000,0.5000,1600,0.1262,21.1019,,0.3508,,1.0000,3.5625
0.5000,0.5000,3200,-0.2243,5.6861,,0.0949,,1.0000,11.4770
0.5000,1.5000,200,1.3429,8.4553,,0.0190,,1.0000,0.3108
0.5000,1.5000,400,1.0540,12.8027,,0.0145,,1.0000,0.5567
0.5000,1.5000,800,0.6677,3.4250,,0.0057,,1.0000,3.8745
0.5000,1.5000,1600,0.4844,15.5044,,0.0061,,1.0000,7.0534
0.5000,1.5000,3200,0.1922,33.6378,,0.0050,,1.0000,27.7378
1.5000,0.5000,200,-0.6925,1.2524,,0.8731,,1.0000,0.0521
1.5000,0.5000,400,-1.3348,1.1986,,1.5000,,1.0000,0.0825
1.5000,0.5000,800,-2.0023,0.6351,,1.5000,,1.0000,0.3953
1.5000,0.5000,1600,-2.3465,0.6405,,1.5000,,1.0000,1.0456
1.5000,0.5000,3200,-3.5127,0.1246,,1.5000,,1.0000,5.3645
1.5000,1.5000,200,-1.6457,1.9572,,0.1096,,1.0000,0.2027
1.5000,1.5000,400,-2.6826,3.6381,,0.1379,,1.0000,1.0054
1.5000,1.5000,800,-3.6395,3.8342,,0.1338,,1.0000,3.6182
1.5000,1.5000,1600,-4.7080,3.8752,,0.1381,,1.0000,18.5421
1.5000,1.5000,3200,-5.6914,3.8752,,0.1381,,1.0000,44.0840
