frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1 nugget0,GC a=0.7 b=0.5 nugget0
ultra_low,0.5729,5.1561,0.6754,0.7996,0.8025,0.7728
low_mid,6.3019,16.6141,0.8690,0.9200,0.9360,0.9337
mid,17.7599,33.8012,1.0937,1.0646,1.0703,1.0672
high,34.9470,56.7172,1.0707,1.0493,1.0428,1.0355
very_high,57.8630,79.6333,0.9242,0.9166,0.9085,0.9012
