date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,est_sigmasq,est_range,est_nugget,direction,directional_bin_mode,k_mid,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lat,exact_marginal,1.189997217269,40,8.329980520882,34.56114894825041,22.428346890932897,14.066997694110178,1.313093235646503
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lat,exact_marginal,2.379994434538,40,8.329980520882,9.56769233928816,14.180590575716213,10.085532744120457,1.313093235646503
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lat,exact_marginal,3.569991651807,40,8.329980520882,7.977580167168762,11.047784363230056,8.883417974606397,1.313093235646503
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lat,exact_marginal,4.759988869075,40,8.329980520882,8.367122758902031,9.686790230479815,8.367122758902031,1.313093235646503
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lat,exact_marginal,5.949986086344,40,8.329980520882,13.860485776781797,9.009169085924293,8.095469679662052,1.313093235646503
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lat,exact_marginal,7.139983303613,40,8.329980520882,11.025561944512305,8.661826168411073,7.933361504159312,1.313093235646503
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lat,exact_marginal,8.329980520882,40,8.329980520882,6.6245321025459045,8.511950712906946,7.828041044539022,1.313093235646503
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lon,exact_marginal,0.623331875712,30,6.233318757123,30.85646221890959,27.545489736583537,20.611806804645266,1.3954502370853634
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lon,exact_marginal,1.246663751425,30,6.233318757123,36.84541570988079,18.66114520256223,14.577913467025779,1.3954502370853634
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lon,exact_marginal,1.869995627137,30,6.233318757123,13.608867990599949,14.223095365196984,11.865060731468319,1.3954502370853634
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lon,exact_marginal,2.493327502849,30,6.233318757123,14.54571927894901,11.9802721322547,10.533558673685262,1.3954502370853634
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lon,exact_marginal,3.116659378561,30,6.233318757123,9.033739097375937,10.736216884398369,9.791478897882493,1.3954502370853634
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.3,8.666113264701275,1.0422396594441374,5.671766657755694,lon,exact_marginal,3.739991254274,30,6.233318757123,5.234269658951892,9.99645047218308,9.335327286622634,1.3954502370853634
