year,variant,model_label,nugget_mode,n_slices,sigmasq_median,range_lat_median,range_lon_median,nugget_median,nugget_mean,loss_median,loss_mean,delta_loss_mean_vs_matern_nugget0
2024,gc_a0p75_b1p0_nugget0,GC a=0.75 b=1 nugget0,nugget0,40,15.9825,0.4696,0.5708,0.0000,0.0000,1.2899,1.2773,-0.0039
2024,gc_a0p75_b1p0_nugget_free,GC a=0.75 b=1 nugget free,nugget_free,40,15.9693,0.4823,0.5790,0.0000,0.0474,1.2849,1.2513,-0.0300
2024,matern_s03_nugget0,Matern s=0.3 nugget0,nugget0,40,16.2442,0.4001,0.5171,0.0000,0.0000,1.2959,1.2812,0.0000
2024,matern_s03_nugget_free,Matern s=0.3 nugget free,nugget_free,40,16.9448,0.4189,0.5656,0.0000,0.1055,1.2862,1.2559,-0.0253
