k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.6 b=2.5 nugget0,GC a=0.6 b=2.5 nugget free,GC a=0.6 b=3.3 nugget0,GC a=0.6 b=3.3 nugget free,GC a=0.6 b=5 nugget0,GC a=0.6 b=5 nugget free,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2.5 nugget free,GC a=0.7 b=3.3 nugget0,GC a=0.7 b=3.3 nugget free,GC a=0.7 b=5 nugget0,GC a=0.7 b=5 nugget free
59,68.1753,1.0914,0.9484,0.9800,0.9469,0.9847,0.9470,0.9899,0.9469,1.0334,0.9647,1.0404,0.9625,1.0483,0.9598
60,69.3211,1.0980,0.9516,0.9851,0.9510,0.9898,0.9510,0.9951,0.9508,1.0395,0.9688,1.0466,0.9665,1.0547,0.9636
61,70.4669,1.1216,0.9702,1.0055,0.9700,1.0103,0.9700,1.0158,0.9698,1.0617,0.9882,1.0690,0.9857,1.0773,0.9827
62,71.6127,1.0675,0.9201,0.9546,0.9200,0.9593,0.9200,0.9646,0.9198,1.0089,0.9372,1.0161,0.9349,1.0242,0.9320
63,72.7585,1.0182,0.8723,0.9065,0.8723,0.9111,0.8723,0.9164,0.8722,0.9597,0.8887,0.9669,0.8864,0.9751,0.8836
64,73.9043,1.0308,0.8785,0.9152,0.8794,0.9200,0.8793,0.9255,0.8791,0.9705,0.8959,0.9781,0.8935,0.9866,0.8906
65,75.0501,1.0317,0.8769,0.9147,0.8782,0.9196,0.8782,0.9252,0.8779,0.9709,0.8948,0.9786,0.8923,0.9873,0.8893
66,76.1959,1.0407,0.8817,0.9212,0.8836,0.9262,0.8835,0.9319,0.8833,0.9789,0.9003,0.9867,0.8977,0.9956,0.8946
67,77.3417,1.0587,0.8948,0.9361,0.8972,0.9412,0.8971,0.9471,0.8968,0.9955,0.9142,1.0036,0.9115,1.0128,0.9082
68,78.4875,1.0032,0.8461,0.8861,0.8487,0.8910,0.8486,0.8966,0.8483,0.9430,0.8648,0.9507,0.8622,0.9595,0.8591
69,79.6333,1.0262,0.8640,0.9057,0.8670,0.9107,0.8669,0.9165,0.8666,0.9644,0.8834,0.9724,0.8807,0.9815,0.8775
