date_str,day_idx,hour_idx,time_key,fit_scope,smooth,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_valid,est_sigmasq,est_range_lat,est_range_lon,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,head_right_cols,above_count,right_col_count,per_time_conditioning_count
20240703,2,,,pooled_day,0.5000,HybridSpace_A20_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4036,0,1,0.7780,29.1150,29.8930,140352,14.5131,0.1975,0.2315,1.6399,1,140352,20.0000,20,140352,20,,,,
20240703,2,,,pooled_day,0.5000,ColumnSpace_Up2_Right3_M14_gridloc,column_space_tonly,Latitude/Longitude grid,1.4084,0,1,1.3610,20.1040,21.4650,140352,14.4297,0.1839,0.2184,1.4752,1,140352,14.0000,14,140352,14,0.0000,2.0000,3.0000,14.0000
20240703,2,,,pooled_day,0.5000,ColumnSpace_Up2_Right3_M14_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4075,0,1,1.3520,18.4390,19.7910,140352,14.4340,0.1809,0.2152,1.4342,1,140352,14.0000,14,140352,14,0.0000,2.0000,3.0000,14.0000
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,HybridSpace_A20_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4143,0,1,0.0810,4.0630,4.1440,18067,11.8696,0.2716,0.3552,3.1699,1,18067,20.0000,20,18067,20,,,,
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,ColumnSpace_Up2_Right3_M14_gridloc,column_space_tonly,Latitude/Longitude grid,1.4178,0,1,0.8450,2.4860,3.3310,18067,11.6336,0.2340,0.3235,2.9511,1,18067,14.0000,14,18067,14,0.0000,2.0000,3.0000,14.0000
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,ColumnSpace_Up2_Right3_M14_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4172,0,1,0.8400,2.6410,3.4810,18067,11.6456,0.2344,0.3250,2.9559,1,18067,14.0000,14,18067,14,0.0000,2.0000,3.0000,14.0000
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,HybridSpace_A20_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3500,0,1,0.0820,5.0590,5.1410,17670,13.6203,0.2234,0.3128,1.9508,1,17670,20.0000,20,17670,20,,,,
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,ColumnSpace_Up2_Right3_M14_gridloc,column_space_tonly,Latitude/Longitude grid,1.3547,0,1,0.8190,2.5920,3.4110,17670,13.3953,0.2098,0.3014,1.8700,1,17670,14.0000,14,17670,14,0.0000,2.0000,3.0000,14.0000
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,ColumnSpace_Up2_Right3_M14_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3538,0,1,0.8150,2.5310,3.3460,17670,13.3036,0.2056,0.2959,1.8446,1,17670,14.0000,14,17670,14,0.0000,2.0000,3.0000,14.0000
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,HybridSpace_A20_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3597,0,1,0.0790,5.0640,5.1430,16698,15.5604,0.2075,0.2704,1.3286,1,16698,20.0000,20,16698,20,,,,
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,ColumnSpace_Up2_Right3_M14_gridloc,column_space_tonly,Latitude/Longitude grid,1.3652,0,1,0.7660,3.2000,3.9660,16698,15.6056,0.2003,0.2623,1.2249,1,16698,14.0000,14,16698,14,0.0000,2.0000,3.0000,14.0000
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,ColumnSpace_Up2_Right3_M14_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3648,0,1,0.7640,2.9850,3.7490,16698,15.5915,0.1962,0.2580,1.1902,1,16698,14.0000,14,16698,14,0.0000,2.0000,3.0000,14.0000
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,HybridSpace_A20_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3939,0,1,0.0800,4.2660,4.3460,16863,17.0325,0.1993,0.2513,1.1166,1,16863,20.0000,20,16863,20,,,,
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,ColumnSpace_Up2_Right3_M14_gridloc,column_space_tonly,Latitude/Longitude grid,1.4013,0,1,0.7690,3.1400,3.9100,16863,17.3551,0.1938,0.2445,0.9760,1,16863,14.0000,14,16863,14,0.0000,2.0000,3.0000,14.0000
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,ColumnSpace_Up2_Right3_M14_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3999,0,1,0.7730,3.4500,4.2220,16863,17.4166,0.1886,0.2381,0.8802,1,16863,14.0000,14,16863,14,0.0000,2.0000,3.0000,14.0000
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,HybridSpace_A20_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4458,0,1,0.0810,5.7000,5.7810,17088,17.4600,0.1833,0.2207,1.0676,1,17088,20.0000,20,17088,20,,,,
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,ColumnSpace_Up2_Right3_M14_gridloc,column_space_tonly,Latitude/Longitude grid,1.4516,0,1,0.7800,3.2500,4.0290,17088,17.3298,0.1776,0.2150,1.0117,1,17088,14.0000,14,17088,14,0.0000,2.0000,3.0000,14.0000
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,ColumnSpace_Up2_Right3_M14_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4198,1,2,0.7900,3.8460,4.6360,17088,17.3504,0.1725,0.2098,0.9195,1,17088,14.0000,14,17088,14,0.0000,2.0000,3.0000,14.0000
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,HybridSpace_A20_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4485,0,1,0.0830,5.5630,5.6460,17760,15.4604,0.1792,0.1917,1.3128,1,17760,20.0000,20,17760,20,,,,
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,ColumnSpace_Up2_Right3_M14_gridloc,column_space_tonly,Latitude/Longitude grid,1.4521,0,1,0.8240,3.6520,4.4750,17760,15.2470,0.1681,0.1815,1.1783,1,17760,14.0000,14,17760,14,0.0000,2.0000,3.0000,14.0000
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,ColumnSpace_Up2_Right3_M14_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4503,0,1,0.8260,3.6460,4.4720,17760,15.3235,0.1664,0.1797,1.1234,1,17760,14.0000,14,17760,14,0.0000,2.0000,3.0000,14.0000
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,HybridSpace_A20_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3769,1,2,0.0840,6.8890,6.9730,18104,13.2901,0.1654,0.1681,1.1440,1,18104,20.0000,20,18104,20,,,,
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,ColumnSpace_Up2_Right3_M14_gridloc,column_space_tonly,Latitude/Longitude grid,1.3818,1,2,0.8400,4.2470,5.0870,18104,13.1985,0.1525,0.1581,0.9629,1,18104,14.0000,14,18104,14,0.0000,2.0000,3.0000,14.0000
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,ColumnSpace_Up2_Right3_M14_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3796,1,2,0.8380,4.1800,5.0190,18104,13.2430,0.1508,0.1557,0.9066,1,18104,14.0000,14,18104,14,0.0000,2.0000,3.0000,14.0000
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,HybridSpace_A20_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3946,1,2,0.0840,6.4940,6.5780,18102,12.1326,0.1729,0.1732,1.7089,1,18102,20.0000,20,18102,20,,,,
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,ColumnSpace_Up2_Right3_M14_gridloc,column_space_tonly,Latitude/Longitude grid,1.3974,1,2,0.8410,4.0020,4.8430,18102,12.1259,0.1530,0.1574,1.3982,1,18102,14.0000,14,18102,14,0.0000,2.0000,3.0000,14.0000
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,ColumnSpace_Up2_Right3_M14_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3981,1,2,0.8400,4.7080,5.5480,18102,12.1088,0.1515,0.1564,1.3960,1,18102,14.0000,14,18102,14,0.0000,2.0000,3.0000,14.0000
