date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,gc_alpha,parameter,estimate,loss,n_grid,n_valid
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,sigmasq,15.0869,1.6665,80,80
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,range_lat,25.0017,1.6665,80,80
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,range_lon,18.4562,1.6665,80,80
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,gc_alpha,0.6000,1.6665,80,80
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,gc_beta,3.5000,1.6665,80,80
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,phi1,0.8174,1.6665,80,80
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,phi2,0.0542,1.6665,80,80
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,phi3,0.5449,1.6665,80,80
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,nugget,0.0000,1.6665,80,80
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,sigmasq,12.9599,1.5729,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,range_lat,10.7826,1.5729,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,range_lon,12.1718,1.5729,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,gc_alpha,0.6000,1.5729,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,gc_beta,3.5000,1.5729,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,phi1,1.0647,1.5729,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,phi2,0.0822,1.5729,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,phi3,1.2743,1.5729,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,nugget,0.0000,1.5729,300,300
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,sigmasq,17.0997,1.3310,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,range_lat,28.8395,1.3310,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,range_lon,37.4168,1.3310,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,gc_alpha,0.6000,1.3310,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,gc_beta,3.5000,1.3310,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,phi1,0.4570,1.3310,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,phi2,0.0267,1.3310,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,phi3,1.6833,1.3310,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,nugget,0.0000,1.3310,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,sigmasq,109.8942,1.1143,4503,4503
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,range_lat,824.7469,1.1143,4503,4503
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,range_lon,1103.7977,1.1143,4503,4503
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,gc_alpha,0.6000,1.1143,4503,4503
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,gc_beta,3.5000,1.1143,4503,4503
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,phi1,0.0996,1.1143,4503,4503
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,phi2,0.0009,1.1143,4503,4503
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,phi3,1.7912,1.1143,4503,4503
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,nugget,0.0000,1.1143,4503,4503
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,sigmasq,19.2955,1.6966,80,78
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,range_lat,40.4725,1.6966,80,78
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,range_lon,50.5533,1.6966,80,78
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,gc_alpha,0.6000,1.6966,80,78
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,gc_beta,3.5000,1.6966,80,78
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,phi1,0.3817,1.6966,80,78
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,phi2,0.0198,1.6966,80,78
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,phi3,1.5602,1.6966,80,78
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,nugget,0.0000,1.6966,80,78
