frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=0.15 nugget0,GC a=0.7 b=0.1 nugget0,GC a=0.7 b=0.07 nugget0,GC a=0.8 b=0.15 nugget0,GC a=0.8 b=0.1 nugget0,GC a=0.8 b=0.07 nugget0
ultra_low,0.5729,5.1561,0.9014,0.8931,0.8530,0.8327,0.9512,0.9017,0.8711
low_mid,6.3019,16.6141,0.5781,0.9344,0.9287,0.9244,0.9404,0.9344,0.9297
mid,17.7599,33.8012,0.8964,1.0669,1.0672,1.0671,1.0649,1.0663,1.0667
high,34.9470,56.7172,1.1111,1.0409,1.0391,1.0379,1.0513,1.0498,1.0488
very_high,57.8630,79.6333,1.0638,0.9309,0.9277,0.9256,0.9491,0.9455,0.9432
