frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=0.35 nugget0,GC a=0.7 b=0.25 nugget0,GC a=0.7 b=0.15 nugget0,GC a=0.8 b=0.35 nugget0,GC a=0.8 b=0.25 nugget0,GC a=0.8 b=0.15 nugget0
ultra_low,0.5729,5.1561,3.9057,1.3786,1.2491,1.1135,1.5483,1.3742,1.2000
low_mid,6.3019,16.6141,0.5828,0.9324,0.9307,0.9217,0.9441,0.9420,0.9316
mid,17.7599,33.8012,0.8999,1.0585,1.0640,1.0667,1.0507,1.0589,1.0639
high,34.9470,56.7172,1.1037,1.0442,1.0420,1.0394,1.0525,1.0510,1.0491
very_high,57.8630,79.6333,1.0639,0.9368,0.9300,0.9232,0.9586,0.9504,0.9426
