k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.75 b=1 nugget0,GC a=0.75 b=1 nugget free
0,0.5729,3.5255,2.0068,1.5633,1.2318
1,1.7187,2.1000,1.5227,1.7850,1.5569
2,2.8645,0.8442,0.7460,1.0187,0.9240
3,4.0103,0.7886,0.7586,1.0087,0.9476
4,5.1561,0.7320,0.7341,0.9399,0.8996
5,6.3019,0.6654,0.6844,0.8440,0.8172
10,12.0309,0.8164,0.8802,0.9154,0.9181
15,17.7599,0.9577,1.0372,0.9991,1.0167
20,23.4890,1.0162,1.0875,1.0236,1.0440
25,29.2180,1.0554,1.1047,1.0416,1.0595
30,34.9470,1.0850,1.1118,1.0621,1.0749
35,40.6760,1.0938,1.0993,1.0687,1.0757
40,46.4050,1.0895,1.0784,1.0653,1.0667
45,52.1340,1.0574,1.0347,1.0362,1.0335
50,57.8630,1.0098,0.9799,0.9949,0.9888
55,63.5921,1.0154,0.9775,1.0034,0.9937
60,69.3211,0.9951,0.9530,0.9855,0.9741
65,75.0501,0.9089,0.8629,0.8989,0.8858
69,79.6333,0.9268,0.8766,0.9173,0.9026
