year,variant,model_label,nugget_mode,k_bin,k_mid,data_spectrum,theory_spectrum_expected,n_slices,data_k_max,ratio_I_over_EI
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,0,0.5729014104765542,23319.706360568252,14327.584303100031,24,79.63329605624102,1.6276090837952784
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,1,1.7187042314296626,2718.0161088927425,3095.419913672767,24,79.63329605624102,0.8780767019321044
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,2,2.864507052382771,815.726901980172,1116.2493317946908,24,79.63329605624102,0.7307748177270191
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,3,4.0103098733358795,428.3256567696696,535.4969565624465,24,79.63329605624102,0.7998657163604641
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,4,5.156112694288987,271.50600371493994,327.74360540935373,24,79.63329605624102,0.8284097667621229
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,5,6.301915515242096,196.8510012361369,210.71392881908116,24,79.63329605624102,0.9342097237679672
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,6,7.447718336195205,131.3745772715761,148.5023841782044,24,79.63329605624102,0.8846630846944871
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,7,8.593521157148313,95.10101725484508,107.0041753809951,24,79.63329605624102,0.8887598723716333
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,8,9.739323978101421,72.31499503694226,80.79497556157678,24,79.63329605624102,0.8950432193871807
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,9,10.885126799054527,60.72823103891516,64.55698607183945,24,79.63329605624102,0.940691855895137
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,10,12.030929620007635,46.859478717091996,51.17960123308353,24,79.63329605624102,0.9155889766253411
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,11,13.176732440960746,38.182591422212724,41.01733201576435,24,79.63329605624102,0.9308892008758116
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,12,14.322535261913854,34.98919371807435,36.148615437769884,24,79.63329605624102,0.9679262481936136
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,13,15.468338082866964,31.70568623913022,30.133074638360636,24,79.63329605624102,1.052188886120754
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,14,16.614140903820072,25.919683423129815,25.665287946323915,24,79.63329605624102,1.009912044522467
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,15,17.75994372477318,22.32372739606736,22.138082222603547,24,79.63329605624102,1.0083857838993056
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,16,18.905746545726288,20.17118880408363,19.39977720208414,24,79.63329605624102,1.0397639413052957
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,17,20.051549366679396,16.60655546310417,16.893482152274622,24,79.63329605624102,0.983015538976266
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,18,21.197352187632504,15.36288240148186,15.03256741098195,24,79.63329605624102,1.021973291818309
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,19,22.34315500858561,14.628891346200026,13.341379100906785,24,79.63329605624102,1.09650518402597
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,20,23.48895782953872,12.854492859455155,12.093213091150169,24,79.63329605624102,1.0629509926408303
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,21,24.63476065049183,11.847490210232452,11.008811872769341,24,79.63329605624102,1.0761824570313179
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,22,25.78056347144494,10.166412388998994,9.913264288662752,24,79.63329605624102,1.0255363009564622
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,23,26.926366292398047,8.976229935652658,8.915699582357233,24,79.63329605624102,1.0067891871788957
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,24,28.072169113351155,9.32577873804397,8.50385620092358,24,79.63329605624102,1.0966529204751985
2024,gc_a0p85_b0p2_nugget0,GC a=0.85 b=0.2 nugget0,nugget0,25,29.217971934304263,8.181349154757728,7.844962193683744,24,79.63329605624102,1.0428793603804516
