date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,est_sigmasq,est_range,est_nugget,direction,k_mid,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lat,1.189997217269,8.329980520882,32.91321483150348,23.636806019171416,11.320097828620003,1.0401761034243593
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lat,2.379994434538,8.329980520882,15.208558185871075,14.34836826466859,8.89327142471359,1.0401761034243593
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lat,3.569991651807,8.329980520882,4.597248748380772,10.585182923450486,8.2679886519116,1.0401761034243593
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lat,4.759988869075,8.329980520882,7.123280271571981,9.334139284063184,8.030679261957717,1.0401761034243593
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lat,5.949986086344,8.329980520882,8.47075180635856,8.806466311676763,7.91728903639899,1.0401761034243593
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lat,7.139983303613,8.329980520882,6.982373100797531,8.560078165053884,7.854716919389271,1.0401761034243593
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lat,8.329980520882,8.329980520882,7.816648945806236,8.458838519433048,7.816648945806236,1.0401761034243593
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lon,0.623331875712,6.233318757123,12.032173047907097,25.224833841432154,12.611779200309202,0.8820155904849203
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lon,1.246663751425,6.233318757123,29.397211716212254,19.568447234764093,9.407565818353241,0.8820155904849203
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,0.5,7.190053034555894,1.2351310957494626,7.412085722932462,lon,1.869995627137,6.233318757123,31.90653745702702,13.980474755898264,8.06482714068235,0.8820155904849203
