k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.6 b=0.3 nugget0,GC a=0.6 b=0.5 nugget0,GC a=0.6 b=1 nugget0,GC a=0.65 b=0.3 nugget0,GC a=0.65 b=0.5 nugget0,GC a=0.65 b=1 nugget0,GC a=0.7 b=0.3 nugget0,GC a=0.7 b=0.5 nugget0,GC a=0.7 b=1 nugget0,GC a=0.75 b=0.3 nugget0,GC a=0.75 b=0.5 nugget0,GC a=0.75 b=1 nugget0,GC a=0.8 b=0.3 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.8 b=1 nugget0,GC a=0.85 b=0.3 nugget0,GC a=0.85 b=0.5 nugget0,GC a=0.85 b=1 nugget0,GC a=0.9 b=0.3 nugget0,GC a=0.9 b=0.5 nugget0,GC a=0.9 b=1 nugget0,GC a=1 b=0.3 nugget0,GC a=1 b=0.5 nugget0,GC a=1 b=1 nugget0
0,0.5729,4.7017,0.9451,1.0779,1.3050,1.1714,1.3795,1.7564,1.4043,1.7051,2.2853,1.6362,2.0457,2.8862,1.8631,2.3950,3.5541,2.0825,2.7474,4.2831,2.2925,3.0983,5.0669,2.6802,3.7814,6.7697
1,1.7187,1.1577,0.6322,0.6771,0.7413,0.7356,0.8020,0.8972,0.8443,0.9365,1.0710,0.9535,1.0761,1.2604,1.0611,1.2188,1.4649,1.1661,1.3629,1.6831,1.2676,1.5068,1.9144,1.4578,1.7894,2.4105
2,2.8645,0.6817,0.5847,0.6112,0.6450,0.6435,0.6790,0.7212,0.7049,0.7503,0.8017,0.7665,0.8236,0.8867,0.8275,0.8982,0.9767,0.8872,0.9735,1.0717,0.9453,1.0488,1.1716,1.0550,1.1970,1.3844
3,4.0103,0.7204,0.6976,0.7203,0.7491,0.7447,0.7728,0.8037,0.7944,0.8275,0.8586,0.8448,0.8837,0.9152,0.8952,0.9414,0.9747,0.9453,1.0001,1.0379,0.9947,1.0595,1.1050,1.0896,1.1784,1.2500
4,5.1561,0.6562,0.6620,0.6802,0.7026,0.6951,0.7164,0.7381,0.7292,0.7528,0.7712,0.7636,0.7896,0.8041,0.7981,0.8274,0.8386,0.8327,0.8662,0.8754,0.8670,0.9057,0.9151,0.9338,0.9857,1.0025
5,6.3019,0.7713,0.8123,0.8296,0.8496,0.8371,0.8561,0.8731,0.8637,0.8834,0.8941,0.8913,0.9115,0.9148,0.9196,0.9411,0.9371,0.9487,0.9722,0.9620,0.9781,1.0045,0.9900,1.0366,1.0716,1.0548
10,12.0309,0.9044,0.9232,0.9356,0.9502,0.9257,0.9376,0.9476,0.9272,0.9368,0.9387,0.9282,0.9348,0.9265,0.9299,0.9333,0.9141,0.9327,0.9332,0.9028,0.9368,0.9347,0.8938,0.9484,0.9428,0.8835
15,17.7599,1.0207,1.0212,1.0313,1.0432,1.0195,1.0286,1.0359,1.0145,1.0210,1.0210,1.0076,1.0108,1.0016,1.0004,0.9998,0.9805,0.9938,0.9894,0.9595,0.9882,0.9802,0.9397,0.9804,0.9661,0.9054
20,23.4890,1.1388,1.1111,1.1198,1.1304,1.1111,1.1189,1.1263,1.1060,1.1117,1.1134,1.0976,1.1005,1.0950,1.0879,1.0874,1.0738,1.0778,1.0737,1.0512,1.0681,1.0604,1.0286,1.0512,1.0364,0.9856
25,29.2180,1.1202,1.0748,1.0815,1.0902,1.0796,1.0861,1.0930,1.0792,1.0843,1.0878,1.0748,1.0781,1.0772,1.0682,1.0692,1.0630,1.0603,1.0588,1.0466,1.0521,1.0477,1.0290,1.0358,1.0257,0.9926
