k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1 nugget0,GC a=0.7 b=0.5 nugget0
0,0.5729,5.1977,2.6174,1.9734,1.4608
1,1.7187,1.1182,1.0101,0.9014,0.7728
2,2.8645,0.6466,0.7383,0.7107,0.6557
3,4.0103,0.6499,0.7770,0.7710,0.7360
4,5.1561,0.6754,0.7996,0.8025,0.7776
5,6.3019,0.7743,0.8987,0.9099,0.8934
6,7.4477,0.7604,0.8596,0.8710,0.8582
7,8.5935,0.7836,0.8675,0.8817,0.8743
8,9.7393,0.8133,0.8812,0.8955,0.8898
9,10.8851,0.8713,0.9308,0.9461,0.9423
10,12.0309,0.8667,0.9114,0.9265,0.9250
11,13.1767,0.8920,0.9287,0.9456,0.9482
12,14.3225,0.9462,0.9737,0.9874,0.9859
13,15.4683,1.0436,1.0631,1.0771,1.0762
14,16.6141,1.0139,1.0243,1.0369,1.0365
15,17.7599,1.0230,1.0261,1.0377,1.0374
16,18.9057,1.0628,1.0604,1.0715,1.0714
17,20.0515,1.0121,1.0042,1.0139,1.0141
18,21.1974,1.0599,1.0469,1.0552,1.0542
19,22.3432,1.1425,1.1244,1.1322,1.1310
20,23.4890,1.1119,1.0910,1.0976,1.0963
21,24.6348,1.1284,1.1047,1.1106,1.1090
22,25.7806,1.0780,1.0527,1.0574,1.0560
23,26.9264,1.0548,1.0306,1.0358,1.0362
24,28.0722,1.1528,1.1243,1.1274,1.1248
25,29.2180,1.0966,1.0685,1.0703,1.0672
26,30.3638,1.2077,1.1759,1.1767,1.1724
27,31.5096,1.0832,1.0545,1.0548,1.0511
28,32.6554,1.1160,1.0870,1.0868,1.0831
29,33.8012,1.0937,1.0646,1.0632,1.0584
30,34.9470,1.1051,1.0761,1.0740,1.0689
31,36.0928,1.1106,1.0820,1.0792,1.0736
32,37.2386,1.1135,1.0853,1.0818,1.0760
33,38.3844,1.0544,1.0279,1.0240,1.0181
34,39.5302,1.1583,1.1300,1.1257,1.1198
35,40.6760,1.0859,1.0612,1.0568,1.0512
36,41.8218,1.0710,1.0468,1.0414,1.0345
37,42.9676,1.0625,1.0393,1.0335,1.0265
38,44.1134,1.0758,1.0532,1.0468,1.0394
39,45.2592,1.0809,1.0589,1.0521,1.0445
40,46.4050,1.0625,1.0421,1.0355,1.0284
41,47.5508,1.0852,1.0646,1.0570,1.0488
42,48.6966,1.1233,1.1028,1.0946,1.0860
43,49.8424,1.0704,1.0518,1.0442,1.0365
44,50.9882,1.0508,1.0337,1.0267,1.0201
45,52.1340,1.0077,0.9919,0.9849,0.9783
46,53.2798,0.9883,0.9737,0.9673,0.9619
47,54.4256,0.9934,0.9794,0.9722,0.9655
48,55.5714,1.0185,1.0048,0.9973,0.9903
49,56.7172,1.0155,1.0027,0.9949,0.9877
50,57.8630,1.0078,0.9958,0.9880,0.9808
51,59.0088,1.0765,1.0644,1.0559,1.0482
52,60.1546,0.9489,0.9387,0.9311,0.9240
53,61.3005,0.9453,0.9356,0.9278,0.9207
54,62.4463,1.0002,0.9905,0.9821,0.9745
55,63.5921,0.9256,0.9170,0.9091,0.9018
56,64.7379,0.9668,0.9583,0.9499,0.9422
57,65.8837,0.9417,0.9336,0.9253,0.9178
58,67.0295,0.8774,0.8708,0.8637,0.8579
59,68.1753,0.9625,0.9552,0.9467,0.9390
60,69.3211,0.9228,0.9161,0.9079,0.9005
61,70.4669,0.9551,0.9483,0.9398,0.9321
62,71.6127,0.8952,0.8891,0.8812,0.8744
63,72.7585,0.8774,0.8721,0.8644,0.8582
64,73.9043,0.8352,0.8309,0.8234,0.8173
65,75.0501,0.8350,0.8312,0.8235,0.8174
66,76.1959,0.8842,0.8806,0.8723,0.8657
67,77.3417,0.8867,0.8835,0.8751,0.8683
68,78.4875,0.8626,0.8598,0.8516,0.8449
69,79.6333,0.8617,0.8592,0.8509,0.8442
