year,calendar_day,slice_in_day,time_position,time_key
2025,2,0,8,2025_07_y25m07day02_hm00:53
2025,2,1,9,2025_07_y25m07day02_hm01:53
2025,2,2,10,2025_07_y25m07day02_hm02:53
2025,2,3,11,2025_07_y25m07day02_hm03:53
2025,2,4,12,2025_07_y25m07day02_hm04:48
2025,2,5,13,2025_07_y25m07day02_hm05:48
2025,2,6,14,2025_07_y25m07day02_hm06:48
2025,2,7,15,2025_07_y25m07day02_hm07:48
2025,4,0,24,2025_07_y25m07day04_hm00:53
2025,4,1,25,2025_07_y25m07day04_hm01:53
2025,4,2,26,2025_07_y25m07day04_hm02:53
2025,4,3,27,2025_07_y25m07day04_hm03:53
2025,4,4,28,2025_07_y25m07day04_hm04:48
2025,4,5,29,2025_07_y25m07day04_hm05:48
2025,4,6,30,2025_07_y25m07day04_hm06:48
2025,4,7,31,2025_07_y25m07day04_hm07:48
2025,7,0,48,2025_07_y25m07day07_hm00:53
2025,7,1,49,2025_07_y25m07day07_hm01:53
2025,7,2,50,2025_07_y25m07day07_hm02:53
2025,7,3,51,2025_07_y25m07day07_hm03:53
2025,7,4,52,2025_07_y25m07day07_hm04:48
2025,7,5,53,2025_07_y25m07day07_hm05:48
2025,7,6,54,2025_07_y25m07day07_hm06:48
2025,7,7,55,2025_07_y25m07day07_hm07:48
2025,13,0,96,2025_07_y25m07day13_hm00:53
2025,13,1,97,2025_07_y25m07day13_hm01:53
2025,13,2,98,2025_07_y25m07day13_hm02:53
2025,13,3,99,2025_07_y25m07day13_hm03:53
2025,13,4,100,2025_07_y25m07day13_hm04:48
2025,13,5,101,2025_07_y25m07day13_hm05:48
2025,13,6,102,2025_07_y25m07day13_hm06:48
2025,13,7,103,2025_07_y25m07day13_hm07:48
2025,24,0,184,2025_07_y25m07day24_hm00:53
2025,24,1,185,2025_07_y25m07day24_hm01:53
2025,24,2,186,2025_07_y25m07day24_hm03:53
2025,24,3,187,2025_07_y25m07day24_hm04:48
2025,24,4,188,2025_07_y25m07day24_hm05:48
2025,24,5,189,2025_07_y25m07day24_hm06:48
2025,24,6,190,2025_07_y25m07day24_hm07:48
2025,24,7,191,2025_07_y25m07day25_hm00:53
