date_str,true_smooth,fit_smooth,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,n_freq,data_spectrum,theory_spectrum_raw,theory_spectrum_scaled,theory_scale_to_data
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,0,0.5729014104765542,2,162.3057656061677,2.889634540583752,14.47857275883694,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,1,1.7187042314296626,18,110.6982888338245,2.718158243854758,13.61938727924162,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,2,2.8645070523827707,26,93.60094066719006,2.5354613962694406,12.703981000896196,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,3,4.0103098733358795,42,48.786583229866814,2.42094599268353,12.130199237306385,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,4,5.156112694288987,42,37.37989879896518,2.3595390511441248,11.82251850519681,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,5,6.301915515242095,60,23.810914759676344,2.3259840858423657,11.654390667673237,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,6,7.447718336195205,66,21.161439161760324,2.3041227188182294,11.544853842645303,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,7,8.593521157148313,86,24.324128073848854,2.2902982238533034,11.475585928868421,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,8,9.739323978101421,86,11.460371722741144,2.2810902778164754,11.429449327585019,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,9,10.885126799054529,98,9.653831266669822,2.275233282011514,11.40010273073364,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,10,12.030929620007637,110,11.608699672469548,2.2709382000808245,11.378582135182446,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,11,13.176732440960746,114,12.97716733553448,2.2678675396020633,11.363196528270908,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,12,14.322535261913854,130,9.707600357883605,2.2655510665113106,11.351589792637974,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,13,15.468338082866964,142,9.785069174118762,2.2637149528419056,11.342389907675841,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,14,16.614140903820072,158,8.199788262477986,2.2622782338191834,11.33519119773092,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,15,17.75994372477318,166,7.028315597051043,2.261140723584741,11.329491679517808,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,16,18.905746545726288,170,6.521455477331447,2.260263986135121,11.32509876865782,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,17,20.051549366679396,184,8.284172399089806,2.259564536039271,11.321594159697169,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,18,21.197352187632504,198,8.996778462248333,2.258976564094517,11.318648114284604,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,19,22.34315500858561,202,10.813405104347229,2.258496398571389,11.316242235144783,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,20,23.48895782953872,214,9.370522757265997,2.258099729551689,11.314254716937121,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,21,24.63476065049183,218,7.938411297049845,2.2577699193762877,11.312602196331458,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,22,25.78056347144494,238,9.116463587381116,2.257486472148663,11.311181978220544,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,23,26.926366292398047,242,14.680668013842984,2.25724284391647,11.309961273997788,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,24,28.072169113351155,266,11.472697572037005,2.2570299810142056,11.308894720087663,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,25,29.217971934304263,274,18.330832085171373,2.256842023149027,11.307952953373443,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,26,30.36377475525737,266,16.112936471137623,2.2566855335139744,11.307168858867618,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,27,31.509577576210482,302,16.920970503717985,2.25654685917196,11.306474028250651,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,28,32.65538039716359,292,12.75221433054191,2.2564241225452633,11.30585905388111,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,29,33.8011832181167,314,12.876884031834477,2.256317735148119,11.305325997659452,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,30,34.946986039069806,330,11.721338011854689,2.2562207439605264,11.304840021337256,5.01052038086174
20240703,0.3,0.3,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3,2259,10.9765396925997,0.26463678828770126,2.2551667574740137,31,36.092788860022914,326,8.984071642249619,2.256135991635924,11.30441536808751,5.01052038086174
