index,frac_index,conditional_eigenvalue,local_eigen_rank,leverage,expected_increment,y2,cumsum_y2,scaled_cumsum,expected,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
44,0.000308,106.234895,1,0.009221,0.990779,0.252112,47.320771,0.000335,43.548919,0.000308,-678.399248,765.497086,-0.004801,0.005418
45,0.000315,105.628705,1,0.005253,0.994747,1.319717,48.640489,0.000344,44.543665,0.000315,-677.404502,766.491832,-0.004794,0.005425
46,0.000322,105.458189,1,0.012561,0.987439,0.825285,49.465774,0.000350,45.531104,0.000322,-676.417063,767.479271,-0.004787,0.005432
47,0.000329,105.341657,1,0.008521,0.991479,0.307112,49.772886,0.000352,46.522583,0.000329,-675.425584,768.470750,-0.004780,0.005439
48,0.000336,105.256047,1,0.012482,0.987518,0.080793,49.853679,0.000353,47.510101,0.000336,-674.438066,769.458268,-0.004773,0.005446
49,0.000343,104.633592,1,0.009104,0.990896,0.062301,49.915980,0.000353,48.500997,0.000343,-673.447170,770.449164,-0.004766,0.005453
50,0.000350,104.429490,1,0.011060,0.988940,0.259715,50.175695,0.000355,49.489937,0.000350,-672.458230,771.438104,-0.004759,0.005460
51,0.000357,104.341704,1,0.006138,0.993862,0.142685,50.318380,0.000356,50.483798,0.000357,-671.464369,772.431965,-0.004752,0.005467
52,0.000364,104.231900,1,0.006647,0.993353,0.012778,50.331158,0.000356,51.477151,0.000364,-670.471016,773.425318,-0.004745,0.005474
53,0.000371,104.206356,1,0.007555,0.992445,0.525019,50.856177,0.000360,52.469596,0.000371,-669.478571,774.417763,-0.004738,0.005481
54,0.000378,104.049664,1,0.004964,0.995036,1.045453,51.901631,0.000367,53.464631,0.000378,-668.483536,775.412798,-0.004731,0.005488
55,0.000385,103.669200,1,0.005513,0.994487,1.743358,53.644989,0.000380,54.459119,0.000385,-667.489048,776.407286,-0.004724,0.005495
56,0.000392,103.473958,1,0.005930,0.994070,2.867376,56.512365,0.000400,55.453188,0.000392,-666.494979,777.401355,-0.004717,0.005502
57,0.000399,103.290350,1,0.010656,0.989344,0.395085,56.907450,0.000403,56.442533,0.000399,-665.505634,778.390700,-0.004710,0.005509
58,0.000406,102.801102,1,0.009444,0.990556,1.244552,58.152002,0.000412,57.433089,0.000406,-664.515078,779.381256,-0.004703,0.005516
59,0.000413,102.666544,1,0.009360,0.990640,0.000095,58.152097,0.000412,58.423729,0.000413,-663.524438,780.371896,-0.004696,0.005523
60,0.000421,102.494597,1,0.005205,0.994795,4.960751,63.112848,0.000447,59.418524,0.000421,-662.529643,781.366691,-0.004689,0.005530
61,0.000428,102.253670,1,0.004372,0.995628,1.438175,64.551023,0.000457,60.414152,0.000428,-661.534015,782.362319,-0.004682,0.005537
62,0.000435,101.953287,1,0.009329,0.990671,0.452688,65.003711,0.000460,61.404823,0.000435,-660.543344,783.352990,-0.004675,0.005544
63,0.000442,101.361831,1,0.004219,0.995781,0.061313,65.065024,0.000461,62.400604,0.000442,-659.547563,784.348771,-0.004668,0.005551
64,0.000449,101.309506,1,0.004568,0.995432,0.212763,65.277786,0.000462,63.396037,0.000449,-658.552130,785.344204,-0.004661,0.005558
65,0.000456,101.188082,1,0.003432,0.996568,0.747640,66.025427,0.000467,64.392604,0.000456,-657.555563,786.340771,-0.004654,0.005565
66,0.000463,100.895413,1,0.005742,0.994258,0.975298,67.000725,0.000474,65.386862,0.000463,-656.561305,787.335029,-0.004647,0.005572
67,0.000470,100.752500,1,0.003542,0.996458,2.548514,69.549239,0.000492,66.383320,0.000470,-655.564847,788.331487,-0.004640,0.005579
68,0.000477,100.685068,1,0.003451,0.996549,1.859781,71.409020,0.000505,67.379869,0.000477,-654.568298,789.328036,-0.004633,0.005587
69,0.000484,100.340203,1,0.005430,0.994570,0.003880,71.412900,0.000505,68.374439,0.000484,-653.573728,790.322606,-0.004626,0.005594
70,0.000491,100.224347,1,0.003892,0.996108,0.558722,71.971622,0.000509,69.370546,0.000491,-652.577621,791.318713,-0.004619,0.005601
71,0.000498,100.068657,1,0.003385,0.996615,1.723210,73.694831,0.000522,70.367162,0.000498,-651.581005,792.315329,-0.004612,0.005608
72,0.000505,99.997929,1,0.004210,0.995790,1.075807,74.770638,0.000529,71.362952,0.000505,-650.585215,793.311119,-0.004605,0.005615
73,0.000512,99.577777,1,0.003611,0.996389,0.001710,74.772348,0.000529,72.359340,0.000512,-649.588827,794.307507,-0.004597,0.005622
74,0.000519,99.330035,1,0.003791,0.996209,0.818006,75.590354,0.000535,73.355549,0.000519,-648.592618,795.303716,-0.004590,0.005629
75,0.000526,99.264383,1,0.004621,0.995379,0.684511,76.274865,0.000540,74.350928,0.000526,-647.597239,796.299095,-0.004583,0.005636
76,0.000533,98.297687,1,0.004329,0.995671,0.396942,76.671807,0.000543,75.346599,0.000533,-646.601568,797.294766,-0.004576,0.005643
77,0.000540,98.253468,1,0.005913,0.994087,0.411998,77.083805,0.000546,76.340686,0.000540,-645.607481,798.288853,-0.004569,0.005650
78,0.000547,98.087613,1,0.005340,0.994660,0.130882,77.214687,0.000546,77.335347,0.000547,-644.612820,799.283514,-0.004562,0.005657
79,0.000554,98.081881,1,0.002944,0.997056,2.891092,80.105779,0.000567,78.332403,0.000554,-643.615764,800.280570,-0.004555,0.005664
80,0.000561,98.008519,1,0.005236,0.994764,0.741761,80.847540,0.000572,79.327167,0.000561,-642.621000,801.275334,-0.004548,0.005671
81,0.000569,97.854902,1,0.002497,0.997503,1.330995,82.178535,0.000582,80.324670,0.000569,-641.623497,802.272837,-0.004541,0.005678
82,0.000576,97.549663,1,0.008955,0.991045,0.004455,82.182990,0.000582,81.315716,0.000576,-640.632451,803.263883,-0.004534,0.005685
83,0.000583,97.503550,1,0.004314,0.995686,0.189063,82.372053,0.000583,82.311402,0.000583,-639.636765,804.259569,-0.004527,0.005692
84,0.000590,96.499474,1,0.003040,0.996960,0.024783,82.396836,0.000583,83.308362,0.000590,-638.639805,805.256529,-0.004520,0.005699
85,0.000597,96.339241,1,0.002985,0.997015,0.649722,83.046558,0.000588,84.305377,0.000597,-637.642790,806.253544,-0.004513,0.005706
86,0.000604,96.327719,1,0.004868,0.995132,0.038053,83.084611,0.000588,85.300509,0.000604,-636.647658,807.248676,-0.004506,0.005713
87,0.000611,96.274482,1,0.004151,0.995849,0.164834,83.249445,0.000589,86.296358,0.000611,-635.651809,808.244525,-0.004499,0.005720
88,0.000618,96.226475,1,0.003315,0.996685,0.113326,83.362771,0.000590,87.293044,0.000618,-634.655123,809.241211,-0.004492,0.005727
89,0.000625,96.219339,1,0.001862,0.998138,0.056387,83.419158,0.000590,88.291182,0.000625,-633.656985,810.239349,-0.004485,0.005735
90,0.000632,96.008130,1,0.001906,0.998094,0.289711,83.708869,0.000592,89.289276,0.000632,-632.658891,811.237443,-0.004478,0.005742
91,0.000639,96.007449,1,0.001962,0.998038,2.609556,86.318425,0.000611,90.287313,0.000639,-631.660854,812.235480,-0.004471,0.005749
92,0.000646,95.905678,1,0.009320,0.990680,0.249232,86.567657,0.000613,91.277993,0.000646,-630.670174,813.226160,-0.004464,0.005756
93,0.000653,95.789971,1,0.004267,0.995733,6.336622,92.904279,0.000658,92.273725,0.000653,-629.674442,814.221892,-0.004457,0.005763
94,0.000660,95.400930,1,0.002615,0.997385,0.848144,93.752424,0.000664,93.271110,0.000660,-628.677057,815.219277,-0.004449,0.005770
95,0.000667,95.309331,1,0.008230,0.991770,0.153647,93.906071,0.000665,94.262880,0.000667,-627.685287,816.211047,-0.004442,0.005777
96,0.000674,95.128773,1,0.002501,0.997499,0.035755,93.941826,0.000665,95.260380,0.000674,-626.687787,817.208547,-0.004435,0.005784
97,0.000681,95.000920,1,0.008393,0.991607,1.731191,95.673017,0.000677,96.251987,0.000681,-625.696180,818.200154,-0.004428,0.005791
98,0.000688,94.426716,1,0.003680,0.996320,0.723216,96.396233,0.000682,97.248307,0.000688,-624.699860,819.196474,-0.004421,0.005798
99,0.000695,93.661197,1,0.002387,0.997613,0.458725,96.854957,0.000685,98.245920,0.000695,-623.702247,820.194087,-0.004414,0.005805
100,0.000702,92.830144,1,0.001858,0.998142,0.099823,96.954780,0.000686,99.244062,0.000702,-622.704105,821.192229,-0.004407,0.005812
101,0.000709,92.502095,1,0.001656,0.998344,0.094404,97.049185,0.000687,100.242406,0.000709,-621.705761,822.190573,-0.004400,0.005819
102,0.000717,92.421858,1,0.005074,0.994926,0.049453,97.098638,0.000687,101.237332,0.000717,-620.710835,823.185499,-0.004393,0.005826
103,0.000724,91.939656,1,0.003504,0.996496,0.267678,97.366316,0.000689,102.233828,0.000724,-619.714339,824.181995,-0.004386,0.005833
104,0.000731,91.852103,1,0.001470,0.998530,0.626789,97.993106,0.000694,103.232358,0.000731,-618.715809,825.180525,-0.004379,0.005840
105,0.000738,91.479986,1,0.002216,0.997784,0.001969,97.995075,0.000694,104.230142,0.000738,-617.718025,826.178309,-0.004372,0.005847
106,0.000745,91.445815,1,0.002727,0.997273,2.282932,100.278007,0.000710,105.227415,0.000745,-616.720752,827.175582,-0.004365,0.005854
107,0.000752,91.306891,1,0.003275,0.996725,2.407709,102.685716,0.000727,106.224140,0.000752,-615.724027,828.172307,-0.004358,0.005861
108,0.000759,91.174187,1,0.002781,0.997219,0.000850,102.686566,0.000727,107.221359,0.000759,-614.726808,829.169526,-0.004351,0.005868
109,0.000766,90.986951,1,0.004406,0.995594,0.149904,102.836471,0.000728,108.216953,0.000766,-613.731214,830.165120,-0.004344,0.005876
110,0.000773,90.971957,1,0.004460,0.995540,1.722596,104.559066,0.000740,109.212493,0.000773,-612.735674,831.160660,-0.004337,0.005883
111,0.000780,90.781171,1,0.002204,0.997796,0.004123,104.563190,0.000740,110.210289,0.000780,-611.737878,832.158456,-0.004330,0.005890
112,0.000787,90.662262,1,0.002366,0.997634,0.372210,104.935400,0.000743,111.207923,0.000787,-610.740244,833.156090,-0.004323,0.005897
113,0.000794,90.509870,1,0.002128,0.997872,0.174518,105.109918,0.000744,112.205795,0.000794,-609.742372,834.153962,-0.004315,0.005904
114,0.000801,90.464895,1,0.002947,0.997053,0.205315,105.315233,0.000745,113.202847,0.000801,-608.745320,835.151014,-0.004308,0.005911
115,0.000808,90.386629,1,0.001720,0.998280,0.092656,105.407890,0.000746,114.201127,0.000808,-607.747040,836.149294,-0.004301,0.005918
116,0.000815,90.379597,1,0.003996,0.996004,0.167783,105.575672,0.000747,115.197131,0.000815,-606.751036,837.145298,-0.004294,0.005925
117,0.000822,90.301618,1,0.002180,0.997820,0.001730,105.577402,0.000747,116.194951,0.000822,-605.753216,838.143118,-0.004287,0.005932
118,0.000829,90.273650,1,0.002158,0.997842,1.211115,106.788517,0.000756,117.192793,0.000829,-604.755374,839.140960,-0.004280,0.005939
119,0.000836,90.130007,1,0.002209,0.997791,0.853240,107.641757,0.000762,118.190583,0.000836,-603.757584,840.138750,-0.004273,0.005946
120,0.000844,90.081401,1,0.004340,0.995660,0.026906,107.668663,0.000762,119.186244,0.000844,-602.761923,841.134411,-0.004266,0.005953
121,0.000851,90.060293,1,0.003125,0.996875,0.006216,107.674879,0.000762,120.183119,0.000851,-601.765048,842.131286,-0.004259,0.005960
122,0.000858,90.041118,1,0.003037,0.996963,0.024861,107.699740,0.000762,121.180082,0.000858,-600.768085,843.128249,-0.004252,0.005967
123,0.000865,90.012605,1,0.001650,0.998350,0.020524,107.720264,0.000762,122.178432,0.000865,-599.769735,844.126599,-0.004245,0.005974
124,0.000872,89.994390,1,0.002245,0.997755,0.189052,107.909316,0.000764,123.176187,0.000872,-598.771980,845.124354,-0.004238,0.005981
