label,s,r_a,r_b,phi_degrees,d_minus,d_plus,two_r_a,two_r_b,A_diagonal_penalty,B_diagonal_penalty,C_short,C_far,C_total,absolute_C_total,sqrt_A_times_B,negative_inertia_margin_C2_minus_AB,D_delta_AB_minus_C2,P_null,Q_null,R_null,D0_PQ_minus_R2,S_linear_coefficient,lambda_min,lambda_max
B penalty peak; start of all-penalties-decrease branch,0.5449550561239036,0.8174325841858554,0.2724775280619518,0,0.5449550561239036,1.0899101122478072,1.6348651683717108,0.5449550561239036,2.5069947723526003,5.024301858226301,-5.024301858226301,3.9005406406929222,-1.1237612175333789,1.1237612175333789,3.5490700885294997,-11.33305921926269,11.33305921926269,15.560474543648816,9.5390869725071195,4.1851806746000282,130.91698272630356,111.50124979860132,0.11798511056606995,0.73370920346885571
negative-eigenvalue threshold,0.80868143772583934,1.0811589657877911,0.53620390966388753,0,0.5449550561239036,1.6173628754516787,2.1623179315755823,1.0724078193277751,1.5556358748069616,3.9495882180136324,-5.024301858226301,2.5455680841680799,-2.4787337740582212,2.4787337740582212,2.4787337740582198,6.2172489379008766e-15,-6.2172489379008766e-15,16.349206850043135,13.636547928603264,5.9829014065999653,187.15163356416616,115.44617748185748,-3.7966151950070259e-17,0.6168590424954854
s=1,1,1.2724775280619518,0.7275224719380482,0,0.5449550561239036,2,2.5449550561239036,1.4550449438760964,1.0860597568335257,2.9253076641129407,-5.024301858226301,1.8068485077877945,-3.2174533504385066,3.2174533504385066,1.7824306242739854,7.1749471318982216,-7.1749471318982216,16.633236960741328,15.112083138086195,6.6302779808506216,207.40227370285851,107.73518110611414,-0.05972985882834099,0.57918019648695507
s=2,2,2.2724775280619518,1.7275224719380482,0,0.5449550561239036,4,4.5449550561239036,3.4550449438760964,0.15566540500013273,0.45245872455526109,-5.024301858226301,0.26581119019883365,-4.7584906680274672,4.7584906680274672,0.2653906000666531,22.572801267100754,-22.572801267100754,16.978215217721647,16.90424370665847,7.4165708201763545,231.99836501377288,80.896713618600998,-0.18299583509484491,0.53169102358808473
mean half-length of selected discrete pair,2.5322475511229898,2.8047250791849416,2.259770023061038,0,0.5449550561239036,5.0644951022459797,5.6094501583698833,4.519540046122076,0.054429761253079086,0.1596073711471761,-5.024301858226301,0.09327783864435725,-4.9310240195819439,4.9310240195819439,0.093206175255571871,24.306310490588299,-24.306310490588299,16.992321259548373,16.977524533577171,7.4487220629145803,233.004090695857,77.095837147799216,-0.19744836129925317,0.52832597343711618
s=3,3,3.2724775280619518,2.7275224719380482,0,0.5449550561239036,6,6.5449550561239036,5.4550449438760964,0.021536033562386932,0.063412751193535594,-5.024301858226301,0.036971760970883061,-4.987330097255418,4.987330097255418,0.036954825638707521,24.872095839851749,-24.872095839851749,16.994991011578072,16.991393883945431,7.4548071041055888,233.1944373724121,75.802794044588566,-0.20226262371427051,0.52732524055333052
s=4,4,4.2724775280619518,3.7275224719380482,0,0.5449550561239036,8,8.5449550561239036,7.4550449438760964,0.0029486695168553807,0.0087207870518260441,-5.024301858226301,0.0050719369008841962,-5.019229921325417,5.019229921325417,0.0050709682450895471,25.192643288409407,-25.192643288409407,16.995806794178336,16.9956318710624,7.456666479309833,233.25260064189328,75.051778326036242,-0.20502687999414651,0.52678868723444949
s=6,6,6.2724775280619518,5.7275224719380482,0,0.5449550561239036,12,12.544955056123904,11.455044943876096,5.4662176907440356e-05,0.00016216855196265581,-5.024301858226301,9.4156665070104618e-05,-5.024207701561231,5.024207701561231,9.4151399757019683e-05,25.242663019562702,-25.242663019562702,16.995848393617411,16.995847979970375,7.4567612949696764,233.25556657838737,74.932320275953032,-0.20546270492549079,0.52670828707870998
infinite-length limit,inf,inf,inf,0,0.5449550561239036,inf,inf,inf,0,0,-5.024301858226301,0,-5.024301858226301,5.024301858226301,0,25.243609162576263,-25.243609162576263,16.99584849222229,16.99584849222229,7.4567615197151706,233.25557360866981,74.930041519710613,-0.20547098472406419,0.52670678784112013
