condition,qc_threshold,day,hour_slot_selected,hour_key,timestamp,elapsed_s_hour_arm,n_hour_points,tile_id,tile_y,tile_x,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_center_lat,tile_center_lon,sigmasq,range_lat,range_lon,smooth,nugget,phi1,phi2,phi3,sigma,success,loss,nll,message,n_eval,raw_params,n_restarts,n,n_fit,n_initial_fit,fit_method,cluster_block_shape,cluster_neighbor_blocks,outlier_whitened_threshold,n_qc_initial_fit,n_qc_removed,n_qc_fit,qc_max_abs_whitened,qc_refit,qc_initial_success,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,data_lat_min,data_lat_max,data_lon_min,data_lon_max,data_n_after_region_filter,data_n_used,data_value_mean,data_value_sd,pre_qc_loss,pre_qc_nll
no_qc,0.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,91.815516,17670,0,0,0,-2.972000,-0.486000,121.046000,123.534500,-1.729000,122.290250,7.364274,0.164752,0.206893,0.380743,0.102243,35.594682,4.833427,1.576996,2.713720,True,1.063626,1.063626,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,324,"[3.572196242446979, 1.5755557147884822, 0.45552208302506253, -1.8574786836193364, -2.2804001191040597]",1,2280,2280,2280,vecc_cluster_4x4_cond2,4x4,2,0.000000,2280,0,2280,,False,True,150,4,4,2,16,150,2280,2,32,32.000000,10.000000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
no_qc,0.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,91.815516,17670,1,0,1,-2.972000,-0.486000,123.534500,126.023000,-1.729000,124.778750,10.575581,0.168853,0.248196,0.294918,0.027549,42.609726,4.029067,2.160584,3.252012,True,1.294565,1.294565,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,420,"[3.7520825342936033, 1.3935349028920092, 0.7703785499192018, -2.1975960442902616, -3.591804349248859]",1,2280,2280,2280,vecc_cluster_4x4_cond2,4x4,2,0.000000,2280,0,2280,,False,True,150,4,4,2,16,150,2280,2,32,32.000000,10.000000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
no_qc,0.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,91.815516,17670,2,0,2,-2.972000,-0.486000,126.023000,128.511500,-1.729000,127.267250,11.844826,0.225393,0.297654,0.320264,0.284764,39.793888,3.359601,1.743983,3.441631,True,1.286645,1.286645,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,312,"[3.683713323840676, 1.2118222141400603, 0.5561717924594201, -2.0875598533900424, -1.2560952582256772]",1,2199,2199,2199,vecc_cluster_4x4_cond2,4x4,2,0.000000,2199,0,2199,,False,True,149,4,4,2,16,149,2199,9,32,32.000000,11.000000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
no_qc,0.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,91.815516,17670,3,0,3,-2.972000,-0.486000,128.511500,131.000000,-1.729000,129.755750,10.281068,0.204174,0.289855,0.201749,0.018392,35.469747,3.450006,2.015397,3.206410,True,1.359299,1.359299,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,282,"[3.5686801432089603, 1.238376013807477, 0.7008164297909736, -2.7176781244457113, -3.995862427673123]",1,2229,2229,2229,vecc_cluster_4x4_cond2,4x4,2,0.000000,2229,0,2229,,False,True,150,4,4,2,16,150,2229,4,32,32.000000,12.500000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
no_qc,0.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,91.815516,17670,4,1,0,-0.486000,2.000000,121.046000,123.534500,0.757000,122.290250,7.942478,0.117062,0.184683,0.334393,0.046183,43.005976,5.414680,2.488988,2.818240,True,1.208034,1.208034,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,372,"[3.7613390879190374, 1.6891137659929158, 0.9118761155724103, -2.0301005329569484, -3.075152730882164]",1,2280,2280,2280,vecc_cluster_4x4_cond2,4x4,2,0.000000,2280,0,2280,,False,True,150,4,4,2,16,150,2280,2,32,32.000000,10.000000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
no_qc,0.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,91.815516,17670,5,1,1,-0.486000,2.000000,123.534500,126.023000,0.757000,124.778750,12.931863,0.190495,0.334632,0.239121,0.156848,38.644982,2.988354,3.085818,3.596090,True,1.428654,1.428654,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,288,"[3.6544169413656618, 1.0947226515807054, 1.12681690611925, -2.4811229715849454, -1.8524786845736165]",1,2275,2275,2275,vecc_cluster_4x4_cond2,4x4,2,0.000000,2275,0,2275,,False,True,150,4,4,2,16,150,2275,4,32,32.000000,14.000000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
no_qc,0.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,91.815516,17670,6,1,2,-0.486000,2.000000,126.023000,128.511500,0.757000,127.267250,19.460435,0.497510,0.696199,0.264938,0.019753,27.952396,1.436371,1.958230,4.411398,True,1.372976,1.372976,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,270,"[3.3305029335995315, 0.36211948118898446, 0.6720411142211119, -2.3416723042305088, -3.9244527098096467]",1,1906,1906,1906,vecc_cluster_4x4_cond2,4x4,2,0.000000,1906,0,1906,,False,True,145,4,4,2,16,145,1906,16,32,32.000000,8.500000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
no_qc,0.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,91.815516,17670,7,1,3,-0.486000,2.000000,128.511500,131.000000,0.757000,129.755750,21.030437,0.133883,0.170845,0.375555,0.284236,123.096588,5.853259,1.628382,4.585895,True,1.658506,1.658506,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,276,"[4.81296931603764, 1.766998550999975, 0.4875867430124513, -1.8757330334073508, -1.257950774690772]",1,2221,2221,2221,vecc_cluster_4x4_cond2,4x4,2,0.000000,2221,0,2221,,False,True,148,4,4,2,16,148,2221,9,32,32.000000,12.000000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
qc_w10,10.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,121.667909,17670,0,0,0,-2.972000,-0.486000,121.046000,123.534500,-1.729000,122.290250,7.364274,0.164752,0.206893,0.380743,0.102243,35.594682,4.833427,1.576996,2.713720,True,1.063626,1.063626,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,324,"[3.572196242446979, 1.5755557147884822, 0.45552208302506253, -1.8574786836193364, -2.2804001191040597]",1,2280,2280,2280,vecc_cluster_4x4_cond2,4x4,2,10.000000,2280,0,2280,5.381867,False,True,150,4,4,2,16,150,2280,2,32,32.000000,10.000000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
qc_w10,10.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,121.667909,17670,1,0,1,-2.972000,-0.486000,123.534500,126.023000,-1.729000,124.778750,10.575581,0.168853,0.248196,0.294918,0.027549,42.609726,4.029067,2.160584,3.252012,True,1.294565,1.294565,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,420,"[3.7520825342936033, 1.3935349028920092, 0.7703785499192018, -2.1975960442902616, -3.591804349248859]",1,2280,2280,2280,vecc_cluster_4x4_cond2,4x4,2,10.000000,2280,0,2280,5.278346,False,True,150,4,4,2,16,150,2280,2,32,32.000000,10.000000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
qc_w10,10.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,121.667909,17670,2,0,2,-2.972000,-0.486000,126.023000,128.511500,-1.729000,127.267250,11.844826,0.225393,0.297654,0.320264,0.284764,39.793888,3.359601,1.743983,3.441631,True,1.286645,1.286645,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,312,"[3.683713323840676, 1.2118222141400603, 0.5561717924594201, -2.0875598533900424, -1.2560952582256772]",1,2199,2199,2199,vecc_cluster_4x4_cond2,4x4,2,10.000000,2199,0,2199,4.436849,False,True,149,4,4,2,16,149,2199,9,32,32.000000,11.000000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
qc_w10,10.000000,2024-07-03,1,2024_07_y24m07day03_hm01:53,,121.667909,17670,3,0,3,-2.972000,-0.486000,128.511500,131.000000,-1.729000,129.755750,10.281068,0.204174,0.289855,0.201749,0.018392,35.469747,3.450006,2.015397,3.206410,True,1.359299,1.359299,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,282,"[3.5686801432089603, 1.238376013807477, 0.7008164297909736, -2.7176781244457113, -3.995862427673123]",1,2229,2229,2229,vecc_cluster_4x4_cond2,4x4,2,10.000000,2229,0,2229,4.287000,False,True,150,4,4,2,16,150,2229,4,32,32.000000,12.500000,16,128,-2.972000,2.000000,121.046000,131.000000,18126,17670,257.934542,4.328166,,
