hour_slot_selected,hour_key,tile_id,tile_y,tile_x,loss_no_qc,nll_no_qc,nugget_no_qc,smooth_no_qc,range_lat_no_qc,range_lon_no_qc,sigmasq_no_qc,n_fit_no_qc,loss_qc,nll_qc,nugget_qc,smooth_qc,range_lat_qc,range_lon_qc,sigmasq_qc,n_fit_qc,delta_loss,delta_nll,delta_nugget,delta_smooth,delta_range_lat,delta_range_lon,delta_sigmasq,delta_n_fit,n_qc_removed_qc,qc_max_abs_whitened_qc,qc_refit_qc,qc_initial_success_qc,message_qc
1,2024_07_y24m07day03_hm01:53,2,0,2,1.286645,1.286645,0.284764,0.320264,0.225393,0.297654,11.844826,2199,1.286645,1.286645,0.284764,0.320264,0.225393,0.297654,11.844826,2199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.436849,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,2024_07_y24m07day03_hm01:53,3,0,3,1.359299,1.359299,0.018392,0.201749,0.204174,0.289855,10.281068,2229,1.359299,1.359299,0.018392,0.201749,0.204174,0.289855,10.281068,2229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.287000,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,2024_07_y24m07day03_hm01:53,4,1,0,1.208034,1.208034,0.046183,0.334393,0.117062,0.184683,7.942478,2280,1.208034,1.208034,0.046183,0.334393,0.117062,0.184683,7.942478,2280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,6.117676,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,2024_07_y24m07day03_hm01:53,5,1,1,1.428654,1.428654,0.156848,0.239121,0.190495,0.334632,12.931863,2275,1.428654,1.428654,0.156848,0.239121,0.190495,0.334632,12.931863,2275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,5.689361,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,2024_07_y24m07day03_hm01:53,6,1,2,1.372976,1.372976,0.019753,0.264938,0.497510,0.696199,19.460435,1906,1.372976,1.372976,0.019753,0.264938,0.497510,0.696199,19.460435,1906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,5.734643,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,2024_07_y24m07day03_hm01:53,7,1,3,1.658506,1.658506,0.284236,0.375555,0.133883,0.170845,21.030437,2221,1.574822,1.574822,0.026403,0.422029,0.137018,0.165721,19.944781,2220,-0.083684,-0.083684,-0.257833,0.046473,0.003135,-0.005124,-1.085656,-1,1,17.330304,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; whitened_outlier_qc |r|>10 removed 1/2221
2,2024_07_y24m07day03_hm02:53,0,0,0,1.064803,1.064803,0.233488,0.534008,0.134401,0.178266,7.886432,2051,1.064803,1.064803,0.233488,0.534008,0.134401,0.178266,7.886432,2051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,3.674598,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,2024_07_y24m07day03_hm02:53,1,0,1,1.375737,1.375737,0.140347,0.400178,0.118143,0.179107,12.174227,2265,1.375737,1.375737,0.140347,0.400178,0.118143,0.179107,12.174227,2265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,3.727057,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,2024_07_y24m07day03_hm02:53,2,0,2,1.291165,1.291165,0.106920,0.417401,0.175337,0.212714,13.115208,2146,1.291165,1.291165,0.106920,0.417401,0.175337,0.212714,13.115208,2146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.968427,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,2024_07_y24m07day03_hm02:53,3,0,3,1.404797,1.404797,0.041587,0.226065,0.163444,0.212710,10.772686,2227,1.404797,1.404797,0.041587,0.226065,0.163444,0.212710,10.772686,2227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.580829,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
