dgp,lanczos_dimension,replicate_count,max_relative_field_error_vs_max,mean_relative_field_error_vs_max,mean_l_squared,sd_l_squared,analytic_target_mapped_var_l,clipped_8x_var_l,mean_minus_analytic_target
joint,200,1,0.00079441857524752807,0.00079441857524752807,1.3090527135013488,,1.3829133031132581,,-0.073860589611909333
joint,240,1,0.00019722401709425767,0.00019722401709425767,1.3090437231326515,,1.3829133031132581,,-0.073869579980606614
joint,280,1,0,0,1.3090468007431963,,1.3829133031132581,,-0.07386650237006176
