operator,reorthogonalization,lanczos_steps,n_bands,band_energy_per_mode_rmse,band_energy_per_mode_max_abs_error
exact_precision,full,64,20,0.17569392648131252,0.6537028786370191
exact_precision,full,128,20,0.050498040453497636,0.13566878237427815
exact_precision,full,256,20,0.04321137298764677,0.12537268698547732
exact_precision,full,512,20,0.021451039854180735,0.061116731843375294
exact_precision,none,64,20,0.17570891370210137,0.6537696620805968
exact_precision,none,128,20,0.11289624665579892,0.24909023601163505
exact_precision,none,256,20,0.03381708102482594,0.08855246761660429
exact_precision,none,512,20,0.019008300294919983,0.036708816260393684
subset_vecchia_precision,full,64,20,0.2871778971924875,0.8192951674691102
subset_vecchia_precision,full,128,20,0.05173802439450137,0.16680890364101786
subset_vecchia_precision,full,256,20,0.05497003401795168,0.13089532925952407
subset_vecchia_precision,full,512,20,0.021319920153651584,0.04740451327060857
subset_vecchia_precision,none,64,20,0.2871778971925089,0.8192951674687818
subset_vecchia_precision,none,128,20,0.13510203686710537,0.36560246821602616
subset_vecchia_precision,none,256,20,0.053052842125158546,0.12005580039158514
subset_vecchia_precision,none,512,20,0.026881541911933905,0.07876410795803146
