band,rank_start,rank_end,normalized_projector_frobenius_distance,mean_squared_canonical_correlation,principal_angle_median_deg,principal_angle_max_deg
1,1,160,0.18338319753581636,0.9663706028615398,2.5440179649701338,83.36584414756324
2,161,320,0.25792116845855123,0.9334766708609756,6.435110937893537,83.31550846261983
3,321,480,0.25260205214139597,0.9361922032539555,7.459879314387708,75.60464135318634
4,481,640,0.26674804640988076,0.9288454797365121,7.717771226306892,77.85172075228469
5,641,800,0.3033599826747168,0.9079727209115955,8.909252583640662,85.72699695910833
6,801,960,0.3329975593407299,0.8891126254731171,10.648227466202668,85.58028836459788
7,961,1120,0.3726844269218644,0.8611063179299215,12.23065197727567,88.48114808809422
8,1121,1280,0.4289023764859733,0.8160427514446844,15.165125968519654,88.5436545578578
9,1281,1440,0.46564089784907947,0.7831785542503031,18.16348787937017,89.00978811648123
10,1441,1600,0.500178637893227,0.7498213301952761,21.094690463478905,89.99986132317953
11,1601,1760,0.50499347429314,0.7449815909213438,21.002911619263713,89.79718640921935
12,1761,1920,0.45993392457754817,0.7884607850226942,18.938521463213554,89.85181985004255
13,1921,2080,0.43979399429583577,0.8065812425813144,17.414698796745675,88.67593722500898
14,2081,2240,0.4504605508882019,0.7970852920934977,17.938010274093905,89.85045143629536
15,2241,2400,0.48830651986968054,0.7615567426527613,19.953022529267557,89.883525962173
16,2401,2560,0.5378530977406456,0.7107140452507915,22.75961663900948,89.89148173571807
17,2561,2720,0.5313869080871203,0.7176279539136103,23.81048521353852,89.87450287039944
18,2721,2880,0.5155096434954233,0.7342498074632215,23.03274477589781,89.99834878458161
19,2881,3040,0.5453044827890604,0.7026430210501553,23.891629847311552,89.83707876055314
20,3041,3200,0.45895346341481186,0.7893617184195489,17.30172578932994,89.63850219832412
