operator_exact,band,rank_start,rank_end,rank_fraction_lo,rank_fraction_hi,mode_count,covariance_eigenvalue_geometric_mid_exact,energy_exact,energy_per_mode_exact,operator_vecchia,covariance_eigenvalue_geometric_mid_vecchia,energy_vecchia,energy_per_mode_vecchia
exact_covariance,1,1,160,0.0,0.05,160,270.4004877194133,111.46112359632208,0.6966320224770131,subset_vecchia_covariance,270.6394699359866,118.02814502435527,0.7376759064022205
exact_covariance,2,161,320,0.05,0.1,160,26.361243746643026,115.6055259213016,0.7225345370081351,subset_vecchia_covariance,26.99617406402062,105.40817663427816,0.6588011039642385
exact_covariance,3,321,480,0.1,0.15,160,14.651716568366378,91.35000764800552,0.5709375478000345,subset_vecchia_covariance,14.875213562757502,94.84544365453476,0.5927840228408423
exact_covariance,4,481,640,0.15,0.2,160,10.117764578595875,125.89728927704476,0.7868580579815297,subset_vecchia_covariance,10.21555198510229,128.7049509142031,0.8044059432137693
exact_covariance,5,641,800,0.2,0.25,160,7.825866641587917,101.12310956739753,0.6320194347962346,subset_vecchia_covariance,7.87116643918966,105.32808660981345,0.6583005413113341
exact_covariance,6,801,960,0.25,0.3,160,6.492403309646339,103.51198144165664,0.646949884010354,subset_vecchia_covariance,6.531936214105727,94.37673041128369,0.589854565070523
exact_covariance,7,961,1120,0.3,0.35,160,5.646523498120314,98.81708634003132,0.6176067896251958,subset_vecchia_covariance,5.685138329592656,85.67221995422483,0.5354513747139051
exact_covariance,8,1121,1280,0.35,0.4,160,5.073225717423247,112.64601781709837,0.7040376113568648,subset_vecchia_covariance,5.104711583013096,124.22993974731787,0.7764371234207367
exact_covariance,9,1281,1440,0.4,0.45,160,4.673696133251159,105.27487513034873,0.6579679695646796,subset_vecchia_covariance,4.69631045249222,106.55772133995401,0.6659857583747126
exact_covariance,10,1441,1600,0.45,0.5,160,4.38593750918599,145.18079420455513,0.9073799637784695,subset_vecchia_covariance,4.401982096170377,140.77479525150704,0.879842470321919
exact_covariance,11,1601,1760,0.5,0.55,160,4.178666513936918,103.12028376582793,0.6445017735364246,subset_vecchia_covariance,4.1859222266821945,103.2329092229927,0.6452056826437044
exact_covariance,12,1761,1920,0.55,0.6,160,3.9964225618752476,97.48133667238653,0.6092583542024158,subset_vecchia_covariance,3.9945112537109475,96.72056742498967,0.6045035464061854
exact_covariance,13,1921,2080,0.6,0.65,160,3.82323624418581,107.39440255355362,0.6712150159597101,subset_vecchia_covariance,3.816231316561052,114.63017344166929,0.716438584010433
exact_covariance,14,2081,2240,0.65,0.7,160,3.671553187841813,101.25685496898518,0.6328553435561574,subset_vecchia_covariance,3.6614152506654123,94.37853180118259,0.5898658237573912
exact_covariance,15,2241,2400,0.7,0.75,160,3.5445128229082665,67.94336915884355,0.4246460572427722,subset_vecchia_covariance,3.532797844226049,80.95957189572414,0.5059973243482758
exact_covariance,16,2401,2560,0.75,0.8,160,3.4412201103061486,100.943509959307,0.6308969372456688,subset_vecchia_covariance,3.431042817649525,104.07915495525754,0.6504947184703596
exact_covariance,17,2561,2720,0.8,0.85,160,3.356149752441945,84.27572941939184,0.526723308871199,subset_vecchia_covariance,3.342851413995424,80.83199315320007,0.5051999572075004
exact_covariance,18,2721,2880,0.85,0.9,160,3.275090523423734,90.69746531695273,0.5668591582309546,subset_vecchia_covariance,3.253637891804122,85.41779062050614,0.5338611913781633
exact_covariance,19,2881,3040,0.9,0.95,160,3.1874118065782833,81.98027987620276,0.5123767492262672,subset_vecchia_covariance,3.158705054744116,86.11829786828753,0.5382393616767971
exact_covariance,20,3041,3200,0.95,1.0,160,2.9686104845748065,82.47244116001707,0.5154527572501066,subset_vecchia_covariance,2.9477207062133663,78.85427679668601,0.49283922997928753
