operator,reorthogonalization,lanczos_steps,band,rank_start,rank_end,exact_mode_count,estimated_mode_count,exact_energy_per_mode,matrix_free_energy_per_mode,energy_per_mode_error
exact_precision,full,64,1,1,160,160,146.7137569593158,0.6966320224770131,0.8149476368497477,0.11831561437273463
exact_precision,full,64,2,161,320,160,176.11472752540328,0.7225345370081351,0.5749281513928322,-0.14760638561530293
exact_precision,full,64,3,321,480,160,147.28596096603286,0.5709375478000345,0.747689539220311,0.17675199142027653
exact_precision,full,64,4,481,640,160,159.4603364644409,0.7868580579815297,0.7321043906772916,-0.05475366730423814
exact_precision,full,64,5,641,800,160,173.18210092014,0.6320194347962346,0.5408221562728811,-0.09119727852335346
exact_precision,full,64,6,801,960,160,159.8080633904707,0.646949884010354,0.6188325119353664,-0.028117372074987657
exact_precision,full,64,7,961,1120,160,183.89264803116737,0.6176067896251958,0.5975157179193888,-0.02009107170580693
exact_precision,full,64,8,1121,1280,160,148.48699848418028,0.7040376113568648,0.7059619817818518,0.001924370424986943
exact_precision,full,64,9,1281,1440,160,160.41329136827153,0.6579679695646796,0.6425046820963557,-0.015463287468323927
exact_precision,full,64,10,1441,1600,160,198.78175643836425,0.9073799637784695,0.8421749742714391,-0.06520498950703046
exact_precision,full,64,11,1601,1760,160,109.96904245730957,0.6445017735364246,0.6297225992301586,-0.014779174306265963
exact_precision,full,64,12,1761,1920,160,192.3942620036712,0.6092583542024158,0.6335585226455859,0.024300168443170067
exact_precision,full,64,13,1921,2080,160,96.1861145420662,0.6712150159597101,1.3249178945967293,0.6537028786370191
exact_precision,full,64,14,2081,2240,160,184.20576216996324,0.6328553435561574,0.3182191059784829,-0.31463623757767445
exact_precision,full,64,15,2241,2400,160,198.16441284845723,0.4246460572427722,0.4943982828851424,0.06975222564237021
exact_precision,full,64,16,2401,2560,160,101.93103531625093,0.6308969372456688,0.6473689495302029,0.0164720122845341
exact_precision,full,64,17,2561,2720,160,211.73974418813168,0.526723308871199,0.5337855733784772,0.007062264507278204
exact_precision,full,64,18,2721,2880,160,162.28229700169686,0.5668591582309546,0.5905724023801735,0.023713244149218937
exact_precision,full,64,19,2881,3040,160,118.94444501187354,0.5123767492262672,0.5226550782535535,0.010278329027286315
exact_precision,full,64,20,3041,3200,160,170.0432439127926,0.5154527572501066,0.5341367571368314,0.018683999886724756
exact_precision,full,128,1,1,160,160,158.23612197230005,0.6966320224770131,0.6961230422670807,-0.000508980209932397
exact_precision,full,128,2,161,320,160,161.10103226584062,0.7225345370081351,0.6987183830617292,-0.023816153946405905
exact_precision,full,128,3,321,480,160,158.17567254500113,0.5709375478000345,0.5923086207612345,0.0213710729612
exact_precision,full,128,4,481,640,160,161.72080260552957,0.7868580579815297,0.772297841177785,-0.014560216803744752
exact_precision,full,128,5,641,800,160,156.9928369531923,0.6320194347962346,0.6369435602355507,0.004924125439316085
exact_precision,full,128,6,801,960,160,159.0492695716806,0.646949884010354,0.7203070167366836,0.0733571327263296
exact_precision,full,128,7,961,1120,160,178.20303974145065,0.6176067896251958,0.5250218193168491,-0.09258497030834667
exact_precision,full,128,8,1121,1280,160,147.8551478553593,0.7040376113568648,0.6942140001443032,-0.00982361121256159
exact_precision,full,128,9,1281,1440,160,159.84901438972315,0.6579679695646796,0.6335703314237515,-0.024397638140928102
exact_precision,full,128,10,1441,1600,160,185.6980115021845,0.9073799637784695,0.8962702731636171,-0.011109690614852452
exact_precision,full,128,11,1601,1760,160,131.5671281052571,0.6445017735364246,0.7801705559107027,0.13566878237427815
exact_precision,full,128,12,1761,1920,160,182.63223764509917,0.6092583542024158,0.48863880559979933,-0.12061954860261648
exact_precision,full,128,13,1921,2080,160,139.42631252609976,0.6712150159597101,0.705548895151541,0.03433387919183084
exact_precision,full,128,14,2081,2240,160,184.06750295434222,0.6328553435561574,0.619159462923926,-0.013695880632231372
exact_precision,full,128,15,2241,2400,160,150.98521135850206,0.4246460572427722,0.4294305289924094,0.004784471749637198
exact_precision,full,128,16,2401,2560,160,154.41854271992634,0.6308969372456688,0.6470997216279065,0.016202784382237767
exact_precision,full,128,17,2561,2720,160,160.1669344101333,0.526723308871199,0.5294757781809983,0.0027524693097993325
exact_precision,full,128,18,2721,2880,160,164.36745655793084,0.5668591582309546,0.5713490919812796,0.004489933750325026
exact_precision,full,128,19,2881,3040,160,149.98207335726147,0.5123767492262672,0.5263284633316286,0.013951714105361446
