operator,reorthogonalization,lanczos_steps,n_slq_probes,mode_fraction_rmse,mode_fraction_max_abs_error,energy_per_n_rmse,energy_per_n_max_abs_error,endpoint_energy_relative_error,shape_D_exact,shape_D_lanczos_slq
exact_precision,full,64,32,0.006441610000500379,0.018481137671183423,0.004416896495383068,0.015473937930322989,3.552713678800501e-15,1.3489138980595812,1.8266678058655799
exact_precision,full,128,32,0.0036310232376733915,0.011592969758371097,0.0022483707684469154,0.010466715891075182,3.885780586188048e-15,1.3489138980595812,1.5212960989657431
exact_precision,full,256,32,0.002635019329824373,0.008104201487578067,0.0011467222715336517,0.005672615492499915,1.887379141862766e-15,1.3489138980595812,1.38058800842376
exact_precision,full,512,32,0.002359673128181843,0.006318119880918349,0.0005887722795036096,0.0031700488164251796,2.4424906541753444e-15,1.3489138980595812,1.3148232864449767
subset_vecchia_precision,full,64,32,0.0067354028330715385,0.018579519258950072,0.0047223426535921076,0.015729653734076976,2.55351295663786e-15,1.316070420099257,1.7908295102110372
subset_vecchia_precision,full,128,32,0.0037626298183113076,0.010989974528357038,0.002376628580045528,0.008393800971590225,3.6637359812630166e-15,1.316070420099257,1.5077885341991362
subset_vecchia_precision,full,256,32,0.002520944562835855,0.006973842982542111,0.001199736223325158,0.0056460550690253086,8.881784197001252e-16,1.316070420099257,1.3743407321364713
subset_vecchia_precision,full,512,32,0.002169482803742087,0.005341425384507548,0.0006049958808566629,0.003979614479216664,6.8833827526759706e-15,1.316070420099257,1.3028786463130786
exact_precision,none,64,32,0.006443963453826842,0.018495796209332394,0.004417209105378917,0.015480397076305295,2.1094237467877974e-15,1.3489138980595812,1.826511983733289
exact_precision,none,128,32,0.003614867485544987,0.010820979179272716,0.002244393536850842,0.009382746224928944,2.6645352591003757e-15,1.3489138980595812,1.5271390551111097
exact_precision,none,256,32,0.0024126296530794693,0.006700132510317536,0.0011593491375269096,0.005846813418803478,5.88418203051333e-15,1.3489138980595812,1.364028913340252
exact_precision,none,512,32,0.0023082603370439877,0.005683403100493645,0.0005889573743921108,0.003184793672695889,4.440892098500626e-16,1.3489138980595812,1.3089005662140267
subset_vecchia_precision,none,64,32,0.006735402833095348,0.01857951925911383,0.004722342653592165,0.015729653734072,2.7755575615628914e-15,1.316070420099257,1.7908295102086953
subset_vecchia_precision,none,128,32,0.003763769019902214,0.011658948680450809,0.00239173766227023,0.010354185888789686,2.7755575615628914e-15,1.316070420099257,1.4794614430493085
subset_vecchia_precision,none,256,32,0.002314578108760821,0.006713422128724389,0.0012315412825073715,0.0048286887457453884,2.3314683517128287e-15,1.316070420099257,1.3412135659012905
subset_vecchia_precision,none,512,32,0.002168146555965527,0.005235698269147049,0.0006313845807966643,0.0038811466307203803,1.4432899320127035e-15,1.316070420099257,1.293312425663737
