replicate,curve_rmse_per_n,curve_max_abs_per_n,endpoint_difference_per_n,band_energy_per_mode_rmse,band_energy_per_mode_max_abs
1,0.003851971990411123,0.009800421465002387,0.00029796190349088645,0.048625966791838664,0.1220083264054721
2,0.003937890136814382,0.011634984544250387,0.0026439577156868667,0.08923650250975358,0.22353550252443033
3,0.003639844069597744,0.012367141697110924,0.0022143380162007987,0.07715484060919835,0.18634732974961365
4,0.0026581129448303414,0.008201475604164088,-4.2906819603132364e-05,0.06479622442099643,0.17666440835333785
5,0.004193030440291381,0.014730015993509227,-0.0013486977444844683,0.091844916328571,0.25112748812364527
6,0.0031642443727999668,0.009640453325307448,0.004092792457354761,0.09846293792583362,0.20533885191218904
7,0.002685538387030623,0.010694698234601105,0.0028831997548593334,0.04878320190792776,0.09652829257307338
8,0.0024626843331760533,0.007139450243039391,0.00021366442386124617,0.045711101551943585,0.10171308470714735
9,0.0029895647137199682,0.011016017586049713,0.0034169746503414445,0.04958011648068803,0.13789449532517573
10,0.0029423651336934224,0.01034045035630328,0.0038099450835846938,0.04794853724681858,0.11564923146136041
11,0.004562519031420676,0.01193816175541869,-0.0012697624987147548,0.07290877462352349,0.2049055340347825
12,0.005250401872634168,0.014783650205594795,0.00086372818682662,0.07976910697231909,0.21123269285425716
13,0.002289968061739974,0.008602104535388904,0.005630648600125028,0.06432379913027096,0.15660911547871625
14,0.002735102489194501,0.009075979483313717,0.0019109573071715146,0.07032723222348544,0.13824567965330425
15,0.003473409890944869,0.012278668631938246,0.0006418781401436036,0.08571604613322495,0.16226655878771257
16,0.0024602062481860858,0.007218254936856852,0.0032332119209623044,0.048789078991869066,0.12304418897710534
17,0.0036112543531598134,0.015267489392034435,0.0022319707127829245,0.08341872467571267,0.17174326837381848
18,0.003111432087918026,0.012301731412077927,0.001973381307395243,0.06025866503915229,0.12643997043379573
19,0.003210539211429426,0.0136762030422652,0.00397668166291524,0.06928559382203081,0.13306712932753229
20,0.0030753544115140357,0.009393857520199802,0.002606289800569783,0.06210671118205375,0.12614417215616947
21,0.0031794009588919114,0.009608840639752998,0.0029293261621957355,0.07805347180621623,0.22708960481208806
22,0.0023617800845390454,0.00918883251612428,0.0037465479448076165,0.06294474861734903,0.13423893629923112
23,0.0035688366408572706,0.012629829100905852,0.0018325520142700212,0.07470109664724965,0.15324776528665907
