year,month,day_num,direction,lag,mean_over_7_pairs,mean_pair_count,pair_1_2,n_pairs_1_2,pair_2_3,n_pairs_2_3,pair_3_4,n_pairs_3_4,pair_4_5,n_pairs_4_5,pair_5_6,n_pairs_5_6,pair_6_7,n_pairs_6_7,pair_7_8,n_pairs_7_8
2023,7,1,lat,-2.1560,14.8527,10081.5714,11.4382,9983,13.8251,10052,15.8322,10118,16.2437,10146,16.1076,10140,14.9755,10124,15.5464,10008.0000
2023,7,1,lat,-1.9360,14.0900,10861.5714,10.6791,10766,13.0008,10833,14.5607,10896,15.3686,10937,15.9334,10933,14.7091,10895,14.3781,10771.0000
2023,7,1,lat,-1.7160,13.5466,11641.4286,10.2091,11546,12.2058,11609,14.1334,11683,14.9715,11725,15.1497,11719,14.3303,11678,13.8266,11530.0000
2023,7,1,lat,-1.4960,12.7676,12422.8571,9.5643,12338,11.5695,12404,13.4120,12468,13.8965,12507,13.8275,12508,13.7980,12445,13.3052,12290.0000
2023,7,1,lat,-1.2760,12.0702,13187.7143,9.1598,13138,10.9815,13200,12.2477,13262,12.4300,13298,12.9072,13262,13.4180,13142,13.3470,13012.0000
2023,7,1,lat,-1.0560,12.0318,13955.4286,8.6233,13932,10.7261,13992,12.1655,14055,12.3340,14085,13.0599,14031,13.4195,13860,13.8945,13733.0000
2023,7,1,lat,-0.8360,11.8431,14737.8571,8.5548,14699,10.4145,14779,12.2894,14846,12.2990,14862,13.1371,14825,13.0493,14641,13.1575,14513.0000
2023,7,1,lat,-0.6160,11.3425,15501.0000,8.0655,15427,10.0021,15500,11.8554,15630,12.2463,15657,12.6966,15614,12.4508,15391,12.0804,15288.0000
2023,7,1,lat,-0.3960,10.3012,16274.4286,7.5968,16160,9.2138,16236,10.7903,16410,11.5930,16446,11.5614,16398,11.1081,16185,10.2448,16086.0000
2023,7,1,lat,-0.1760,8.7622,17073.5714,7.1392,16981,8.5392,17039,9.5699,17193,9.8680,17233,9.9480,17166,8.7128,17000,7.5580,16903.0000
2023,7,1,lat,-0.1320,8.3301,17233.5714,6.8120,17149,8.1918,17200,9.2516,17353,9.3697,17388,9.2847,17318,8.2376,17157,7.1635,17070.0000
2023,7,1,lat,-0.0440,7.1516,17549.0000,6.4389,17476,7.0185,17514,7.6043,17667,7.5810,17696,7.7079,17622,7.2065,17467,6.5039,17401.0000
2023,7,1,lat,0.0000,6.4350,17701.8571,5.8744,17630,6.0165,17667,6.6467,17816,6.5153,17844,6.9946,17776,6.8428,17618,6.1544,17562.0000
2023,7,1,lat,0.0440,6.9316,17539.7143,6.3750,17459,6.7049,17510,7.4400,17649,7.3000,17682,7.4740,17613,7.0739,17460,6.1533,17405.0000
2023,7,1,lat,0.1320,7.8573,17214.8571,6.6625,17116,7.9588,17177,8.8626,17321,8.9271,17370,8.4352,17297,7.6334,17146,6.5213,17077.0000
2023,7,1,lat,0.1760,8.2887,17054.5714,7.1582,16952,8.3063,17024,9.2979,17159,9.4754,17213,8.8886,17143,8.0765,16983,6.8181,16908.0000
2023,7,1,lat,0.3960,10.0883,16269.4286,7.9119,16174,9.2463,16255,10.7768,16395,11.4577,16433,11.3559,16360,10.3378,16176,9.5318,16093.0000
2023,7,1,lat,0.6160,11.2382,15503.2857,8.4024,15460,10.0157,15523,11.2744,15634,12.6623,15645,12.5264,15558,11.9497,15409,11.8366,15294.0000
2023,7,1,lat,0.8360,12.0681,14728.8571,9.0768,14739,10.7015,14761,11.6776,14863,13.1022,14848,13.5694,14761,12.9054,14599,13.4436,14531.0000
2023,7,1,lat,1.0560,12.3692,13940.8571,9.4652,13960,11.0745,13974,11.9643,14070,13.4225,14060,13.5320,13986,12.8689,13797,14.2573,13739.0000
2023,7,1,lat,1.2760,12.6045,13169.4286,9.6275,13176,11.8452,13192,12.5263,13282,13.4656,13272,13.1789,13209,12.7162,13032,14.8721,13023.0000
2023,7,1,lat,1.4960,13.4259,12395.1429,10.2832,12370,12.6614,12396,13.7425,12490,14.3126,12490,14.0015,12427,13.8008,12271,15.1793,12322.0000
2023,7,1,lat,1.7160,14.0658,11610.7143,11.1652,11574,13.2778,11591,14.4161,11692,14.8581,11710,14.4349,11649,14.6797,11491,15.6286,11568.0000
2023,7,1,lat,1.9360,14.5966,10830.5714,11.6220,10790,14.1378,10801,14.7339,10907,15.4200,10924,14.7591,10865,15.0785,10736,16.4251,10791.0000
2023,7,1,lat,2.1560,15.5189,10054.1429,12.2630,10012,15.1449,10024,15.5183,10127,16.2084,10139,16.0619,10098,15.8873,9970,17.5481,10009.0000
2023,7,1,lon,-1.8810,11.7679,14339.1429,9.6879,14315,10.5415,14341,11.3265,14474,12.5633,14473,12.7071,14370,12.9048,14210,12.6440,14191.0000
2023,7,1,lon,-1.6920,11.4936,14677.5714,9.5560,14656,10.2637,14682,11.1515,14816,12.1753,14815,12.4382,14709,12.5662,14552,12.3043,14513.0000
2023,7,1,lon,-1.5030,11.2885,15020.5714,9.3860,14996,10.0888,15021,10.9312,15158,12.1324,15157,12.4255,15051,12.2180,14894,11.8376,14867.0000
2023,7,1,lon,-1.3140,11.1270,15359.2857,9.2016,15323,9.8010,15357,10.7539,15500,11.9266,15497,12.4814,15393,12.2059,15235,11.5186,15210.0000
2023,7,1,lon,-1.1250,10.9425,15695.8571,9.0842,15664,9.8247,15702,10.6972,15841,11.6132,15837,12.3211,15733,12.0361,15563,11.0207,15531.0000
2023,7,1,lon,-0.9360,10.4619,16025.8571,8.8412,15976,9.6541,16032,10.2592,16177,11.0534,16181,11.8086,16071,11.0581,15888,10.5587,15856.0000
2023,7,1,lon,-0.7470,9.8852,16343.7143,8.4599,16285,9.2306,16329,9.8232,16488,10.6586,16493,11.0651,16400,10.0951,16229,9.8640,16182.0000
2023,7,1,lon,-0.5580,9.0870,16673.0000,8.0205,16623,8.8005,16659,9.2166,16804,9.6939,16813,10.0579,16726,9.1737,16582,8.6462,16504.0000
2023,7,1,lon,-0.3690,8.0099,17021.5714,7.3515,16956,7.8495,17009,8.4138,17125,8.4963,17155,8.7942,17084,7.8584,16939,7.3057,16883.0000
2023,7,1,lon,-0.1800,6.9651,17372.7143,6.4772,17293,6.7394,17356,7.5456,17462,7.4533,17507,7.5023,17439,6.8030,17297,6.2349,17255.0000
2023,7,1,lon,-0.1260,6.6420,17485.5714,6.1861,17407,6.3059,17460,7.0894,17583,7.0936,17620,7.2364,17556,6.5444,17409,6.0381,17364.0000
2023,7,1,lon,-0.0630,6.4831,17597.4286,6.1189,17520,6.1939,17568,6.8405,17701,6.7995,17735,6.9202,17669,6.5203,17520,5.9886,17469.0000
2023,7,1,lon,0.0000,6.4350,17701.8571,5.8744,17630,6.0165,17667,6.6467,17816,6.5153,17844,6.9946,17776,6.8428,17618,6.1544,17562.0000
2023,7,1,lon,0.0630,7.2172,17594.5714,6.3086,17511,7.1221,17564,7.5910,17717,7.7395,17744,7.8620,17670,7.4877,17514,6.4098,17442.0000
2023,7,1,lon,0.1260,7.8193,17472.7143,6.8117,17390,7.6129,17448,8.5210,17602,8.5671,17625,8.6181,17546,7.9910,17387,6.6135,17311.0000
2023,7,1,lon,0.1800,8.2762,17353.4286,7.0732,17271,8.0517,17337,9.1439,17482,9.1830,17500,9.2408,17430,8.3164,17263,6.9241,17191.0000
2023,7,1,lon,0.3690,9.1986,17017.8571,7.5075,16931,8.5095,17022,9.8839,17130,10.3865,17157,10.5952,17098,9.6709,16928,7.8369,16859.0000
2023,7,1,lon,0.5580,9.8434,16694.1429,7.8908,16596,8.9520,16698,10.4734,16807,10.9070,16841,11.1814,16789,10.7162,16587,8.7828,16541.0000
2023,7,1,lon,0.7470,10.2893,16370.4286,7.8434,16255,9.2777,16365,11.0652,16485,11.3146,16537,11.5365,16473,11.4369,16266,9.5512,16212.0000
2023,7,1,lon,0.9360,10.6963,16052.7143,8.1941,15944,9.6111,16052,11.2541,16165,11.8644,16214,11.8297,16152,11.7209,15952,10.3996,15890.0000
2023,7,1,lon,1.1250,11.1983,15721.5714,8.2638,15617,9.9766,15719,11.9650,15825,12.5665,15872,12.3594,15824,12.2719,15632,10.9852,15562.0000
2023,7,1,lon,1.3140,11.4009,15384.2857,8.4329,15277,10.0278,15380,12.1853,15483,12.8835,15533,12.3622,15504,12.4430,15305,11.4714,15208.0000
