scenario,precision_build_seconds,slq_seconds,residual_lanczos_seconds,scenario_total_seconds
true,3.321356917003868,12.70373095801915,6.4020825829938985,24.902939459017944
microergodic_preserved_2x,3.34251212500385,13.019524665985955,6.507400125003187,25.10171329099103
sigma2_2x,3.285936916974606,13.091906792018563,6.491860167006962,25.089874625002267
sigma2_half,3.310938083974179,13.120008041005349,6.503117999993265,25.166953874984756
all_ranges_2x,3.3540888749994338,13.251287291990593,6.540889500000048,25.388686083984794
all_ranges_half,3.318359541997779,13.21061350000673,6.617410083010327,25.408638791006524
lat_range_quarter,3.3147825420019217,13.26326229199185,6.602250791998813,25.4896283330163
lon_range_4x,3.374072165985126,13.39042337500723,6.556166291993577,25.57887200001278
time_range_quarter,3.340934332984034,13.276903125020908,6.633811125007924,25.512017917004414
time_range_4x,3.3040041659842245,13.30971629198757,6.64946395799052,25.51158079202287
advection_zero,3.3395482080231886,13.500292042008368,6.597687917004805,25.732780708000064
advection_reversed,3.3276663750002626,13.3629602920264,6.669991999980994,25.618895624997094
advection_3x,3.2870497920084745,13.396093292016303,6.6649538750061765,25.620265208010096
