date,method,frequency_third,estimated_mode_count,estimated_residual_energy,energy_per_mode,known_parameter_chi2_standard_error
2024-07-13,true,low,46845.29933288929,46007.48971054746,0.9821153961171591,0.006534043006745848
2024-07-13,true,middle,46565.248322203086,44722.3559430699,0.9604234392484822,0.006553661954124003
2024-07-13,true,high,46327.45234490791,48359.95750948532,1.0438725865917557,0.006570460198463122
2024-07-13,microergodic_preserved_2x,low,46841.02590085058,44535.25091823196,0.9507744559758511,0.006534341059055247
2024-07-13,microergodic_preserved_2x,middle,46949.46425705933,44632.412172540964,0.9506479547491328,0.00652679057011428
2024-07-13,microergodic_preserved_2x,high,45947.50984209032,47868.41523373878,1.041806517877685,0.006597570020269038
2024-07-13,sigma2_2x,low,46709.799797295724,25114.636555035566,0.5376738214255755,0.0065435133817606465
2024-07-13,sigma2_2x,middle,47016.1218370273,28306.787144674705,0.6020655477028699,0.006522162217546466
2024-07-13,sigma2_2x,high,46012.07836567724,31542.23497868047,0.6855207610488953,0.006592939226303009
2024-07-13,sigma2_half,low,46939.513181616734,79957.7882002592,1.7034217609136528,0.0065274823662055045
2024-07-13,sigma2_half,middle,46334.439099024086,64519.26712498894,1.3924689362722396,0.0065699648010718445
2024-07-13,sigma2_half,high,46464.047719359965,64306.63447847852,1.3840084459900415,0.006560795144492295
2024-07-13,all_ranges_2x,low,46726.18083610345,75239.81322741098,1.6102281821688322,0.006542366284556544
2024-07-13,all_ranges_2x,middle,46639.784675290866,67686.89154503564,1.4512693833446288,0.006548423064335264
2024-07-13,all_ranges_2x,high,46372.03448860493,62375.024141873495,1.3451000118875742,0.0065673010138112015
2024-07-13,all_ranges_half,low,46822.278165148666,29486.569675957227,0.6297551257961863,0.006535649109877345
2024-07-13,all_ranges_half,middle,46373.83605136509,30052.867896789063,0.6480565434246496,0.006567173447053094
2024-07-13,all_ranges_half,high,46541.88578348624,30478.684320893313,0.6548656937254487,0.00655530661214849
2024-07-13,lat_range_quarter,low,46621.57188537206,37086.73989806782,0.7954845449924463,0.006549702015293504
2024-07-13,lat_range_quarter,middle,46768.197583781846,46158.92141983614,0.9869724258059286,0.0065394267793403545
2024-07-13,lat_range_quarter,high,46348.23053084592,46232.63407324201,0.9975059143298474,0.006568987245272663
2024-07-13,lon_range_4x,low,46600.67741613536,79737.81908465998,1.7110871237474965,0.006551170204363476
2024-07-13,lon_range_4x,middle,46647.56057069757,93596.37491273956,2.006458082001691,0.006547877248279753
2024-07-13,lon_range_4x,high,46489.76201316701,78773.0880723387,1.6944179677673608,0.006558980448721829
2024-07-13,time_range_quarter,low,46732.20051281943,45837.382525411296,0.9808522180083802,0.006541944902748172
2024-07-13,time_range_quarter,middle,47050.33188902226,44518.59744688571,0.9461909334006792,0.006519790671243182
2024-07-13,time_range_quarter,high,45955.467598158284,48089.28898025522,1.0464323723295648,0.006596998770223729
2024-07-13,time_range_4x,low,46592.33383122702,67145.09384100909,1.44111892064113,0.006551756757917296
2024-07-13,time_range_4x,middle,47066.57742188066,64712.43500960835,1.3749126992931582,0.0065186653863744184
2024-07-13,time_range_4x,high,46079.088746892055,73431.09066898638,1.5935881690789546,0.0065881436007849525
2024-07-13,advection_zero,low,46885.05561798439,52029.57010970826,1.1097261040626878,0.006531272141226802
2024-07-13,advection_zero,middle,47227.7352601425,48619.90206048771,1.029477737873239,0.006507533879140913
2024-07-13,advection_zero,high,45625.20912187314,44935.24381836243,0.9848775421134469,0.006620831935567551
2024-07-13,advection_reversed,low,46585.66219409355,49458.88696914276,1.0616761604263187,0.006552225887009204
2024-07-13,advection_reversed,middle,46629.98014808521,44508.088428645504,0.9544951185331603,0.006549111471421316
2024-07-13,advection_reversed,high,46522.357657821296,48866.1198644222,1.0503792654671462,0.006556682288564699
2024-07-13,advection_3x,low,46653.54506132399,46778.72359364151,1.0026831515622872,0.0065474572698335
2024-07-13,advection_3x,middle,46836.432874794926,44520.45655089489,0.9505518208423088,0.0065346614470645535
2024-07-13,advection_3x,high,46248.02206388085,48390.916178044485,1.0463348272755042,0.006576100111079177
