scenario,label,sigma2_multiplier,common_range_multiplier,microergodic_proxy_multiplier,assumed_smooth,assumed_sigmasq,assumed_range_lat,assumed_range_lon,assumed_range_time,assumed_advec_lat,assumed_advec_lon,assumed_nugget,precision_build_seconds,precision_nnz,n_observations,direct_energy_per_observation,precision_identity_relative_error,overall_max_abs_cumulative_deviation,low_max_abs_cumulative_deviation,low_endpoint_cumulative_deviation,low_four_bin_rmse_from_one,all_bin_rmse_from_one,low,middle,high,slq_seconds,residual_lanczos_seconds,max_curve_change_128_to_256,scenario_total_seconds,low_minus_true,middle_minus_true,high_minus_true
true,true,1.0,1.0,1.0,0.5,10.0,0.2,0.3,2.0,0.08,-0.2,1.0,3.321356917003868,26027112,139738,0.9953613416758741,1.4654528593264186e-10,0.019657820286241523,0.008593721566517387,-0.008593721566517387,0.03447955112085339,0.10437344696576735,0.9821153961171591,0.9604234392484822,1.0438725865917557,12.70373095801915,6.4020825829938985,0.010853081256140151,24.902939459017944,0.0,0.0,0.0
microergodic_preserved_2x,σ² & all ranges 2× (κ kept),2.0,2.0,1.0,0.5,20.0,0.4,0.6,4.0,0.08,-0.2,1.0,3.34251212500385,26027112,139738,0.9806643742182687,1.48211420396595e-10,0.033919424516189456,0.02149881648019103,-0.018869595758423785,0.05987293252411056,0.06407568896420186,0.9507744559758511,0.9506479547491328,1.041806517877685,13.019524665985955,6.507400125003187,0.01066968658863876,25.10171329099103,-0.03134094014130806,-0.009775484499349396,-0.002066068714070779
sigma2_2x,σ² 2× (κ 2×),2.0,1.0,2.0,0.5,20.0,0.2,0.3,2.0,0.08,-0.2,1.0,3.285936916974606,26027112,139738,0.608021144415916,1.488915732725074e-10,0.3931501872359353,0.15285599479374803,-0.15285599479374803,0.4634351329672808,0.3985123560217023,0.5376738214255755,0.6020655477028699,0.6855207610488953,13.091906792018563,6.491860167006962,0.006003699415684072,25.089874625002267,-0.44444157469158363,-0.35835789154561226,-0.3583518255428605
sigma2_half,σ² 0.5× (κ 0.5×),0.5,1.0,0.5,0.5,5.0,0.2,0.3,2.0,0.08,-0.2,1.0,3.310938083974179,26027112,139738,1.49410818677619,1.4168093133584996e-10,0.49410818677615165,0.22783007109617148,0.22783007109617148,0.7166394561497825,0.5271044633553541,1.7034217609136528,1.3924689362722396,1.3840084459900415,13.120008041005349,6.503117999993265,0.01838110318360575,25.166953874984756,0.7213063647964937,0.4320454970237574,0.3401358593982857
all_ranges_2x,all ranges 2× (κ 0.5×),1.0,2.0,0.5,0.5,10.0,0.4,0.6,4.0,0.08,-0.2,1.0,3.3540888749994338,26027112,139738,1.4691904057187044,1.4373825606135267e-10,0.4691904057187085,0.21211400315286233,0.21211400315286233,0.6226521877754153,0.49849119300123335,1.6102281821688322,1.4512693833446288,1.3451000118875742,13.251287291990593,6.540889500000048,0.015568130822385617,25.388686083984794,0.6281127860516731,0.4908459440961467,0.3012274252958185
all_ranges_half,all ranges 0.5× (κ 2×),1.0,0.5,2.0,0.5,10.0,0.1,0.15,1.0,0.08,-0.2,1.0,3.318359541997779,26027112,139738,0.644192144539343,1.4190628044488413e-10,0.3563149245547015,0.12255493094044959,-0.12255493094044959,0.3814518931555894,0.3638847260588175,0.6297551257961863,0.6480565434246496,0.6548656937254487,13.21061350000673,6.617410083010327,0.0061634595154039795,25.408638791006524,-0.35236027032097283,-0.3123668958238326,-0.3890068928663071
lat_range_quarter,latitude range 0.25×,,,,0.5,10.0,0.05,0.3,2.0,0.08,-0.2,1.0,3.3147825420019217,26027112,139738,0.9265789934816967,9.562885295729241e-11,0.08249789005147479,0.06766883519466355,-0.06766883519466355,0.22143303992050692,0.13628904748877285,0.7954845449924463,0.9869724258059286,0.9975059143298474,13.26326229199185,6.602250791998813,0.008063554089951408,25.4896283330163,-0.1866308511247129,0.02654898655744642,-0.04636667226190838
lon_range_4x,longitude range 4×,,,,0.5,10.0,0.2,1.2,2.0,0.08,-0.2,1.0,3.374072165985126,26027112,139738,1.8041426245526226,1.102076312253461e-10,0.8041426245526506,0.22961444668940773,0.22961444668940773,0.7532642607019682,0.8587036326151641,1.7110871237474965,2.006458082001691,1.6944179677673608,13.39042337500723,6.556166291993577,0.02120569746636547,25.57887200001278,0.7289717276303374,1.046034642753209,0.650545381175605
time_range_quarter,time range 0.25×,,,,0.5,10.0,0.2,0.3,0.5,0.08,-0.2,1.0,3.340934332984034,26027112,139738,0.9907488940198856,1.3838845025371273e-10,0.02638013514026971,0.011474459661455494,-0.00845770714570665,0.023466159435395074,0.06474301940930795,0.9808522180083802,0.9461909334006792,1.0464323723295648,13.276903125020908,6.633811125007924,0.011455094694153178,25.512017917004414,-0.0012631781087789618,-0.014232505847803001,0.002559785737809017
time_range_4x,time range 4×,,,,0.5,10.0,0.2,0.3,8.0,0.08,-0.2,1.0,3.3040041659842245,26027112,139738,1.4690965916186303,1.2259374578085464e-10,0.4690965916186297,0.15465198652009143,0.15465198652009143,0.48032649014511086,0.5100233561446132,1.44111892064113,1.3749126992931582,1.5935881690789546,13.30971629198757,6.64946395799052,0.013679162791250699,25.51158079202287,0.45900352452397075,0.414489260044676,0.5497155824871989
advection_zero,advection = 0,,,,0.5,10.0,0.2,0.3,2.0,0.0,0.0,1.0,3.3395482080231886,26027112,139738,1.0418405586780857,1.2927615460010987e-10,0.0476454908832884,0.04215573815757345,0.03693818813995969,0.14197793003680476,0.1201038690329697,1.1097261040626878,1.029477737873239,0.9848775421134469,13.500292042008368,6.597687917004805,0.010387330579821996,25.732780708000064,0.12761070794552865,0.06905429862475676,-0.05899504447830883
