iter,model,rmsre,time_s,p0,p1,p2,p3,p4,p5,p6
1,Vecc_Irr,0.825504,57.99,4.214875,1.674565,0.479023,-3.283204,-0.025526,-0.185002,-1.630742
1,Vecc_Reg,0.808312,60.17,4.216398,1.676537,0.474148,-3.273149,-0.024487,-0.185811,-1.650103
1,DW,0.335175,13.37,4.003413,1.449676,0.492186,-2.342146,0.03833,-0.196318,-1.644955
